method,update,trajectory_count,minimum_eigenvalue,maximum_eigenvalue,spectral_condition_number,effective_rank,components_90,numerical_rank
Reward-only GPOMDP,50,4096,3.6441291793992273e-10,955.505445575177,2622040543943.346,5.3461609019860585,5,452
Reward-only GPOMDP,100,4096,3.819919447042402e-09,8133.567970445761,2129251174849.5715,5.832761768550846,6,452
Reward-only GPOMDP,150,4096,4.579671480505822e-10,31786.673230174158,69408195250422.94,4.089552381435032,4,434
Reward-only GPOMDP,200,4096,3.4811447504281164e-10,34790.634819750776,99940213102233.6,5.24256536605617,5,427
20% capped log-barrier,50,4096,1.3928657340027631e-10,967.4013132632481,6945402486736.234,5.012666720678864,5,452
20% capped log-barrier,100,4096,2.179464811370319e-09,5962.328295024003,2735684588215.6006,6.847178983635808,7,452
20% capped log-barrier,150,4096,7.911126979676887e-10,34456.157396274015,43554044177004.61,4.340133193219412,4,435
20% capped log-barrier,200,4096,8.495895544163984e-09,38325.502442218334,4511060928538.012,5.586074123884193,6,452
