initialization,n_trajectories,method,seeds,success_rate,success_wilson95_low,success_wilson95_high,final_return_mean,final_return_median,completed_all_updates_rate,last_update_median,last_update_min,zero_s1_batch_fraction_mean,reached_safe_positive_rate
adverse,4,sampled_pg_reward_only,100,0.0,0.0,0.037,0.449,0.4491,1.0,100,100,0.9433,0.0
adverse,4,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.4113,0.4113,1.0,100,100,0.8814,0.0
adverse,4,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3611,0.3613,1.0,100,100,0.8455,0.0
adverse,4,sampled_npg_reward_only,100,0.0,0.0,0.037,0.5,0.5,0.0,0,0,0.8505,0.0
adverse,4,sampled_npg_logbarrier_handoff,100,0.28,0.201,0.375,0.687,0.5113,0.11,70,50,0.313,0.96
adverse,4,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.5398,0.5657,1.0,100,100,0.2517,0.98
adverse,32,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4491,0.4491,1.0,100,100,0.6364,0.0
adverse,32,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.4114,0.4114,1.0,100,100,0.3817,0.0
adverse,32,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3618,0.3617,1.0,100,100,0.3129,0.0
adverse,32,sampled_npg_reward_only,100,0.0,0.0,0.037,0.4981,0.5,0.0,10,10,0.7542,0.0
adverse,32,sampled_npg_logbarrier_handoff,100,0.92,0.85,0.959,0.9795,0.9886,0.0,70,60,0.0203,1.0
adverse,32,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6357,0.6373,1.0,100,100,0.0152,1.0
adverse,128,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4491,0.4491,1.0,100,100,0.1727,0.0
adverse,128,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.4115,0.4115,1.0,100,100,0.0318,0.0
adverse,128,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3618,0.3618,1.0,100,100,0.0266,0.0
adverse,128,sampled_npg_reward_only,100,0.0,0.0,0.037,0.4908,0.4905,0.0,10,10,0.4902,0.0
adverse,128,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,0.9777,0.9765,0.0,70,70,0.0026,1.0
adverse,128,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6208,0.6199,1.0,100,100,0.002,1.0
uniform,4,sampled_pg_reward_only,100,0.0,0.0,0.037,0.356,0.3546,1.0,100,100,0.1967,0.2
uniform,4,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.3544,0.3534,1.0,100,100,0.1956,0.19
uniform,4,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3497,0.3488,1.0,100,100,0.1955,0.08
uniform,4,sampled_npg_reward_only,100,0.33,0.246,0.427,0.6724,0.5,0.01,40,10,0.2033,0.68
uniform,4,sampled_npg_logbarrier_handoff,100,0.31,0.228,0.406,0.717,0.7945,0.12,70,50,0.2014,0.92
uniform,4,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.5356,0.5464,0.95,100,100,0.1691,0.95
uniform,32,sampled_pg_reward_only,100,0.0,0.0,0.037,0.3551,0.3551,1.0,100,100,0.0,0.01
uniform,32,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.3535,0.3535,1.0,100,100,0.0,0.01
uniform,32,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.349,0.3489,1.0,100,100,0.0,0.0
uniform,32,sampled_npg_reward_only,100,0.97,0.915,0.99,0.9853,0.9896,0.0,40,30,0.0,1.0
uniform,32,sampled_npg_logbarrier_handoff,100,0.86,0.779,0.915,0.9709,0.9847,0.0,70,60,0.0,1.0
uniform,32,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6358,0.6373,1.0,100,100,0.0,1.0
uniform,128,sampled_pg_reward_only,100,0.0,0.0,0.037,0.3547,0.3547,1.0,100,100,0.0,0.0
uniform,128,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.3532,0.3531,1.0,100,100,0.0,0.0
uniform,128,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3487,0.3488,1.0,100,100,0.0,0.0
uniform,128,sampled_npg_reward_only,100,1.0,0.963,1.0,0.9832,0.9805,0.0,40,40,0.0,1.0
uniform,128,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,0.9783,0.9767,0.0,70,70,0.0,1.0
uniform,128,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.621,0.6206,1.0,100,100,0.0,1.0
