method,beta,seed,update,mean_batch_return,return_rolling_10
reward_only,,101,132,83.7257,82.41712
reward_only,,101,133,83.7067,82.20012999999999
reward_only,,101,134,82.8429,82.19566999999999
reward_only,,101,135,86.0925,82.87397999999999
reward_only,,101,136,83.8728,82.83226
reward_only,,101,137,82.8877,83.40299
reward_only,,101,138,87.1029,84.13320999999999
reward_only,,101,139,82.7684,83.84387
reward_only,,101,140,83.0897,83.48128
reward_only,,101,141,86.8459,84.29352
reward_only,,101,142,87.9387,84.71482
reward_only,,101,143,85.0784,84.85199
reward_only,,101,144,87.8825,85.35595
reward_only,,101,145,88.2804,85.57473999999999
reward_only,,101,146,87.1426,85.90172
reward_only,,101,147,87.8101,86.39396
reward_only,,101,148,88.2683,86.5105
reward_only,,101,149,88.2675,87.06040999999999
reward_only,,101,150,88.0962,87.56106
reward_only,,101,151,88.4576,87.72223
reward_only,,101,152,88.3903,87.76739
reward_only,,101,153,87.7089,88.03044
reward_only,,101,154,87.9544,88.03763
reward_only,,101,155,87.6153,87.97112
reward_only,,101,156,87.9419,88.05105
reward_only,,101,157,87.9602,88.06606000000001
reward_only,,101,158,89.1331,88.15254
reward_only,,101,159,88.8083,88.20662000000002
reward_only,,101,160,87.094,88.10640000000001
reward_only,,101,161,88.8593,88.14657000000001
reward_only,,101,162,88.2423,88.13176999999999
reward_only,,101,163,89.4262,88.30350000000001
reward_only,,101,164,88.1991,88.32797000000002
reward_only,,101,165,88.2356,88.39000000000001
reward_only,,101,166,87.9398,88.38978999999999
reward_only,,101,167,88.0489,88.39866
reward_only,,101,168,88.6241,88.34776000000001
reward_only,,101,169,89.0879,88.37572
reward_only,,101,170,89.6079,88.62710999999999
reward_only,,101,171,88.9642,88.63759999999999
reward_only,,101,172,88.8496,88.69833
reward_only,,101,173,86.6756,88.42327
reward_only,,101,174,89.5408,88.55744000000001
reward_only,,101,175,85.7057,88.30445
reward_only,,101,176,89.0779,88.41826
reward_only,,101,177,89.5384,88.56721
reward_only,,101,178,89.9535,88.70015000000001
