method,beta,seed,update,trajectory_count,parameter_count,numerical_rank,minimum_eigenvalue,minimum_eigenvalue_for_log,maximum_eigenvalue,smallest_singular_value,full_condition_number,log10_full_condition_number,effective_rank,components_90,mean_return,fisher_reconstruction_relative_error,eigenvalue_reconstruction_max_abs_error
beta_2e-6,2e-06,102,200,4096,16,16,2.3044105702431705e-11,2.3044105702431705e-11,868.9977323634917,2.3043928612830332e-11,37710485350126.16,13.576462121997906,1.6979338154853318,2,85.30465742721314,1.2248421818763236e-15,6.821210263296962e-13
beta_2e-6,2e-06,102,250,4096,16,16,1.5506781168976445e-11,1.5506781168976445e-11,988.0049568184813,1.55068450682814e-11,63714118021299.11,13.804235675653844,1.6955067749528945,2,88.46845798017083,1.4553250240656708e-15,3.5263458819656535e-13
beta_2e-6,2e-06,103,50,4096,16,10,-2.1561489035606955e-14,8.768260720428528e-14,394.88735713209275,7.244396987624761e-16,5.45093480943492e+17,17.73647098810512,1.9431138739254283,2,4.1529011974908006,1.6525259168767977e-15,4.547473508864641e-13
beta_2e-6,2e-06,103,100,4096,16,15,8.648788770737808e-13,8.648788770737808e-13,361.4837736732196,8.696011496138124e-13,415689162593395.4,14.618768702189065,2.0748005626670927,2,43.45978007472395,1.2917862462224669e-15,2.2737367544323206e-13
beta_2e-6,2e-06,103,150,4096,16,15,1.054359305229274e-12,1.054359305229274e-12,1037.4578507191088,1.0548587948652086e-12,983504006194190.2,14.992776133309231,1.7225034827957315,2,86.76094907605484,2.5212495674732144e-15,3.183231456205249e-12
beta_2e-6,2e-06,103,200,4096,16,16,2.055495953689255e-11,2.055495953689255e-11,1461.1895307223817,2.0552504233821852e-11,71095449688208.9,13.851841805532285,1.5874698379091963,2,90.14517835190598,1.8564251866794046e-15,1.0696110880684118e-12
beta_2e-6,2e-06,103,250,4096,16,16,3.142966221824757e-11,3.142966221824757e-11,1914.6946914129564,3.142854244629216e-11,60922159997873.07,13.784775292867012,1.5229790110714194,2,91.4644985844328,1.897703072465856e-15,6.821210263296962e-13
beta_2e-6,2e-06,104,50,4096,16,12,-2.666239673280834e-13,4.8235688199460594e-14,217.23422740105016,3.393421302794067e-15,6.40162856354395e+16,16.80629047182576,2.0196300487078704,2,17.56639125348326,2.0751519177448524e-15,3.410605131648481e-13
beta_2e-6,2e-06,104,100,4096,16,14,3.414176441288434e-14,3.6086898629322456e-14,162.52094321997347,3.4245188999356934e-14,4745803657939376.0,15.676309766743234,2.068545881202813,2,26.87023240421759,1.3106260612377386e-15,1.1368683772161603e-13
beta_2e-6,2e-06,104,150,4096,16,16,5.280381480468744e-11,5.280381480468744e-11,194.64417152172007,5.28032877379753e-11,3686213110206.2983,12.566580439377688,2.225622897046449,2,49.638898630083496,3.425374337679399e-15,7.958078640513122e-13
beta_2e-6,2e-06,104,200,4096,16,16,9.701253448102515e-10,9.701253448102515e-10,462.47922662966744,9.701239435865128e-10,476721793835.8461,11.678265006607752,1.9734757706280788,2,84.41886846964206,1.7466943094114538e-15,3.0334589007363633e-13
beta_2e-6,2e-06,104,250,4096,16,16,7.262142894923707e-10,7.262142894923707e-10,685.8462204821143,7.262112675754412e-10,944416936371.5723,11.975163766745068,1.794547156647002,2,87.55790133363872,1.5917601504795819e-15,7.958078640513122e-13
beta_2e-6,2e-06,105,50,4096,16,12,-9.868522815366053e-14,9.067949380824056e-14,408.3841345249374,4.613730518402095e-15,8.8514951815256e+16,16.947016637278548,1.9045703198052657,2,5.6301540480387136,1.4235097422389872e-15,3.694822225952521e-13
beta_2e-6,2e-06,105,100,4096,16,15,1.2275836479080076e-13,1.2275836479080076e-13,258.72360159961937,1.2287503007220503e-13,2105583220997672.2,15.32337241113544,2.034605298082741,2,17.054740126899564,1.427582065905552e-15,2.5579538487363607e-13
beta_2e-6,2e-06,105,150,4096,16,16,3.862302108223765e-11,3.862302108223765e-11,378.9291968615831,3.862360575034992e-11,9810818785559.662,12.991705253986629,2.0881152588113245,2,59.114127192738636,2.163942322704788e-15,6.252776074688882e-13
beta_2e-6,2e-06,105,200,4096,16,16,9.428452460164607e-09,9.428452460164607e-09,1230.7379128218981,9.42846228579325e-09,130534319968.20589,11.115724711009458,1.639120355052779,2,89.95260243118898,1.9653133588747236e-15,4.547473508864641e-13
beta_2e-6,2e-06,105,250,4096,16,16,3.200434499253038e-08,3.200434499253038e-08,1656.462188330302,3.200431640565889e-08,51757461941.52145,10.713972971450874,1.5722325143166749,2,91.42652501907693,1.6467934835043797e-15,2.0463630789890885e-12
beta_5e-6,5e-06,101,50,4096,16,15,3.329714551847025e-13,3.329714551847025e-13,196.14590853343736,3.324265807169869e-13,590042794142346.8,14.770883510940271,2.0526610070854487,2,13.928283502010443,1.2098426866965941e-15,1.9895196601282805e-13
beta_5e-6,5e-06,101,100,4096,16,16,1.235901654620122e-12,1.235901654620122e-12,174.73730150793077,1.235716467463449e-12,141405659072111.75,14.150466790328005,2.1799625987966533,2,23.00980050590523,1.9884062654132473e-15,2.2737367544323206e-13
beta_5e-6,5e-06,101,150,4096,16,16,4.210606852061459e-09,4.210606852061459e-09,175.831012854252,4.210606110553282e-09,41759074165.96312,10.620750861424508,2.5700844368680285,2,57.39613572473658,2.165895665177401e-15,1.9895196601282805e-13
beta_5e-6,5e-06,101,200,4096,16,16,2.291970984067893e-08,2.291970984067893e-08,438.6024190541302,2.2919710916502202e-08,19136472560.757126,10.281861887015422,2.172450263034657,2,85.90814654559344,1.37244377161174e-15,2.8477220581635265e-13
beta_5e-6,5e-06,101,250,4096,16,16,5.601764345093874e-08,5.601764345093874e-08,562.9760585314058,5.6017643984747946e-08,10049977444.333235,10.002165087048786,2.0059356651390927,2,88.00993854773324,1.6217921134517771e-15,2.2737367544323206e-13
beta_5e-6,5e-06,102,50,4096,16,15,1.8268379347874566e-14,4.3987948850524617e-14,198.1041100520151,1.8492763077715935e-14,1.0712520850425732e+16,16.02989168022563,2.1133597576313132,2,14.68318475285644,1.886840766112462e-15,3.694822225952521e-13
beta_5e-6,5e-06,102,100,4096,16,15,2.031617417688113e-13,2.031617417688113e-13,154.31216257671943,2.0250977022660638e-13,761998605815638.2,14.88195417673707,2.12591607244595,2,29.846958724102436,2.6624721149631555e-15,6.252776074688882e-13
