method,beta,completed_training_seeds,endpoint_spectral_seeds,last_10_return_mean,last_10_return_ci95,log10_full_condition_mean,log10_full_condition_ci95,minimum_eigenvalue_geometric_mean,minimum_eigenvalue_ci95_lower,minimum_eigenvalue_ci95_upper,minimum_eigenvalue_seed_count,effective_rank_mean,effective_rank_ci95
reward_only,,5,5,90.087866,2.0943849592045276,11.521708789237815,1.709742384572214,5.0324286843503675e-09,6.631548140912579e-11,3.818917984901676e-07,5,1.5525062982255373,0.13548798927943884
beta_2e-6,2e-06,5,5,89.57738531326495,2.1865125321567542,12.2100712858457,1.9013060166625637,7.469169017549179e-10,9.208735485414933e-12,6.05821351922597e-08,5,1.644209410375679,0.1319423322582248
beta_5e-6,5e-06,5,5,81.63451632340184,20.023188114426834,12.855818369084384,2.278045321625961,1.0071741954360722e-10,3.3811320764652093e-13,3.0001781563434206e-08,5,1.7938518432414985,0.3804250601576262
beta_1e-5,1e-05,5,5,87.66527498558625,3.8350758717130398,12.181162069501363,2.516000948692762,5.351280992646845e-10,1.4294355090625008e-12,2.0033228558205153e-07,5,1.7830351066597412,0.13902631782082597
beta_2e-5,2e-05,5,5,76.6764473553656,19.534719509166163,12.392568251028496,2.8851204338482295,2.2420004631844424e-10,2.988498943637114e-13,1.6819701702158668e-07,5,1.8930834991732417,0.38011159063771854
beta_5e-5,5e-05,5,5,43.255002274528316,29.633666314918926,14.013638859529674,2.991049248225608,4.384412175018384e-12,1.8436461188827576e-14,1.0426659391715881e-09,5,1.9657576030278263,0.09519347517368137
beta_1e-4,0.0001,5,5,37.14402033828874,35.17648540589902,14.7342124122322,2.2188219671223313,1.7166017663685284e-12,3.8989042213984884e-14,7.557819984720218e-11,5,1.7273534538729436,0.4760868106191473
beta_2e-4,0.0002,5,5,25.217948391522683,19.65267913874601,15.952194931199585,2.4467090539723673,2.976292322805901e-13,5.815120719845275e-15,1.523324521976397e-11,5,1.755655598644783,0.473502599510354
