run_id,method,initialization,update,return,V1,V2,q0,q1,p_good_s2,d0,d1,d2,d3,pi0_a0,pi0_a1,pi0_a2,pi1_a0,pi1_a1,pi1_a2,pi2_a0,pi2_a1,pi2_a2,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,reward_gradient_norm,barrier_gradient_norm,applied_barrier_gradient_norm,total_gradient_norm,finite,checkpoint_count
adverse__reward_only__beta_0p0,reward_only,adverse,2000,0.4907250964976523,0.48182069282349593,0.18924115258304863,0.0025103875094756893,0.01537202104481912,0.01587688677855209,0.010000000000000009,2.4852836343809347e-05,3.782179400674779e-07,0.9899747689457161,0.9790310796971625,0.0025103875094756893,0.018458532793361793,0.8707484978971699,0.01537202104481912,0.11387948105801099,0.01587688677855209,0.8668213290224827,0.11730178419896524,3.971036642797842,-1.995089618127059,2.034212478696787,-2.002591663742474,-1.999885576197463,2.0000829098782744,0.009081676284762131,0.0,0.0,0.009081676284762131,True,11
adverse__policy_fisher_logdet__beta_0p1,policy_fisher_logdet,adverse,2000,0.706238202198014,0.7699567764672686,0.8587142598057931,0.8593405680860139,0.8273545711702638,0.8444850012125992,0.010000000000000009,0.008507471624051546,0.006968308581887749,0.9745242197940607,0.08916621701391098,0.8593405680860139,0.05149321490007508,0.10817383325064764,0.8273545711702638,0.06447159557908844,0.8444850012125992,0.07114629296596925,0.08436870582143156,0.5490521853437376,2.814715264348224,0.5175147521071587,2.552008598809139,2.3035304267984427,-0.17045832723265994,0.12666077214543822,1.188010308670141,0.1188010308670141,0.012815933818059327,True,11
adverse__joint_fisher_logdet__beta_0p1,joint_fisher_logdet,adverse,2000,0.6871461258461381,0.7556908333505921,0.8510372290715075,0.8403892265985303,0.8100086100165511,0.836113273165344,0.010000000000000009,0.008319853343325459,0.006671761313746922,0.9750083853429277,0.10414338171807032,0.8403892265985303,0.055467391683399495,0.12062427337826019,0.8100086100165511,0.06936711660518863,0.836113273165344,0.07461977953081718,0.0892669473038387,0.6299733091653303,2.718069838666494,0.5532676047439334,2.4576319461701495,2.2371328097320817,-0.17922567516124846,0.1289471397766645,1.192529351179438,0.11925293511794381,0.014165594234652478,True,11
