iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
41,13.6493,23.8504,1.056342e-04,2.962934e+02,2.962934e+02,1.100752,0.727467,12.9347,43.242,88.47,0.081,0.004,0.085
42,-1.2285,23.8504,1.942111e-04,2.135744e+02,2.135744e+02,1.109252,0.733677,7.2574,38.5511,98.22,0.0807,0.0042,0.085
43,2.3693,23.8504,1.104620e-04,8.325495e+01,8.325495e+01,1.116379,0.738924,6.2413,38.3129,93.5,0.0809,0.0042,0.0851
44,21.4446,23.8504,5.127606e-05,2.757370e+02,2.757370e+02,1.123323,0.744074,23.6361,48.9192,89.72,0.0814,0.004,0.0854
45,19.3581,23.8504,4.057747e-05,1.262661e+02,1.262661e+02,1.129334,0.74856,18.3365,46.3888,86.88,0.0807,0.004,0.0846
46,11.5989,23.8504,6.315500e-05,2.298796e+02,2.298796e+02,1.137177,0.754454,15.8482,44.6739,92.62,0.0842,0.0046,0.0888
47,21.1167,23.8504,7.476733e-05,9.629375e+01,9.629375e+01,1.14495,0.760341,24.6608,48.812,90.94,0.0963,0.0044,0.1007
48,8.3708,23.8504,6.232485e-05,1.872867e+02,1.872867e+02,1.152502,0.766105,12.3835,43.0076,92.81,0.0882,0.0043,0.0925
49,22.6709,23.8504,6.026074e-05,1.374427e+02,1.374427e+02,1.160027,0.771891,20.044,47.4135,84.47,0.0828,0.0042,0.087
50,27.7247,27.7247,7.390747e-05,9.501822e+01,9.501822e+01,1.167095,0.777366,29.6261,50.337,88.06,0.0869,0.0056,0.0925
51,20.8731,27.7247,1.312652e-04,3.874438e+02,3.874438e+02,1.177514,0.785508,23.8373,48.3951,90.0,0.08,0.004,0.084
52,11.4242,27.7247,2.391934e-04,2.709445e+02,2.709445e+02,1.189235,0.794769,13.4692,44.1941,90.34,0.0973,0.0041,0.1014
53,11.1466,27.7247,1.250809e-04,1.973711e+02,1.973711e+02,1.200171,0.803509,13.7365,44.1117,90.69,0.1098,0.0044,0.1142
54,17.5113,27.7247,1.977617e-04,2.506448e+02,2.506448e+02,1.21219,0.813224,19.4895,47.2536,89.22,0.085,0.0042,0.0892
55,7.8796,27.7247,2.192312e-04,1.040903e+02,1.040903e+02,1.224087,0.822957,11.2628,42.4626,92.0,0.0801,0.0042,0.0843
56,14.1598,27.7247,2.629433e-04,1.444033e+02,1.444033e+02,1.236263,0.833038,15.5796,45.8623,88.91,0.0794,0.004,0.0834
57,4.7504,27.7247,1.805568e-04,6.203416e+01,6.203416e+01,1.247357,0.842332,6.5787,39.4284,90.59,0.0802,0.0041,0.0843
58,7.5616,27.7247,7.771120e-05,2.392719e+02,2.392719e+02,1.254413,0.848296,11.9964,43.565,92.78,0.0816,0.0041,0.0857
59,4.9642,27.7247,5.481222e-05,3.455486e+01,3.455486e+01,1.260479,0.853457,7.176,39.9042,91.06,0.0811,0.004,0.0851
60,16.7534,27.7247,2.560710e-05,1.682136e+02,1.682136e+02,1.264944,0.857277,18.278,47.5629,88.38,0.0806,0.004,0.0846
61,16.877,27.7247,4.748366e-05,1.853977e+02,1.853977e+02,1.267165,0.859183,19.543,47.64,89.88,0.0801,0.0041,0.0842
62,-3.3261,27.7247,1.364198e-04,1.385371e+02,1.385371e+02,1.269687,0.861353,2.8304,36.1752,94.56,0.0812,0.0042,0.0854
63,20.0937,27.7247,2.542373e-04,1.267484e+02,1.267484e+02,1.272175,0.863498,24.3527,49.0163,91.31,0.0812,0.0042,0.0853
64,35.5036,35.5036,2.828679e-05,2.452072e+02,2.452072e+02,1.273027,0.864234,39.8522,51.5433,88.75,0.0795,0.0056,0.0851
65,32.5859,35.5036,1.913071e-05,2.446851e+02,2.446851e+02,1.275417,0.866302,35.2091,51.2786,86.88,0.0787,0.004,0.0827
66,28.9601,35.5036,2.840576e-06,1.510715e+02,1.510715e+02,1.276192,0.866974,32.0233,51.1854,88.0,0.078,0.004,0.082
67,13.6895,35.5036,2.727028e-05,2.059690e+02,2.059690e+02,1.2789,0.869326,14.9843,45.3909,88.56,0.0797,0.0042,0.0839
68,15.7864,35.5036,1.208883e-05,5.592339e+01,5.592339e+01,1.281064,0.871208,18.7057,47.97,89.69,0.0823,0.0041,0.0864
69,24.0484,35.5036,9.754133e-05,2.844665e+02,2.844665e+02,1.284207,0.873951,23.3525,49.0213,85.12,0.0821,0.004,0.0861
70,36.9053,36.9053,9.382756e-05,5.126913e+01,5.126913e+01,1.286574,0.876021,35.9213,52.2614,81.88,0.0826,0.0057,0.0883
