beta,seed,final_training_return,last_10_mean_return,maximum_training_return,first_solved_update,numerical_rank,effective_rank,components_90,minimum_eigenvalue,positive_condition_number,log10_positive_condition_number
2e-06,101,90.20378988021095,89.86170764975736,90.4570192830923,240,16,1.5684962273000984,2,1.02489527571054e-07,11447513685.944717,10.05871117141587
5e-06,101,89.58644130415951,89.39877258626612,90.21507181083487,242,16,1.830081579161742,2,1.647340238564497e-06,433934508.09674406,8.637424188225738
1e-05,101,89.63190616440386,89.30882178953144,89.92464725118009,,16,1.8358104595617637,2,6.872442992252743e-07,787778745.2485807,8.89640425910097
2e-05,101,88.46618376158341,88.23167154259292,89.40482783667929,,16,2.1922052568828234,2,6.991406786616135e-08,5379050103.845872,9.730705589591837
5e-05,101,89.49014018952607,89.26667502158773,90.07207202432184,242,16,2.0277130349206463,2,7.776129208764077e-08,7147156858.091575,9.854133313632728
0.0001,101,26.234737594242045,32.0102060400567,64.92898332540734,,16,1.5508091948903755,2,5.334987759562185e-13,263003275541052.62,14.419961157389173
0.0002,101,41.319020434399526,34.18213809680791,56.182164829591485,,16,2.0659894059433697,2,1.085140019947242e-09,129855748058.13203,11.113461178414125
