target_gradient_ratio,achieved_fisher_gradient_ratio,effective_fisher_beta,elapsed_seconds,fisher_gradient_norm,fisher_loss,fisher_rank,fisher_surrogate,gradient_cosine,gradient_norm,lambda_max,lambda_min,logdet,parameter_count,return,return_std,reward_gradient_norm,reward_loss,target_fisher_gradient_ratio,total_loss,unscaled_fisher_gradient_norm,update
0.0,0.0,0.0,2.1381478430703282,0.0,0.0,16,-1489.1513394821968,,92.17359924316406,348.0314697044435,1.287454408699596e-13,-226.93154988131346,16,3.683638472774705,41.21601771837678,92.17359924316406,24.145278930664062,0.0,24.145278930664062,3760372.5,1
0.0,0.0,0.0,4.255488616996445,0.0,0.0,16,-1788.281642990079,,88.48002624511719,354.42814800470956,1.5313298094865905e-13,-230.69484192460652,16,16.027290524519856,47.90122070584917,88.48002624511719,-15.524002075195312,0.0,-15.524002075195312,5586122.5,2
0.0,0.0,0.0,6.212472030078061,0.0,0.0,16,-1421.8170402266446,,70.35038757324219,316.50681878979657,1.2112431232288044e-13,-227.99702563923822,16,5.9431541227044935,43.15637395719788,70.35038757324219,-19.135101318359375,0.0,-19.135101318359375,13596079.0,3
0.0,0.0,0.0,8.307528755045496,0.0,0.0,16,-1235.828048570444,,161.5958709716797,330.338865154656,1.575475799849496e-13,-226.28317109309432,16,1.3919104965907625,40.97231863387418,161.5958709716797,-10.515716552734375,0.0,-10.515716552734375,5651678.0,4
0.0,0.0,0.0,10.38713289203588,0.0,0.0,16,-1406.3394804030688,,47.25223159790039,361.176583641949,9.607530085221405e-14,-227.61766294994396,16,-4.462100601171608,35.77998082741623,47.25223159790039,-8.821533203125,0.0,-8.821533203125,8032790.5,5
0.0,0.0,0.0,12.462373500107788,0.0,0.0,16,-1563.8382850521862,,78.43839263916016,414.23998461218946,1.0661872355165235e-13,-226.9283302540605,16,20.892493919244927,51.36726334391156,78.43839263916016,35.7843017578125,0.0,35.7843017578125,3399349.75,6
0.0,0.0,0.0,14.579242417006753,0.0,0.0,16,-1344.4966368704736,,127.57704162597656,304.7094807433618,1.0477486366768211e-13,-225.69979957441623,16,-5.857358519050034,34.20718731270783,127.57704162597656,-55.40275573730469,0.0,-55.40275573730469,6774039.5,7
0.0,0.0,0.0,16.671228845021687,0.0,0.0,16,-1077.795427120109,,120.77667999267578,383.645047821989,1.4712317779589485e-13,-222.69848725890586,16,-9.12653185583683,29.932676459044032,120.77667999267578,17.199569702148438,0.0,17.199569702148438,3814377.25,8
0.0,0.0,0.0,18.864450660999864,0.0,0.0,16,-1101.474503751829,,159.41867065429688,435.575671146234,2.2440557703649168e-13,-219.458399076067,16,6.700680410888621,45.71462752451698,159.41867065429688,-47.80625915527344,0.0,-47.80625915527344,9171737.0,9
0.0,0.0,0.0,21.01514835609123,0.0,0.0,16,-1717.4618210257192,,77.01984405517578,351.67805212258054,5.004357286043895e-13,-218.08611821450387,16,-4.234913131379444,38.84611550192481,77.01984405517578,-7.301237106323242,0.0,-7.301237106323242,4482150.5,10
