target_gradient_ratio,update,checkpoint,trajectory_count,transition_count,parameter_count,fisher_dtype,score_dtype,numerical_rank,minimum_eigenvalue,maximum_eigenvalue,positive_condition_number,logdet_positive_spectrum,normalized_logdet_positive_spectrum,effective_rank,stable_rank,components_90,components_95,components_99,rank_tolerance,psd_tolerance,mean_return,std_return,mean_episode_length,elapsed_seconds
0.1,200.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_10pct/checkpoints/update_0200.pt,4096.0,154959.0,16.0,torch.float64,torch.float64,16.0,5.25441833594386e-08,785.8229850478082,14955470516.540998,-61.40673047704955,-3.837920654815597,1.8141144905867894,1.0147339653691123,2.0,3.0,4.0,2.7918040680951896e-12,7.858229850478082e-10,89.74441785888528,3.785036473768888,37.831787109375,18.763907267013565
0.1,240.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_10pct/checkpoints/update_0240.pt,4096.0,134476.0,16.0,torch.float64,torch.float64,16.0,1.538421579263069e-07,975.1186748072234,6338436017.481778,-56.63422227964044,-3.5396388924775275,1.6821507033767196,1.0088562512799806,2.0,3.0,4.0,3.46431745444144e-12,9.751186748072235e-10,90.90518595210024,2.3233213565172215,32.8310546875,15.999963570036925
0.1,250.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_10pct/checkpoints/update_0250.pt,4096.0,134813.0,16.0,torch.float64,torch.float64,16.0,1.8007812139294533e-07,1021.5164300765182,5672629313.182833,-55.751106728453905,-3.484444170528369,1.6660190773923627,1.0082876197078594,2.0,3.0,4.0,3.6291553942523016e-12,1.0215164300765182e-09,91.05011551298855,2.233786153205789,32.913330078125,15.841638723039068
0.2,40.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_20pct/checkpoints/update_0040.pt,4096.0,375992.0,16.0,torch.float64,torch.float64,15.0,5.15841569884497e-13,266.1890023867237,110502940462889.53,-177.29824482929342,-11.081140301830839,2.0205931086857802,1.5094415824751186,2.0,2.0,2.0,9.456933099255725e-13,2.661890023867237e-10,9.963921284066936,47.976970642790604,91.794921875,27.872853934997693
0.2,80.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_20pct/checkpoints/update_0080.pt,4096.0,357871.0,16.0,torch.float64,torch.float64,16.0,4.157437710699024e-12,217.23246655010436,52251526460892.98,-164.11467714188805,-10.257167321368003,2.345745476407155,1.615617323724672,2.0,2.0,3.0,7.71764755392128e-13,2.1723246655010437e-10,20.449612679447227,53.0321510195344,87.370849609375,27.786593785043806
0.2,120.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_20pct/checkpoints/update_0120.pt,4096.0,222964.0,16.0,torch.float64,torch.float64,16.0,2.063378740584952e-09,530.6596183166827,257179938844.5016,-90.66850750556571,-5.666781719097857,2.2320425497726233,1.0548284368165604,2.0,3.0,4.0,1.8852816847807314e-12,5.306596183166827e-10,82.96411259003395,13.847963228045206,54.4345703125,26.15331851306837
0.2,160.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_20pct/checkpoints/update_0160.pt,4096.0,179930.0,16.0,torch.float64,torch.float64,16.0,1.3864988902144537e-07,982.608532838765,7086976699.179197,-73.91551521608133,-4.619719701005083,1.8217630199374881,1.0140688354709568,2.0,3.0,4.0,3.4909267755223715e-12,9.82608532838765e-10,87.62319422632271,5.466852211704792,43.92822265625,21.278242706903256
0.2,200.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_20pct/checkpoints/update_0200.pt,4096.0,158287.0,16.0,torch.float64,torch.float64,16.0,6.050397031063293e-08,1136.0218739017091,18775988882.53562,-68.18799891549565,-4.261749932218478,1.7007782115507866,1.008566130321844,2.0,3.0,4.0,4.03596045082718e-12,1.136021873901709e-09,89.6197479311807,2.432313542514838,38.644287109375,17.45308834000025
0.2,240.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_20pct/checkpoints/update_0240.pt,4096.0,153135.0,16.0,torch.float64,torch.float64,16.0,2.195370530212469e-08,1265.1465521042378,57627928164.90054,-64.50134277847869,-4.031333923654918,1.6765599922763206,1.007807820355623,2.0,3.0,4.0,4.494703461348016e-12,1.2651465521042377e-09,90.70711850287825,2.254277740921303,37.386474609375,17.48238670709543
0.2,250.0,/workplace/adelella/adelella/MCIBConceptDrift/vanilla-policy-gradient/results/fisher_log_barrier/mountaincar_continuous/adaptive_gradient_ratio_sweep_seed101/runs/ratio_20pct/checkpoints/update_0250.pt,4096.0,150225.0,16.0,torch.float64,torch.float64,16.0,2.2348640051054773e-08,1397.6806128388216,62539850731.22408,-63.01918183072212,-3.9386988644201324,1.6290570393856747,1.006486534766729,2.0,3.0,4.0,4.965559031826749e-12,1.3976806128388215e-09,90.89187704514865,2.1556522638979683,36.676025390625,16.78870438504964
