target_gradient_ratio,seed,status,completed_updates,first_solved_update,last_10_mean_return,maximum_training_return,final_training_return,maximum_ratio_error,median_effective_beta,minimum_effective_beta,maximum_effective_beta,endpoint_minimum_eigenvalue,endpoint_condition_number,endpoint_effective_rank
0.0,101,complete,250,239,88.75742020611233,90.046570896926,88.54625106264062,0.0,0.0,0.0,0.0,8.05569361715107e-07,1179298078.4413676,1.7259045411921246
0.05,101,complete,250,,88.67136498112953,89.33938482962975,88.96689838500448,1.0530809162190291e-08,7.725850623588155e-05,3.861871680918379e-08,0.0025741513793316093,5.8687382028674405e-08,15481876260.1528,1.6684941548098293
0.1,101,complete,250,183,90.96714732167914,91.68485664438606,90.86227577932297,2.540481994217636e-08,0.00010639603157465633,1.8490679020672104e-08,0.0039024458620733806,1.8007812139294533e-07,5672629313.182833,1.6660190773923627
0.2,101,complete,250,197,90.84161461967776,91.90566631312115,90.52772510868287,3.5307880369428446e-08,0.00016000708754645225,1.498372303119359e-08,0.002400521308397517,2.2348640051054773e-08,62539850731.22408,1.6290570393856747
0.5,101,complete,250,,86.04163023348433,87.84691453447307,86.85291552367784,9.698956038306505e-08,2.1640577821495488e-05,7.27699386046335e-08,0.0056098753940497965,5.789225720232682e-11,4782879836056.061,2.140435072606963
