action_count,condition_number,effective_rank,eigenvalue_1,eigenvalue_10,eigenvalue_11,eigenvalue_12,eigenvalue_13,eigenvalue_14,eigenvalue_15,eigenvalue_16,eigenvalue_17,eigenvalue_18,eigenvalue_19,eigenvalue_2,eigenvalue_20,eigenvalue_21,eigenvalue_22,eigenvalue_23,eigenvalue_24,eigenvalue_25,eigenvalue_26,eigenvalue_27,eigenvalue_28,eigenvalue_29,eigenvalue_3,eigenvalue_30,eigenvalue_31,eigenvalue_32,eigenvalue_33,eigenvalue_34,eigenvalue_35,eigenvalue_36,eigenvalue_37,eigenvalue_38,eigenvalue_39,eigenvalue_4,eigenvalue_40,eigenvalue_41,eigenvalue_42,eigenvalue_43,eigenvalue_44,eigenvalue_45,eigenvalue_46,eigenvalue_47,eigenvalue_48,eigenvalue_49,eigenvalue_5,eigenvalue_50,eigenvalue_51,eigenvalue_52,eigenvalue_53,eigenvalue_54,eigenvalue_55,eigenvalue_56,eigenvalue_57,eigenvalue_58,eigenvalue_59,eigenvalue_6,eigenvalue_60,eigenvalue_61,eigenvalue_62,eigenvalue_63,eigenvalue_64,eigenvalue_7,eigenvalue_8,eigenvalue_9,k90,k95,k99,largest_eigenvalue,log_pseudodeterminant,method,numerical_rank,parameter_count,seed,smallest_positive_eigenvalue,stable_rank,state_count,threshold,trace,update
3,568899284.7641863,4.674368332112097,0.8994539648559344,0.008953093889440064,0.005533329324180724,0.005114569732122363,0.003499044381637795,0.003321316721647569,0.0029218947736694843,0.002246255184100072,0.001477255370498774,0.0010724424747634552,0.0008752828393070517,0.6886646791045795,0.0008061061829639733,0.000580943034560073,0.00048134307682013827,0.0004570613052868262,0.00032160124855349384,0.0002640757605298704,0.00017164122899389342,0.00015830197549592036,0.00014645856071033263,0.00012172937449953253,0.3348130153864162,0.0001028060858508641,8.413716683133164e-05,7.244688298826538e-05,6.412931503278535e-05,5.1626245282006325e-05,4.401687555603644e-05,4.0030708173813713e-05,2.7657095971319074e-05,2.3543624956920224e-05,1.852976373839843e-05,0.19390552009184875,1.4329574725308141e-05,1.1459807206964392e-05,9.4580525697994e-06,7.191122106612694e-06,5.460866880374568e-06,4.481709762473122e-06,3.867929859083415e-06,3.2091633821103414e-06,2.634840439827899e-06,2.242809673477578e-06,0.03385894284438056,2.098568498472446e-06,1.154393607563871e-06,9.278109473778147e-07,6.437373520257238e-07,4.183851269532979e-07,3.496616745074256e-07,3.236334305206574e-07,2.335281400327804e-07,1.6517429296204003e-07,6.654768065459564e-08,0.02691047931780775,5.717040280214913e-08,3.073360258508934e-08,1.9744823141071123e-08,1.286050366018697e-08,1.581042530627835e-09,0.014857681285371327,0.014407105225302716,0.01037130900397468,4,5,12,0.8994539648559344,-621.6843685283908,reward_only,64,155,401,1.581042530627835e-09,1.7744508565809805,32,3.095642954257679e-14,2.256366206727511,0
3,14443238.38344356,6.7632690216410465,0.8399864385822324,0.023940637040397273,0.010868017491082085,0.009745855554389409,0.008090048410051514,0.007015778359326855,0.005281101072375712,0.0035118711005089763,0.0030645400809760446,0.0022488125725741333,0.0020408384120574694,0.7799321975807303,0.0016318008497988063,0.0016044326827036241,0.0009033306414760434,0.000854487456923496,0.0007609521233984933,0.0005822145955189825,0.0004909333978476763,0.0003611644720370747,0.0003088889121457703,0.00023991866754690956,0.417823522115672,0.00019173228380083278,0.00018821991063228802,0.0001591645524732011,0.00011501154310142771,9.170937096517386e-05,8.413847235437171e-05,6.666034594524576e-05,4.8304890180414885e-05,4.3428980586474234e-05,4.155816918898133e-05,0.29060292337022975,3.0928230793953657e-05,2.7010002175424707e-05,2.4112636576360044e-05,1.5460149563655546e-05,1.2651389026883266e-05,1.1862702440618807e-05,9.362260042786876e-06,7.170532430354228e-06,6.8485223477393535e-06,5.937338676114999e-06,0.24842997749615145,4.960471171029991e-06,3.949842687095759e-06,3.1334251111923337e-06,2.787968834551287e-06,2.2691088539624173e-06,2.054638225055266e-06,1.2376529277050885e-06,1.085221914212181e-06,8.706999998932427e-07,6.880101760201889e-07,0.11813679670718809,4.85782840165114e-07,4.032670784795927e-07,2.0076244952550294e-07,1.395960710741351e-07,5.815776325793514e-08,0.04533053418672072,0.0376569784147997,0.034308885819868656,6,8,14,0.8399864385822324,-555.6824806462758,reward_only,64,155,401,5.815776325793514e-08,2.344449123249397,32,2.8909740819093264e-14,2.8969594750561347,100
3,11299131.409134481,6.409146444390808,0.8785730468973033,0.014886441155177515,0.009435947637197977,0.006237821575616649,0.005375867738362328,0.004235479326002111,0.0038268991370991696,0.0030089239311825574,0.002202501821776048,0.001852225455056993,0.0016698149937189597,0.6625060807234,0.0013073029034661005,0.0010298183097390402,0.0009117708708490956,0.0007843421004896353,0.000501688883736603,0.0004446371493215606,0.0004119397364478414,0.00030829019182888114,0.0002707855650387691,0.00022690243187484024,0.4900705509425284,0.00016632881742700722,0.0001383071417019092,0.0001341507033723995,0.0001246733443945279,0.00010233896812133086,8.209077491517632e-05,6.448924130833021e-05,5.368951368678811e-05,5.2369013750441994e-05,3.980766823063655e-05,0.3479642735427998,3.782937515365207e-05,2.8742038527002782e-05,2.084484045138666e-05,2.058099629701726e-05,1.6879039536513632e-05,1.5160458987760558e-05,1.2626206645566878e-05,1.0529440565756183e-05,9.322931126793197e-06,7.294430142861546e-06,0.1765771081167459,6.961973371790227e-06,4.881092651550717e-06,3.7196422953722356e-06,3.008780069301814e-06,2.4905131822410972e-06,2.1297438652298736e-06,1.6788067137747137e-06,1.5040339710843111e-06,1.2231596460232474e-06,8.071964065723908e-07,0.08942529606422639,5.474174016135975e-07,3.8180550482755394e-07,3.191846532992093e-07,1.959141745716511e-07,7.775580397153752e-08,0.06208021255281123,0.03394254452322823,0.021261672331864795,5,7,13,0.8785730468973033,-556.3628609985117,reward_only,64,155,401,7.775580397153752e-08,2.095017072713476,32,3.023777278989437e-14,2.822498168572945,200
3,175280681.7375766,6.6998571630557855,0.9419581471248357,0.01368051574892705,0.010366438377030156,0.008110056139479937,0.00701488120661237,0.006088418352036363,0.004950449770879692,0.004484174408773267,0.003614581767980677,0.0017395120451992121,0.0016392510382730247,0.5330628310340949,0.001395508818379805,0.001105582377406892,0.0007310528199298049,0.0005266121172803109,0.00037240071840308143,0.0002732309276009542,0.0002587010384258806,0.00019511738992296997,0.00015514219507434333,0.00015083223426459944,0.4232509028875594,0.00011092407258107102,9.834220844431238e-05,8.091501593526627e-05,7.697962299611517e-05,5.7309483588789255e-05,4.651344663397449e-05,4.1140737140906674e-05,3.2938364174108176e-05,2.768530846602054e-05,2.571152373378884e-05,0.34978217165783226,2.1990373776976494e-05,1.7401729418350422e-05,1.3943050528653542e-05,1.0275471415242997e-05,9.708184458191198e-06,7.531931792360385e-06,6.8345896889245e-06,5.611428268393061e-06,4.613256418851094e-06,4.013049131826127e-06,0.29131970317360706,3.0226219487062663e-06,2.0953682694453414e-06,1.9007231907813302e-06,1.7585280896046304e-06,1.1955155546769118e-06,9.72204357456108e-07,6.578525507971033e-07,6.033338579849888e-07,5.095285398083864e-07,3.9800293235178066e-07,0.1272466649310534,2.542208266340128e-07,1.655764085314071e-07,1.0848483879073529e-07,4.0443149219268294e-08,5.373998650547804e-09,0.05638698654508442,0.03266750858787286,0.01748406043543463,6,7,13,0.9419581471248357,-582.9163840057032,reward_only,64,155,401,5.373998650547804e-09,1.7796485318939592,32,3.241929231830854e-14,2.8407255064963604,300
3,36238139.85084692,5.083002441465329,2.044610639379581,0.014127175650395377,0.011564017777597472,0.008597555564794902,0.006593484726964587,0.004477682623330812,0.0035667805623952682,0.0029225634221519696,0.002711815463587914,0.001668532468657257,0.0012989205817036267,0.678062885562271,0.0009257465478033129,0.0007059486591815444,0.0005824261973565067,0.0005065020588983537,0.00048037031186085375,0.00036263465784393387,0.000318448540361778,0.0002807997153431414,0.00017699300973555236,0.00016215236249813593,0.4007137241999755,0.00015454206193890398,0.00011809265235115903,9.870361666452862e-05,7.550218465102899e-05,5.590484338200274e-05,4.708175653569057e-05,4.027934588551444e-05,3.528022474508503e-05,2.501723966614434e-05,1.9794663993695277e-05,0.28202260640709265,1.7774889823611675e-05,1.6479931729386362e-05,1.4933267977816633e-05,1.0558555801972683e-05,9.525246507467812e-06,8.579806816997208e-06,7.73252428704981e-06,5.176542539560462e-06,4.316814151505449e-06,3.709319414632183e-06,0.26147374085695774,2.8533414896544637e-06,2.2573212982647477e-06,2.109919583682244e-06,1.7365491613514837e-06,1.3694812206895958e-06,1.023987300660781e-06,8.209602669426152e-07,5.997923601312808e-07,4.641327994187686e-07,4.367718639800142e-07,0.14182879106558705,3.755921564497194e-07,2.8947508747902724e-07,1.631703823248623e-07,8.154158146202065e-08,5.642151191520932e-08,0.10954121142299585,0.030071895896115308,0.02926887260449491,5,7,11,2.044610639379581,-577.2478775774679,reward_only,64,155,401,5.642151191520932e-08,1.1919964306822666,32,7.036918805521597e-14,4.040408542244461,400
3,826543848.7162588,4.9630469481631865,1.147272076108208,0.008492752666580857,0.004651240116063986,0.0034342034694492154,0.0022965089718504665,0.002014912153428888,0.0018173207280448777,0.0014994603800717982,0.0009452986299682689,0.0008099727524770897,0.0007084702985141007,0.6966618894120171,0.0005967266050322572,0.0004926373377678166,0.00044903257944179753,0.0003159458889727053,0.0002553735784357124,0.00023525349302383567,0.00016844752723123546,0.00013988911338466228,0.00010565830701275822,8.763896246117536e-05,0.2909527439623885,6.434227750313862e-05,4.98091680597841e-05,4.009198612749314e-05,3.5613747677848995e-05,3.1596101696795076e-05,2.601642864820903e-05,1.804753833769595e-05,1.6859205708533055e-05,1.5042352115054849e-05,1.001496464516273e-05,0.17652082576536035,8.679386356256174e-06,6.007346167918568e-06,5.761027678609341e-06,4.4102376444646386e-06,3.580352709533903e-06,2.8462872779862907e-06,2.284692813425934e-06,2.031187109252689e-06,1.8096321643715252e-06,1.6210963335968014e-06,0.11817972161432731,1.0528801096071075e-06,8.802807395152245e-07,6.614656193059726e-07,6.106814292915894e-07,5.026614035725725e-07,3.2395405767204164e-07,2.448984505444286e-07,1.63362654637096e-07,9.46538327728821e-08,8.177098588189175e-08,0.06777834994838387,6.797638562724303e-08,2.8853978977594173e-08,1.3077376080646337e-08,4.385618493061258e-09,1.3880353448762413e-09,0.06302097249028625,0.020555369007249764,0.010618495399456997,5,6,10,1.147272076108208,-637.0538351889616,reward_only,64,155,401,1.3880353448762413e-09,1.4743397616153082,32,3.948556410654996e-14,2.6214283845743442,500
3,1088830275784.5278,4.1148294767335125,1.665577664707974,0.005659074049846198,0.0043430891158402415,0.003268095506257191,0.002620699644984918,0.002074605095364445,0.0011410931534052465,0.0008862232062505923,0.0005804042171909004,0.0005462533561760104,0.00040341600596292945,0.7837145326667319,0.0002482736848218682,0.00024006847743799319,0.00018310886682971814,0.00017798534376975878,0.0001312750781965344,0.00010741086803758954,8.905243608337467e-05,6.301802386779118e-05,4.963945902595922e-05,4.14180632847255e-05,0.35352438410886644,3.925935835420156e-05,3.0805080333869454e-05,2.961349856687712e-05,2.2181644669688834e-05,2.082089141677701e-05,1.3511730571799446e-05,1.0974861708512466e-05,9.585117498427997e-06,7.852787747763837e-06,5.563249169402303e-06,0.24580133852907665,4.499553313553455e-06,3.7553233030997697e-06,3.407178105959803e-06,2.672251011805845e-06,1.9327406945399125e-06,1.4943202867261661e-06,1.0883915959903843e-06,9.651403793781548e-07,8.264041947081889e-07,7.225661888573815e-07,0.10469066182133795,5.248192005013264e-07,4.0860901064597206e-07,2.820945876552078e-07,1.8925677919924587e-07,7.579061042990637e-08,4.960660707907315e-08,3.0928008488217046e-08,3.0195862184651095e-08,1.8615000103413338e-08,1.8695499232314126e-09,0.04988279195788903,1.360634168341564e-09,3.884129425374909e-10,9.762005151720677e-11,4.6935969066469834e-12,1.5296944820053668e-12,0.023120066108370807,0.00999930660694967,0.008561456481055477,4,5,8,1.665577664707974,-703.4581536739842,reward_only,64,155,401,1.5296944820053668e-12,1.2933650567800201,32,5.732404285246595e-14,3.2679395523681043,600
3,712574452.0895139,4.367751823160001,1.148972302253979,0.005574311130386248,0.002969525456340756,0.002466835688799092,0.0019839872149453133,0.0013169832068452847,0.0012066817711904616,0.0010323645799284208,0.0008570403609076472,0.0006075739176620499,0.00041513308346700705,0.7372046042492628,0.00025902694450595466,0.00022680027071971334,0.00018995947696327052,0.00016945851074321998,0.0001196267682147706,0.0001072909276915805,7.688614454509036e-05,6.70364474255019e-05,6.108706989285003e-05,4.2741128532835664e-05,0.21025923012623884,3.539196362495876e-05,3.387776160601038e-05,2.7229912411776852e-05,2.2728649287432423e-05,1.8537661457275392e-05,1.3817410219698932e-05,1.3429903836202918e-05,1.0236812908771423e-05,6.886050414617328e-06,6.0868237758955386e-06,0.18077944811755225,5.595185215952558e-06,4.745824623706364e-06,3.7060059647090252e-06,3.5859532353724124e-06,2.169746012996863e-06,1.6682503512375751e-06,1.4493756914316004e-06,1.1597400303442613e-06,1.0612086371823569e-06,8.072596632658649e-07,0.0966543414904737,7.423494194085371e-07,6.658739755414993e-07,4.97989320954395e-07,4.0341236159608024e-07,2.8569085721586513e-07,2.24520871207359e-07,1.8083478150765804e-07,1.391635524369631e-07,1.0024811123569558e-07,5.6491666133350726e-08,0.061640107311618314,2.8392426586540832e-08,2.230492690184328e-08,1.33887530022362e-08,4.209507575106143e-09,1.6124242160026876e-09,0.024631686912647496,0.01031578500965017,0.006522499630637859,4,5,9,1.148972302253979,-664.3028598604753,reward_only,64,155,401,1.6124242160026876e-09,1.4804906839149443,32,3.954408064318721e-14,2.4969478931836924,700
3,455455607.9692706,3.9378383513975774,2.14911286302753,0.008410935890070498,0.006654328500559855,0.005127611831859265,0.003949999314156022,0.00315978686964341,0.0019835361191390356,0.001703268241940757,0.0008660807862202928,0.0006342255440147945,0.0005671598470982615,1.257959543279236,0.0005015704839779519,0.0004202671038734039,0.0002949457361037429,0.00026280436302421507,0.0002398978561846451,0.00017305878658024638,0.0001567839099991376,0.00011961591472356367,9.051477383499392e-05,7.537691307835249e-05,0.21337170831104382,5.403962379024742e-05,5.0592701689779455e-05,4.1676327126517984e-05,2.7664388231263074e-05,2.4351896676865118e-05,2.18193376396446e-05,2.0760140789727568e-05,1.3708687949249864e-05,1.2238979037170259e-05,7.651047078663247e-06,0.1910503962072594,7.2627823174011864e-06,6.690301003151663e-06,5.963896001235618e-06,4.859595374860302e-06,4.12736973255797e-06,2.6998112887227184e-06,2.355399620585612e-06,1.5238625470563873e-06,1.2160677855437941e-06,9.301795343454729e-07,0.13690226324051386,6.217435412063147e-07,5.378436205828482e-07,4.5884841837991316e-07,3.0229424309080704e-07,2.461647288910427e-07,2.239879853886265e-07,1.523120225883243e-07,1.0910908292721389e-07,8.171542186640661e-08,7.047957663579772e-08,0.10147602390011445,5.36554717185044e-08,4.6987161131788676e-08,1.9688796024514546e-08,8.559476457817033e-09,4.71860006864276e-09,0.07264136687028522,0.018484050810351104,0.013190676038650527,4,6,9,2.14911286302753,-639.9049008118373,reward_only,64,155,401,4.71860006864276e-09,1.3679613419985506,32,7.396583207458887e-14,4.1898957309744285,800
3,3974718360.003324,3.7462228359695096,1.5930645458655825,0.00442294348586961,0.004322969061880028,0.0025946196097896283,0.0015355734884427376,0.00136596431209745,0.001293565514567953,0.0008554113486701488,0.0004020643046041069,0.00036769226340110423,0.0003297385853447194,0.6166123329277972,0.00023910419834156555,0.0001955934483302912,0.00018951346464973735,0.00012988154068492363,0.00010769791411005812,9.717282274478507e-05,7.778506623675054e-05,7.035823110230704e-05,5.498962149249676e-05,4.773122830401062e-05,0.21037341025064962,3.5026522409901e-05,2.1048360451485123e-05,2.0194972659612622e-05,1.593111908200872e-05,1.459779741187808e-05,1.103951385850212e-05,9.411680265686465e-06,8.004656792851137e-06,4.85843480548852e-06,4.355436010202967e-06,0.14170463359057361,3.701314383775404e-06,2.9389331586503503e-06,2.2686564054657717e-06,1.2386266560502407e-06,1.1924930868923735e-06,1.009710009564988e-06,6.850291871057744e-07,5.986546727156169e-07,4.888574572362251e-07,3.89594069823469e-07,0.11702100988949343,2.327839460562486e-07,2.2198454132097325e-07,1.783660984819031e-07,1.4878524781632614e-07,1.2224334784418383e-07,1.0839313346435478e-07,8.023855564695226e-08,6.241969385067288e-08,3.054781720699198e-08,2.284366698771069e-08,0.05241331400069064,1.2700611607986484e-08,7.294524682141073e-09,3.5488152420153268e-09,8.269690266905434e-10,4.007993527028794e-10,0.018453488116023653,0.007808148094920836,0.006170069542950616,4,5,8,1.5930645458655825,-692.4466914546232,reward_only,64,155,401,4.007993527028794e-10,1.1818389364375321,32,5.482836509455364e-14,2.7824815355299504,900
