actual_updates,complete,environment_step_return_auc,failure,final_deterministic_return,final_stochastic_return,final_stochastic_termination_rate,finite,initial_weight_identifier,invalid_reason,method,realized_kl_explosion_count,schema_version,seed,training_episodes,true_environment_steps
1000,True,-178.9490806402167,False,-94.46875,-123.34375,1.0,True,c04cb63a955571b78e4575ecbb9ea12f38fb2b17e6a755b30e3ad415948df017,,npg_reward_only,1,1,708,8000,1187348
1000,True,-264.5118116042959,False,-87.03125,-102.6875,1.0,True,c04cb63a955571b78e4575ecbb9ea12f38fb2b17e6a755b30e3ad415948df017,,npg_logbarrier_handoff,3,1,708,8000,1446697
1000,True,-471.36799865069923,False,-120.4375,-92.6875,1.0,True,f0492121775756c2817176891ed16841fd90b4bd5b68cd394d9b62fd0097de50,,gpomdp_reward_only,0,1,709,8000,3350439
1000,True,-394.2342897254099,False,-80.40625,-95.21875,1.0,True,f0492121775756c2817176891ed16841fd90b4bd5b68cd394d9b62fd0097de50,,gpomdp_logbarrier_handoff,0,1,709,8000,2007119
1000,True,-158.13749941584155,False,-111.9375,-111.75,1.0,True,f0492121775756c2817176891ed16841fd90b4bd5b68cd394d9b62fd0097de50,,npg_reward_only,3,1,709,8000,1160858
1000,True,-225.52182032068322,False,-102.65625,-115.3125,1.0,True,f0492121775756c2817176891ed16841fd90b4bd5b68cd394d9b62fd0097de50,,npg_logbarrier_handoff,2,1,709,8000,1354717
1000,True,-479.14615711910284,False,-500.0,-182.15625,0.96875,True,97a292809aea6fe31f8c1217a72b68b61ca9dca2a09da5a3d7cf986956110ddd,,gpomdp_reward_only,0,1,710,8000,3909671
1000,True,-254.27904166723704,False,-88.46875,-98.1875,1.0,True,97a292809aea6fe31f8c1217a72b68b61ca9dca2a09da5a3d7cf986956110ddd,,gpomdp_logbarrier_handoff,0,1,710,8000,1314906
1000,True,-469.31736376875153,False,-126.125,-138.46875,0.96875,True,97a292809aea6fe31f8c1217a72b68b61ca9dca2a09da5a3d7cf986956110ddd,,npg_reward_only,0,1,710,8000,3559444
1000,True,-370.1605598075105,False,-135.375,-157.5,1.0,True,97a292809aea6fe31f8c1217a72b68b61ca9dca2a09da5a3d7cf986956110ddd,,npg_logbarrier_handoff,0,1,710,8000,2302307
1000,True,-203.81219120007094,False,-88.5,-81.1875,1.0,True,8f308ea670918fa7ce1b25f99ce8391be0cc3c50f4b940a2aa7f70e314432d43,,gpomdp_reward_only,0,1,711,8000,1062733
1000,True,-211.52910485293563,False,-92.3125,-83.75,1.0,True,8f308ea670918fa7ce1b25f99ce8391be0cc3c50f4b940a2aa7f70e314432d43,,gpomdp_logbarrier_handoff,0,1,711,8000,1249419
1000,True,-147.44996413169463,False,-91.65625,-113.0625,1.0,True,8f308ea670918fa7ce1b25f99ce8391be0cc3c50f4b940a2aa7f70e314432d43,,npg_reward_only,5,1,711,8000,1047408
1000,True,-204.81008432835498,False,-91.9375,-98.0625,1.0,True,8f308ea670918fa7ce1b25f99ce8391be0cc3c50f4b940a2aa7f70e314432d43,,npg_logbarrier_handoff,4,1,711,8000,1269361
1000,True,-334.00256820395253,False,-87.28125,-107.5,0.96875,True,eae89394f547014da34a40fabf714804062dd17a75dd7e029bb110b972e971ff,,gpomdp_reward_only,0,1,712,8000,1572013
1000,True,-315.61334150198496,False,-84.34375,-89.65625,1.0,True,eae89394f547014da34a40fabf714804062dd17a75dd7e029bb110b972e971ff,,gpomdp_logbarrier_handoff,0,1,712,8000,1518687
1000,True,-213.86631357522322,False,-152.03125,-124.4375,1.0,True,eae89394f547014da34a40fabf714804062dd17a75dd7e029bb110b972e971ff,,npg_reward_only,6,1,712,8000,1302404
1000,True,-206.59359372597729,False,-112.25,-112.1875,1.0,True,eae89394f547014da34a40fabf714804062dd17a75dd7e029bb110b972e971ff,,npg_logbarrier_handoff,2,1,712,8000,1359391
1000,True,-169.20292029771468,False,-86.34375,-89.96875,1.0,True,a00d69448c12e18aa295cdefb62c7b68e2cfe86eca714daada05539821a5b982,,gpomdp_reward_only,0,1,713,8000,959778
1000,True,-351.4196904551672,False,-111.5,-95.78125,1.0,True,a00d69448c12e18aa295cdefb62c7b68e2cfe86eca714daada05539821a5b982,,gpomdp_logbarrier_handoff,0,1,713,8000,1653777
1000,True,-146.1855192005589,False,-297.6875,-114.03125,1.0,True,a00d69448c12e18aa295cdefb62c7b68e2cfe86eca714daada05539821a5b982,,npg_reward_only,6,1,713,8000,1036324
1000,True,-245.25879175950408,False,-83.625,-106.6875,1.0,True,a00d69448c12e18aa295cdefb62c7b68e2cfe86eca714daada05539821a5b982,,npg_logbarrier_handoff,4,1,713,8000,1442935
1000,True,-397.1711201642647,False,-78.71875,-95.78125,1.0,True,ce4b366c389a0bb4e39015c182c4bc74c946046d553438865b5b892b8de495a5,,gpomdp_reward_only,0,1,714,8000,2099629
1000,True,-303.1180370066026,False,-88.96875,-90.9375,1.0,True,ce4b366c389a0bb4e39015c182c4bc74c946046d553438865b5b892b8de495a5,,gpomdp_logbarrier_handoff,0,1,714,8000,1459726
1000,True,-221.40616152352894,False,-107.71875,-150.96875,1.0,True,ce4b366c389a0bb4e39015c182c4bc74c946046d553438865b5b892b8de495a5,,npg_reward_only,4,1,714,8000,1584814
1000,True,-207.42807413932465,False,-84.09375,-96.8125,1.0,True,ce4b366c389a0bb4e39015c182c4bc74c946046d553438865b5b892b8de495a5,,npg_logbarrier_handoff,0,1,714,8000,1252011
1000,True,-128.70359909496804,False,-87.4375,-85.40625,1.0,True,3989f6948659ec3ee3b75301e35787fe5043b3ef566716c78b3645ec95f1a57a,,gpomdp_reward_only,0,1,715,8000,841241
1000,True,-182.84685747931934,False,-78.4375,-87.0,1.0,True,3989f6948659ec3ee3b75301e35787fe5043b3ef566716c78b3645ec95f1a57a,,gpomdp_logbarrier_handoff,0,1,715,8000,1129558
1000,True,-135.5763557428952,False,-88.875,-104.28125,1.0,True,3989f6948659ec3ee3b75301e35787fe5043b3ef566716c78b3645ec95f1a57a,,npg_reward_only,2,1,715,8000,972654
1000,True,-191.8821953805109,False,-94.34375,-119.0625,1.0,True,3989f6948659ec3ee3b75301e35787fe5043b3ef566716c78b3645ec95f1a57a,,npg_logbarrier_handoff,1,1,715,8000,1235326
1000,True,-206.0362663382097,False,-82.6875,-85.34375,1.0,True,b4d836ef8b7a119189d4d95deb402921559105d5143d40b6acc9cab5c8947831,,gpomdp_reward_only,0,1,716,8000,1068278
1000,True,-245.7644270295274,False,-81.8125,-89.71875,1.0,True,b4d836ef8b7a119189d4d95deb402921559105d5143d40b6acc9cab5c8947831,,gpomdp_logbarrier_handoff,0,1,716,8000,1320332
1000,True,-183.85166486415883,False,-102.78125,-125.5625,1.0,True,b4d836ef8b7a119189d4d95deb402921559105d5143d40b6acc9cab5c8947831,,npg_reward_only,1,1,716,8000,1196250
1000,True,-201.0556210322878,False,-92.375,-113.8125,1.0,True,b4d836ef8b7a119189d4d95deb402921559105d5143d40b6acc9cab5c8947831,,npg_logbarrier_handoff,1,1,716,8000,1289156
1000,True,-124.52479005056362,False,-85.5625,-82.09375,1.0,True,8eeaae11d749e8c4cc8419a025e81db0dae2989989338274cec800301b945c8b,,gpomdp_reward_only,0,1,717,8000,832120
1000,True,-175.50125458093618,False,-91.78125,-85.5,1.0,True,8eeaae11d749e8c4cc8419a025e81db0dae2989989338274cec800301b945c8b,,gpomdp_logbarrier_handoff,0,1,717,8000,1122860
1000,True,-134.97142389610485,False,-487.125,-121.90625,1.0,True,8eeaae11d749e8c4cc8419a025e81db0dae2989989338274cec800301b945c8b,,npg_reward_only,2,1,717,8000,1015495
1000,True,-190.21664524246822,False,-84.875,-105.75,1.0,True,8eeaae11d749e8c4cc8419a025e81db0dae2989989338274cec800301b945c8b,,npg_logbarrier_handoff,1,1,717,8000,1273239
1000,True,-270.9147424054427,False,-81.6875,-79.59375,1.0,True,15c4eff731879543418bccecd05453ec8961d139519693c2d9e1ca4bd025cece,,gpomdp_reward_only,0,1,718,8000,1281049
1000,True,-226.0423883520834,False,-87.9375,-88.8125,1.0,True,15c4eff731879543418bccecd05453ec8961d139519693c2d9e1ca4bd025cece,,gpomdp_logbarrier_handoff,0,1,718,8000,1285951
1000,True,-210.5266197650437,False,-296.21875,-134.875,1.0,True,15c4eff731879543418bccecd05453ec8961d139519693c2d9e1ca4bd025cece,,npg_reward_only,4,1,718,8000,1418732
1000,True,-208.82565570220572,False,-114.53125,-113.03125,1.0,True,15c4eff731879543418bccecd05453ec8961d139519693c2d9e1ca4bd025cece,,npg_logbarrier_handoff,3,1,718,8000,1379909
1000,True,-292.5154821284288,False,-76.96875,-93.46875,1.0,True,fec1167f3727f5fc4e818381a18589febe729190557a0fae2388da30ecb28034,,gpomdp_reward_only,0,1,719,8000,1344083
1000,True,-269.1500181301256,False,-79.65625,-79.625,1.0,True,fec1167f3727f5fc4e818381a18589febe729190557a0fae2388da30ecb28034,,gpomdp_logbarrier_handoff,0,1,719,8000,1385815
1000,True,-184.57263656912832,False,-105.15625,-118.84375,1.0,True,fec1167f3727f5fc4e818381a18589febe729190557a0fae2388da30ecb28034,,npg_reward_only,3,1,719,8000,1218307
1000,True,-246.936848081983,False,-417.5,-111.40625,1.0,True,fec1167f3727f5fc4e818381a18589febe729190557a0fae2388da30ecb28034,,npg_logbarrier_handoff,6,1,719,8000,1442714
1000,True,-500.0,True,-500.0,-500.0,0.0,True,55ae8fa389de21544e8ca57b318cab855826e8bfaf195d7102b27673d55ae4ec,,gpomdp_reward_only,0,1,720,8000,3999992
1000,True,-345.7460299029107,False,-84.625,-84.25,1.0,True,55ae8fa389de21544e8ca57b318cab855826e8bfaf195d7102b27673d55ae4ec,,gpomdp_logbarrier_handoff,0,1,720,8000,1649204
1000,True,-213.2281729897703,False,-111.375,-112.90625,1.0,True,55ae8fa389de21544e8ca57b318cab855826e8bfaf195d7102b27673d55ae4ec,,npg_reward_only,4,1,720,8000,1233466
1000,True,-226.93120562237357,False,-78.90625,-101.71875,1.0,True,55ae8fa389de21544e8ca57b318cab855826e8bfaf195d7102b27673d55ae4ec,,npg_logbarrier_handoff,8,1,720,8000,1338794
1000,True,-160.01522746820535,False,-97.0625,-87.0625,1.0,True,976acd7743c98aba0a8ce46afb87dc63ec1a66ec5a29b6d3e840dddfafe91d85,,gpomdp_reward_only,0,1,721,8000,951339
1000,True,-248.41889231111583,False,-87.125,-90.71875,1.0,True,976acd7743c98aba0a8ce46afb87dc63ec1a66ec5a29b6d3e840dddfafe91d85,,gpomdp_logbarrier_handoff,0,1,721,8000,1332973
1000,True,-212.6855859936605,False,-113.53125,-138.3125,0.96875,True,976acd7743c98aba0a8ce46afb87dc63ec1a66ec5a29b6d3e840dddfafe91d85,,npg_reward_only,3,1,721,8000,1401535
1000,True,-213.67201915925,False,-89.53125,-112.59375,1.0,True,976acd7743c98aba0a8ce46afb87dc63ec1a66ec5a29b6d3e840dddfafe91d85,,npg_logbarrier_handoff,3,1,721,8000,1367303
1000,True,-500.0,True,-500.0,-500.0,0.0,True,babb7c53c9d921c035f04ec8fc1a5d983e5154f88039b1fccc9dc6ef661e18d6,,gpomdp_reward_only,0,1,722,8000,4000000
1000,True,-311.6983385145022,False,-85.78125,-82.78125,1.0,True,babb7c53c9d921c035f04ec8fc1a5d983e5154f88039b1fccc9dc6ef661e18d6,,gpomdp_logbarrier_handoff,0,1,722,8000,1505492
1000,True,-154.9855621530487,False,-409.25,-110.1875,1.0,True,babb7c53c9d921c035f04ec8fc1a5d983e5154f88039b1fccc9dc6ef661e18d6,,npg_reward_only,4,1,722,8000,1073998
1000,True,-208.92358039729442,False,-109.03125,-128.96875,0.96875,True,babb7c53c9d921c035f04ec8fc1a5d983e5154f88039b1fccc9dc6ef661e18d6,,npg_logbarrier_handoff,0,1,722,8000,1351353
1000,True,-500.0,True,-500.0,-500.0,0.0,True,bab598499d388f01fa1340011567211a8faa1facc87ac5bb7c35b7d9ee309a41,,gpomdp_reward_only,0,1,723,8000,3999879
1000,True,-421.8374472360963,False,-79.1875,-87.125,1.0,True,bab598499d388f01fa1340011567211a8faa1facc87ac5bb7c35b7d9ee309a41,,gpomdp_logbarrier_handoff,0,1,723,8000,2353112
1000,True,-165.3098655033545,False,-145.53125,-141.375,0.96875,True,bab598499d388f01fa1340011567211a8faa1facc87ac5bb7c35b7d9ee309a41,,npg_reward_only,8,1,723,8000,1103745
1000,True,-201.44003701610558,False,-433.3125,-133.21875,1.0,True,bab598499d388f01fa1340011567211a8faa1facc87ac5bb7c35b7d9ee309a41,,npg_logbarrier_handoff,0,1,723,8000,1385917
1000,True,-167.3010984575612,False,-77.21875,-87.75,1.0,True,60136f356bb31273dc037b5d60129b72cfe7489538c7f154f92f1dd44115efce,,gpomdp_reward_only,0,1,724,8000,978645
1000,True,-226.36468150897772,False,-93.6875,-94.1875,1.0,True,60136f356bb31273dc037b5d60129b72cfe7489538c7f154f92f1dd44115efce,,gpomdp_logbarrier_handoff,0,1,724,8000,1250204
1000,True,-157.76085539966695,False,-98.96875,-105.40625,1.0,True,60136f356bb31273dc037b5d60129b72cfe7489538c7f154f92f1dd44115efce,,npg_reward_only,1,1,724,8000,1133769
1000,True,-243.94284941689185,False,-353.96875,-160.40625,0.96875,True,60136f356bb31273dc037b5d60129b72cfe7489538c7f154f92f1dd44115efce,,npg_logbarrier_handoff,4,1,724,8000,1586198
