method,seed,updates,episodes_per_update,hidden_sizes,gamma,horizon,learning_rate,center_returns,normalize_returns,beta,handoff_update,damping,target_kl,evaluation_episodes,parallel_environments,coefficient_mode
gpomdp_logbarrier_handoff,712,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,712,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,712,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,713,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,713,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,713,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,713,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,714,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,714,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,714,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,714,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,715,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,715,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,715,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,715,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,716,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,716,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,716,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,716,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,717,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,717,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,717,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,717,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,718,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,718,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,718,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,718,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,719,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,719,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,719,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,719,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,720,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,720,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,720,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,720,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,721,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,721,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,721,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,721,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,722,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,722,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,722,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,722,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,723,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,723,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,723,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,723,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,724,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,724,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,724,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,724,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,725,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,725,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,725,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,725,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,726,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,726,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,726,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,726,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,727,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,727,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,727,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,727,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,728,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,728,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,728,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,728,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,729,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,729,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,729,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,729,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_reward_only,730,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
gpomdp_logbarrier_handoff,730,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_reward_only,730,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
npg_logbarrier_handoff,730,1000,8,"(8, 8)",0.99,500,0.003,True,False,546.4135158976487,250,0.01,0.001,32,8,same_beta
