method,n,final_stochastic_return_mean,final_stochastic_return_median,final_stochastic_return_ci95_low,final_stochastic_return_ci95_high,final_deterministic_return_mean,final_deterministic_return_median,final_deterministic_return_ci95_low,final_deterministic_return_ci95_high,environment_step_return_auc_mean,environment_step_return_auc_median,environment_step_return_auc_ci95_low,environment_step_return_auc_ci95_high
gpomdp_reward_only,30,-159.734375,-87.65625,-217.92849334468934,-101.54025665531066,-168.703125,-86.453125,-231.6811683346628,-105.72508166533721,-284.44672747720034,-252.16365775388238,-337.76217164261794,-231.1312833117827
gpomdp_logbarrier_handoff,30,-89.63854166666667,-89.65625,-91.77598692724179,-87.50109640609155,-86.1625,-85.140625,-88.66823425309374,-83.65676574690625,-264.7894585046694,-243.73072415147692,-292.24965628934103,-237.32926071999785
npg_reward_only,30,-126.12395833333333,-123.1875,-133.4771858322142,-118.77073083445248,-192.26145833333334,-120.890625,-240.13606902820447,-144.3868476384622,-191.30675782832716,-181.40037275218776,-216.97640298543143,-165.6371126712229
npg_logbarrier_handoff,30,-116.046875,-113.140625,-121.76508079709039,-110.32866920290961,-153.6625,-93.71875,-199.39441158075184,-107.93058841924815,-221.1930857983117,-208.87461804975007,-234.78888842614387,-207.59728317047953
