update,environment_steps,batch_training_episodes,cumulative_training_episodes,training_return,training_episode_length,beta,barrier_active
1,4000,8,8,-500.0,500.0,546.4135158976487,True
2,8000,8,16,-500.0,500.0,546.4135158976487,True
3,12000,8,24,-500.0,500.0,546.4135158976487,True
4,16000,8,32,-500.0,500.0,546.4135158976487,True
5,20000,8,40,-500.0,500.0,546.4135158976487,True
6,24000,8,48,-500.0,500.0,546.4135158976487,True
7,28000,8,56,-500.0,500.0,546.4135158976487,True
8,32000,8,64,-500.0,500.0,546.4135158976487,True
9,36000,8,72,-500.0,500.0,546.4135158976487,True
10,40000,8,80,-500.0,500.0,546.4135158976487,True
11,44000,8,88,-500.0,500.0,546.4135158976487,True
12,48000,8,96,-500.0,500.0,546.4135158976487,True
13,51853,8,104,-481.5,481.625,546.4135158976487,True
14,55853,8,112,-500.0,500.0,546.4135158976487,True
15,59853,8,120,-500.0,500.0,546.4135158976487,True
16,63853,8,128,-500.0,500.0,546.4135158976487,True
17,67853,8,136,-500.0,500.0,546.4135158976487,True
18,71853,8,144,-500.0,500.0,546.4135158976487,True
19,75853,8,152,-500.0,500.0,546.4135158976487,True
20,79853,8,160,-500.0,500.0,546.4135158976487,True
21,83853,8,168,-500.0,500.0,546.4135158976487,True
22,87853,8,176,-500.0,500.0,546.4135158976487,True
23,91853,8,184,-500.0,500.0,546.4135158976487,True
24,95853,8,192,-500.0,500.0,546.4135158976487,True
25,99853,8,200,-500.0,500.0,546.4135158976487,True
26,103853,8,208,-500.0,500.0,546.4135158976487,True
27,107853,8,216,-500.0,500.0,546.4135158976487,True
28,111853,8,224,-500.0,500.0,546.4135158976487,True
29,115853,8,232,-500.0,500.0,546.4135158976487,True
30,119853,8,240,-500.0,500.0,546.4135158976487,True
31,123853,8,248,-500.0,500.0,546.4135158976487,True
32,127853,8,256,-500.0,500.0,546.4135158976487,True
33,131853,8,264,-500.0,500.0,546.4135158976487,True
34,135853,8,272,-500.0,500.0,546.4135158976487,True
35,139853,8,280,-500.0,500.0,546.4135158976487,True
36,143853,8,288,-500.0,500.0,546.4135158976487,True
37,147853,8,296,-500.0,500.0,546.4135158976487,True
38,151853,8,304,-500.0,500.0,546.4135158976487,True
39,155853,8,312,-500.0,500.0,546.4135158976487,True
40,159853,8,320,-500.0,500.0,546.4135158976487,True
41,163853,8,328,-500.0,500.0,546.4135158976487,True
42,167853,8,336,-500.0,500.0,546.4135158976487,True
43,171853,8,344,-500.0,500.0,546.4135158976487,True
44,175853,8,352,-500.0,500.0,546.4135158976487,True
45,179853,8,360,-500.0,500.0,546.4135158976487,True
46,183853,8,368,-500.0,500.0,546.4135158976487,True
47,187853,8,376,-500.0,500.0,546.4135158976487,True
48,191853,8,384,-500.0,500.0,546.4135158976487,True
49,195853,8,392,-500.0,500.0,546.4135158976487,True
50,199853,8,400,-500.0,500.0,546.4135158976487,True
51,203823,8,408,-496.125,496.25,546.4135158976487,True
52,207823,8,416,-500.0,500.0,546.4135158976487,True
53,211823,8,424,-500.0,500.0,546.4135158976487,True
54,215823,8,432,-500.0,500.0,546.4135158976487,True
55,219823,8,440,-500.0,500.0,546.4135158976487,True
56,223823,8,448,-500.0,500.0,546.4135158976487,True
57,227823,8,456,-500.0,500.0,546.4135158976487,True
58,231823,8,464,-500.0,500.0,546.4135158976487,True
59,235823,8,472,-500.0,500.0,546.4135158976487,True
60,239823,8,480,-500.0,500.0,546.4135158976487,True
61,243823,8,488,-500.0,500.0,546.4135158976487,True
62,247823,8,496,-500.0,500.0,546.4135158976487,True
63,251823,8,504,-500.0,500.0,546.4135158976487,True
64,255823,8,512,-500.0,500.0,546.4135158976487,True
65,259823,8,520,-500.0,500.0,546.4135158976487,True
66,263823,8,528,-500.0,500.0,546.4135158976487,True
67,267823,8,536,-500.0,500.0,546.4135158976487,True
68,271823,8,544,-500.0,500.0,546.4135158976487,True
69,275823,8,552,-500.0,500.0,546.4135158976487,True
70,279823,8,560,-500.0,500.0,546.4135158976487,True
71,283823,8,568,-500.0,500.0,546.4135158976487,True
72,287823,8,576,-500.0,500.0,546.4135158976487,True
73,291823,8,584,-500.0,500.0,546.4135158976487,True
74,295823,8,592,-500.0,500.0,546.4135158976487,True
75,299823,8,600,-500.0,500.0,546.4135158976487,True
76,303823,8,608,-500.0,500.0,546.4135158976487,True
77,307823,8,616,-500.0,500.0,546.4135158976487,True
78,311823,8,624,-500.0,500.0,546.4135158976487,True
79,315823,8,632,-500.0,500.0,546.4135158976487,True
80,319823,8,640,-500.0,500.0,546.4135158976487,True
81,323823,8,648,-500.0,500.0,546.4135158976487,True
82,327823,8,656,-500.0,500.0,546.4135158976487,True
83,331823,8,664,-500.0,500.0,546.4135158976487,True
84,335823,8,672,-500.0,500.0,546.4135158976487,True
85,339823,8,680,-500.0,500.0,546.4135158976487,True
86,343823,8,688,-500.0,500.0,546.4135158976487,True
87,347744,8,696,-490.0,490.125,546.4135158976487,True
88,351744,8,704,-500.0,500.0,546.4135158976487,True
89,355744,8,712,-500.0,500.0,546.4135158976487,True
90,359744,8,720,-500.0,500.0,546.4135158976487,True
91,363744,8,728,-500.0,500.0,546.4135158976487,True
92,367744,8,736,-500.0,500.0,546.4135158976487,True
93,371744,8,744,-500.0,500.0,546.4135158976487,True
94,375744,8,752,-500.0,500.0,546.4135158976487,True
95,379744,8,760,-500.0,500.0,546.4135158976487,True
96,383727,8,768,-497.75,497.875,546.4135158976487,True
97,387727,8,776,-500.0,500.0,546.4135158976487,True
98,391615,8,784,-485.875,486.0,546.4135158976487,True
99,395587,8,792,-496.375,496.5,546.4135158976487,True
100,399553,8,800,-495.625,495.75,546.4135158976487,True
101,403553,8,808,-500.0,500.0,546.4135158976487,True
102,407553,8,816,-500.0,500.0,546.4135158976487,True
103,411447,8,824,-486.5,486.75,546.4135158976487,True
104,415447,8,832,-500.0,500.0,546.4135158976487,True
105,419447,8,840,-500.0,500.0,546.4135158976487,True
106,423447,8,848,-500.0,500.0,546.4135158976487,True
107,427392,8,856,-493.0,493.125,546.4135158976487,True
108,431334,8,864,-492.625,492.75,546.4135158976487,True
109,435334,8,872,-500.0,500.0,546.4135158976487,True
110,439334,8,880,-500.0,500.0,546.4135158976487,True
111,443094,8,888,-469.75,470.0,546.4135158976487,True
112,446928,8,896,-479.125,479.25,546.4135158976487,True
113,450904,8,904,-496.75,497.0,546.4135158976487,True
114,454801,8,912,-487.0,487.125,546.4135158976487,True
115,458605,8,920,-475.125,475.5,546.4135158976487,True
116,462513,8,928,-488.25,488.5,546.4135158976487,True
117,466247,8,936,-466.375,466.75,546.4135158976487,True
118,469709,8,944,-432.0,432.75,546.4135158976487,True
119,473345,8,952,-454.125,454.5,546.4135158976487,True
120,477178,8,960,-478.625,479.125,546.4135158976487,True
121,480745,8,968,-445.375,445.875,546.4135158976487,True
122,484366,8,976,-452.0,452.625,546.4135158976487,True
123,488366,8,984,-500.0,500.0,546.4135158976487,True
124,492032,8,992,-458.0,458.25,546.4135158976487,True
125,495739,8,1000,-463.0,463.375,546.4135158976487,True
126,499267,8,1008,-440.375,441.0,546.4135158976487,True
127,502804,8,1016,-441.5,442.125,546.4135158976487,True
