initialization,switch_time,reference_switch_time,metric,mean_paired_difference,ci_lower,ci_upper,n_pairs
uniform,500,2000,population_return,0.008329471939948124,0.008302336871636484,0.008356607008259765,100
uniform,500,2000,q,0.005748268819084186,0.0057118674589617825,0.005784670179206589,100
uniform,500,2000,pi1_a0,0.004423254881067111,0.00441113453075928,0.004435375231374943,100
uniform,1000,2000,population_return,0.006701031684049461,0.006673533927836946,0.006728529440261976,100
uniform,1000,2000,q,0.004607208705076085,0.004570836156538704,0.004643581253613466,100
uniform,1000,2000,pi1_a0,0.0035442564418269483,0.0035323244241369637,0.003556188459516933,100
uniform,1500,2000,population_return,0.004080798514830992,0.004058470569404512,0.004103126460257472,100
uniform,1500,2000,q,0.0028049034656278293,0.0027760986319461446,0.002833708299309514,100
uniform,1500,2000,pi1_a0,0.0021514883640541527,0.0021393790226313107,0.0021635977054769947,100
uniform,2500,2000,population_return,-0.006971390223108989,-0.007014672030150078,-0.006928108416067899,100
uniform,2500,2000,q,-0.00487970284147208,-0.0049320610587842715,-0.004827344624159889,100
uniform,2500,2000,pi1_a0,-0.0036611718093322574,-0.0036808214294050652,-0.0036415221892594496,100
adverse,500,2000,population_return,-0.48539073372882585,-0.48542630115551494,-0.48535516630213676,100
adverse,500,2000,q,-0.9829863369837671,-0.9830316846035331,-0.9829409893640012,100
adverse,500,2000,pi1_a0,-0.9140544496617402,-0.9148369482093256,-0.9132719511141548,100
adverse,1000,2000,population_return,0.003135482687583443,0.002948966442926228,0.003321998932240658,100
adverse,1000,2000,q,0.001680455562990737,0.0015286059127077262,0.0018323052132737476,100
adverse,1000,2000,pi1_a0,0.0014261635588531884,0.0013171770375633442,0.0015351500801430325,100
adverse,1500,2000,population_return,0.0036201963695130335,0.003596212306291869,0.0036441804327341978,100
adverse,1500,2000,q,0.0025032115201002003,0.0024741328939510247,0.002532290146249376,100
adverse,1500,2000,pi1_a0,0.0019032645291836502,0.0018896876670441362,0.0019168413913231643,100
adverse,2500,2000,population_return,-0.006835892017887412,-0.006879999469543255,-0.006791784566231568,100
adverse,2500,2000,q,-0.004821038335938324,-0.004873750218773391,-0.004768326453103256,100
adverse,2500,2000,pi1_a0,-0.003605704425276669,-0.003625320863732105,-0.0035860879868212328,100
