initialization,n_trajectories,method,seeds,success_rate,success_wilson95_low,success_wilson95_high,final_return_mean,final_return_median,completed_all_updates_rate,last_update_median,last_update_min,zero_s1_batch_fraction_mean,reached_safe_positive_rate
adverse,4,sampled_pg_reward_only,100,0.0,0.0,0.037,0.449,0.4491,1.0,100,100,0.9433,0.0
adverse,4,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.4113,0.4113,1.0,100,100,0.8814,0.0
adverse,4,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3611,0.3613,1.0,100,100,0.8455,0.0
adverse,4,sampled_npg_reward_only,100,0.0,0.0,0.037,0.5,0.5,1.0,100,100,0.9973,0.0
adverse,4,sampled_npg_logbarrier_handoff,100,0.08,0.041,0.15,0.5543,0.5,0.97,100,50,0.5426,0.67
adverse,4,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.4316,0.3872,1.0,100,100,0.3489,0.83
adverse,32,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4491,0.4491,1.0,100,100,0.6364,0.0
adverse,32,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.4114,0.4114,1.0,100,100,0.3817,0.0
adverse,32,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3618,0.3617,1.0,100,100,0.3129,0.0
adverse,32,sampled_npg_reward_only,100,0.0,0.0,0.037,0.5,0.5,1.0,100,100,0.9769,0.0
adverse,32,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,1.0,1.0,1.0,100,100,0.0231,1.0
adverse,32,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6335,0.6339,1.0,100,100,0.0231,1.0
adverse,128,sampled_pg_reward_only,100,0.0,0.0,0.037,0.4491,0.4491,1.0,100,100,0.1727,0.0
adverse,128,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.4115,0.4115,1.0,100,100,0.0318,0.0
adverse,128,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3618,0.3618,1.0,100,100,0.0266,0.0
adverse,128,sampled_npg_reward_only,100,0.0,0.0,0.037,0.5,0.5,1.0,100,100,0.9183,0.0
adverse,128,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,1.0,1.0,1.0,100,100,0.0022,1.0
adverse,128,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6208,0.6194,1.0,100,100,0.0022,1.0
uniform,4,sampled_pg_reward_only,100,0.0,0.0,0.037,0.356,0.3546,1.0,100,100,0.1967,0.2
uniform,4,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.3544,0.3534,1.0,100,100,0.1956,0.19
uniform,4,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3497,0.3488,1.0,100,100,0.1955,0.08
uniform,4,sampled_npg_reward_only,100,0.36,0.273,0.458,0.6448,0.5,0.76,100,10,0.3387,0.65
uniform,4,sampled_npg_logbarrier_handoff,100,0.33,0.246,0.427,0.6602,0.5,0.93,100,50,0.3394,0.8
uniform,4,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.5067,0.4324,0.95,100,100,0.1981,0.88
uniform,32,sampled_pg_reward_only,100,0.0,0.0,0.037,0.3551,0.3551,1.0,100,100,0.0,0.01
uniform,32,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.3535,0.3535,1.0,100,100,0.0,0.01
uniform,32,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.349,0.3489,1.0,100,100,0.0,0.0
uniform,32,sampled_npg_reward_only,100,1.0,0.963,1.0,1.0,1.0,1.0,100,100,0.0,1.0
uniform,32,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,1.0,1.0,1.0,100,100,0.0,1.0
uniform,32,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6331,0.6322,1.0,100,100,0.0,1.0
uniform,128,sampled_pg_reward_only,100,0.0,0.0,0.037,0.3547,0.3547,1.0,100,100,0.0,0.0
uniform,128,sampled_pg_logbarrier_handoff,100,0.0,0.0,0.037,0.3532,0.3531,1.0,100,100,0.0,0.0
uniform,128,sampled_pg_logbarrier_fixed,100,0.0,0.0,0.037,0.3487,0.3488,1.0,100,100,0.0,0.0
uniform,128,sampled_npg_reward_only,100,1.0,0.963,1.0,1.0,1.0,1.0,100,100,0.0,1.0
uniform,128,sampled_npg_logbarrier_handoff,100,1.0,0.963,1.0,1.0,1.0,1.0,100,100,0.0,1.0
uniform,128,sampled_npg_logbarrier_fixed,100,0.0,0.0,0.037,0.6204,0.6194,1.0,100,100,0.0,1.0
