Device       : cpu

========== GPOMDP LOSS ==========
states shape  = (128, 500, 17)
actions shape = (128, 500, 6)
rewards shape = (128, 500)
returns shape = (128, 500)
mask shape    = (128, 500)
log_probs shape = (128, 500)
valid steps = 64000
objective = 35.595642
loss = -35.595642
========== END GPOMDP DEBUG ==========


========== NPG PRECONDITIONING ==========
Fisher condition number  : 7.981e+03
||nat_g|| / ||g||        : 11.921
========== END NPG DEBUG ==========

Iteration 0035 | train reward: 174.61 | best: 174.61 | KL: 7.192e-03 | std: 0.5683 | rollout: 4.951s | update: 0.139s | total: 5.090s | samples/s: 12573
Iteration 0036 | train reward: 181.81 | best: 181.81 | KL: 1.043e-02 | std: 0.5669 | rollout: 5.018s | update: 0.133s | total: 5.151s | samples/s: 12426
Iteration 0037 | train reward: 188.31 | best: 188.31 | KL: 1.219e-02 | std: 0.5643 | rollout: 5.196s | update: 0.145s | total: 5.341s | samples/s: 11983
Iteration 0038 | train reward: 201.43 | best: 201.43 | KL: 6.834e-03 | std: 0.5605 | rollout: 5.113s | update: 0.135s | total: 5.249s | samples/s: 12193
Iteration 0039 | train reward: 216.88 | best: 216.88 | KL: 1.183e-02 | std: 0.5599 | rollout: 5.031s | update: 0.143s | total: 5.174s | samples/s: 12369
Iteration 0040 | train reward: 237.00 | best: 237.00 | KL: 1.326e-02 | std: 0.5571 | rollout: 4.944s | update: 0.192s | total: 5.137s | samples/s: 12460
Iteration 0041 | train reward: 268.61 | best: 268.61 | KL: 1.188e-02 | std: 0.5547 | rollout: 4.954s | update: 0.145s | total: 5.100s | samples/s: 12549
Iteration 0042 | train reward: 274.26 | best: 274.26 | KL: 1.468e-02 | std: 0.5513 | rollout: 5.189s | update: 0.142s | total: 5.331s | samples/s: 12005
Iteration 0043 | train reward: 272.29 | best: 274.26 | KL: 1.760e-02 | std: 0.5501 | rollout: 5.171s | update: 0.197s | total: 5.368s | samples/s: 11923
Iteration 0044 | train reward: 323.90 | best: 323.90 | KL: 1.459e-02 | std: 0.5489 | rollout: 4.994s | update: 0.144s | total: 5.138s | samples/s: 12455
Iteration 0045 | train reward: 336.87 | best: 336.87 | KL: 1.876e-02 | std: 0.5449 | rollout: 5.262s | update: 0.145s | total: 5.407s | samples/s: 11836
Iteration 0046 | train reward: 321.27 | best: 336.87 | KL: 2.925e-02 | std: 0.5423 | rollout: 5.153s | update: 0.217s | total: 5.370s | samples/s: 11917
