seed,run_label,arm_failed,paired_arm_failed,update,environment_steps,beta,barrier_active,stochastic_return,deterministic_return,stochastic_termination_rate,deterministic_episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,archived_reward_gradient_norm,archived_barrier_gradient_norm,archived_regularizer_gradient_norm,archived_reward_regularizer_cosine,on_policy_numerical_rank,on_policy_maximum_possible_rank,on_policy_trace,on_policy_largest_eigenvalue,on_policy_smallest_positive_eigenvalue,on_policy_positive_spectrum_condition_number,on_policy_k90,on_policy_participation_ratio,on_policy_entropy_effective_rank,on_policy_log_pseudodeterminant,on_policy_rank_deficit,on_policy_reward_gradient_norm,on_policy_captured_euclidean_energy_fraction,on_policy_leading_k90_euclidean_energy_fraction,on_policy_leading_k90_natural_energy_fraction,on_policy_natural_energy,on_policy_gradient_energy_outside_positive_span,on_policy_undamped_natural_quadratic_form,on_policy_damped_natural_quadratic_form,on_policy_undamped_kl_scale,on_policy_damped_kl_scale,on_policy_undamped_natural_direction_norm,on_policy_damped_natural_direction_norm,on_policy_undamped_natural_step_norm,on_policy_damped_natural_step_norm,on_policy_damped_step_norm_bound,fixed_reference_numerical_rank,fixed_reference_maximum_possible_rank,fixed_reference_trace,fixed_reference_largest_eigenvalue,fixed_reference_smallest_positive_eigenvalue,fixed_reference_positive_spectrum_condition_number,fixed_reference_k90,fixed_reference_participation_ratio,fixed_reference_entropy_effective_rank,fixed_reference_log_pseudodeterminant,fixed_reference_rank_deficit,fixed_reference_reward_gradient_norm,fixed_reference_captured_euclidean_energy_fraction,fixed_reference_leading_k90_euclidean_energy_fraction,fixed_reference_leading_k90_natural_energy_fraction,fixed_reference_natural_energy,fixed_reference_gradient_energy_outside_positive_span,fixed_reference_undamped_natural_quadratic_form,fixed_reference_damped_natural_quadratic_form,fixed_reference_undamped_kl_scale,fixed_reference_damped_kl_scale,fixed_reference_undamped_natural_direction_norm,fixed_reference_damped_natural_direction_norm,fixed_reference_undamped_natural_step_norm,fixed_reference_damped_natural_step_norm,fixed_reference_damped_step_norm_bound
1012,logbarrier_handoff_h25,False,True,0,0,546.4135158976487,True,-496.3125,-500.0,0.03125,500.0,1.0896610021591187,0.27821800112724304,0.25324007868766785,-1.1077030897140503,157.36538696289062,0.11332324892282486,61.921363830566406,-0.2290593981742859,60,155,1.4908035942505018,0.8773603605587839,1.0324649672698337e-10,8497725233.998052,2,2.0108688918882285,2.2164203221932226,-940.4458800375995,95,5.808727992981457,0.9999999998343043,0.98955554346346,0.06506562058439475,587.1114376009211,5.5907776186359115e-09,587.1114376009211,53.78286697514331,0.0018456728651597288,0.006098078675902646,716075.7097425632,30.790791227866848,1321.641506871843,0.1877646674008251,0.4472135954999579,31,155,1.4728943550856552,0.8870639670282177,2.4868580604319017e-10,3567006823.357494,2,1.9242776489969176,1.983714134511723,-462.6300442931622,124,5.808727992981457,0.9999997751595155,0.9890997541698098,0.0003712703656071577,101730.10213886258,7.586414923821394e-06,101730.10213886258,72.75217562036188,0.00014021363795225207,0.005243146652227432,7274224.591665583,58.740757381628626,1019.9454932791666,0.30798640541478994,0.4472135954999579
1012,logbarrier_handoff_h25,False,True,50,199227,546.4135158976487,True,-488.125,-294.65625,0.125,295.1875,1.0957976579666138,0.30559679865837097,0.2465171068906784,-1.1014684438705444,183.6285400390625,0.04088211804628372,22.338539123535156,-0.07411753386259079,53,155,1.4608865134645959,0.8681765142718534,1.433715897184541e-10,6055429223.995734,2,1.9891962618016357,2.1734912519075844,-808.1257787434226,102,3.314622864397614,0.999999999249941,0.9768511667143606,0.02864259610861949,446.56018822399733,8.240686355520666e-09,446.56018822399733,25.95139403317856,0.002116289107948256,0.008778789831133706,496669.1564144029,28.039048211883696,1051.0955259736495,0.2461489113171523,0.4472135954999579,31,155,1.4438281482664495,0.8756803504920311,2.174759119497951e-10,4026562494.3979278,2,1.9178772770284538,1.980961925198532,-466.98542386407473,124,3.314622864397614,0.9999975976724963,0.9726840820901109,0.00042772721290501163,29554.55879082516,2.6393710994554453e-05,29554.55879082516,41.58527072714172,0.00026013737747667667,0.00693498029248349,6011253.474998354,53.25385441287506,1563.7517143336313,0.36931443085207344,0.4472135954999579
1012,logbarrier_handoff_h25,False,True,100,395529,546.4135158976487,True,-472.0625,-140.21875,0.375,141.21875,1.0925666093826294,0.2989065945148468,0.2279272973537445,-1.1046366691589355,385.18585205078125,0.056607235223054886,30.930944442749023,0.025423813611268997,50,155,1.4995307795643844,0.9103370542800681,1.5422487741805264e-10,5902660255.079636,2,1.95483077134644,2.1186496824894356,-769.3531897570779,105,3.782805261854111,0.9999999996276407,0.9572324440923086,0.021296860769207414,710.5815604723433,5.328319119257685e-09,710.5815604723433,42.542621075408064,0.00167767576574836,0.006856506247577048,809556.367643497,36.61833041266608,1358.1730990027645,0.2510738112502856,0.4472135954999579,31,155,1.4901590900387394,0.9181066649591183,2.3406247353741184e-10,3922485527.4050193,2,1.9021148818279867,1.9721108134912102,-462.91648661715556,124,3.782805261854111,0.9999972705154748,0.9559134124588542,0.000335811619951483,44626.84553705815,3.905787447777698e-05,44626.84553705815,75.66953218127293,0.00021169807210188646,0.005141081318570067,6229302.177317266,76.71857412748021,1318.731261478149,0.3944164282341214,0.4472135954999579
1012,logbarrier_handoff_h25,False,True,150,534408,546.4135158976487,True,-196.4375,-99.59375,1.0,100.5625,1.0173799991607666,0.21013721823692322,0.13409985601902008,-1.1826967000961304,266.7685852050781,0.30588868260383606,167.14169311523438,-0.25049149990081787,69,155,1.824231450448023,1.0401396122193316,1.3208514528315022e-10,7874766007.862503,2,2.156715017928201,2.516888841522873,-1047.8910613506462,86,5.2274466268376125,0.9999999998372865,0.9521031545735148,0.04955687474054327,764.3878229282102,4.446345513997585e-09,764.3878229282102,70.72463826034247,0.0016175515042458355,0.005317770989146523,963865.4213829346,37.67861073757763,1559.1019622485119,0.200366223091635,0.4472135954999579,33,155,1.775327035047476,1.080666185933889,1.11324634542571e-10,9707340970.615429,2,1.9169142468929201,1.992047904684537,-477.90884614029363,122,5.2274466268376125,0.999989355718515,0.9608711180062309,6.0013610091954816e-05,624363.7181967647,0.0002908677459423359,624363.7181967647,137.44116962220386,5.659735932692246e-05,0.0038146665107346533,56174169.709396794,97.48103021574742,3179.309667934254,0.37185762139592454,0.4472135954999579
1012,logbarrier_handoff_h25,False,True,200,624541,546.4135158976487,True,-239.3125,-112.15625,1.0,113.09375,1.038227915763855,0.23224978148937225,0.14468646049499512,-1.1594977378845215,262.18048095703125,0.2591754198074341,141.61697387695312,-0.03516799211502075,68,155,1.7194332028554244,0.9361525141370575,1.046744460642956e-10,8943467573.375376,2,2.1567685746761653,2.4490873464759955,-1051.3981875439636,87,4.825794308966763,0.9999999997819828,0.984660807638723,0.05245816159407827,547.2307286935704,5.077239961792657e-09,547.2307286935704,39.344386409206905,0.0019117441048295393,0.007129738633124356,749151.1659114087,22.416165157939975,1432.1853250573117,0.15982139873306078,0.4472135954999579,32,155,1.6787346823347309,0.9628446449160828,1.1916387786358609e-10,8080004294.743646,2,1.9646930949100814,2.013605763414806,-458.72427548378437,123,4.825794308966763,0.9999971609802434,0.9795647987513987,0.0002984164291574191,93774.64702659336,6.611591742355927e-05,93774.64702659336,73.19222570327847,0.00014604015283345225,0.005227361331458393,5120042.240670618,66.29750242256759,747.7317513412684,0.3465610005359989,0.4472135954999579
1012,logbarrier_handoff_h25,False,True,249,721056,546.4135158976487,True,-249.5,-82.1875,1.0,83.1875,1.0478929281234741,0.23861297965049744,0.14477327466011047,-1.1501590013504028,258.1307067871094,0.23674587905406952,129.3611297607422,-0.3049912750720978,64,155,1.72092342948046,0.8691638101040777,1.4592227869658514e-10,5956347569.868492,2,2.1636838648361283,2.4115465262891234,-981.4574019269569,91,1.666881277341552,0.9999999975337485,0.7259988189204483,0.006590580560917412,363.05443048843495,6.85246348552937e-09,363.05443048843495,23.71079812857922,0.002347086672239613,0.009184212239039433,658812.432380108,26.48822634244386,1546.2898795451129,0.2432734925647196,0.4472135954999579,32,155,1.6822629203648385,0.8883052308650186,1.0347392097874766e-10,8584822363.573775,2,2.001181731008781,2.0303577744346764,-463.53517718128177,123,1.666881277341552,0.9999877364974219,0.7185366234804621,1.892320382787271e-05,123350.7144635636,3.407405843303124e-05,123350.7144635636,77.45248925747588,0.00012733393584576192,0.005081562924140189,9922092.616816562,84.99193248111972,1263.419104725428,0.43189185294708426,0.4472135954999579
1012,logbarrier_handoff_h25,False,True,250,722980,0.0,False,-256.1875,-77.53125,1.0,78.53125,1.046639084815979,0.2382001429796219,0.14650043845176697,-1.1514354944229126,284.6219787597656,0.21848472952842712,0.0,nan,63,155,1.7181300701573325,0.8691974642917101,1.0906631210983818e-10,7969440310.921682,2,2.167496510224325,2.417592331804941,-963.0071009261769,92,5.538029078675946,0.9999999996939938,0.9858835569217572,0.048607812061165656,788.9697768253417,9.385146881868422e-09,788.9697768253417,52.70252178111059,0.001592153054481259,0.006160263648759476,579466.6130636473,28.355598576363793,922.5995379591958,0.1746779631487898,0.4472135954999579,32,155,1.6810161187070984,0.8870653421698966,1.042121960749982e-10,8512106793.445787,2,2.001346845288332,2.0304642424640176,-463.44281803926526,123,5.538029078675946,0.9999981254872354,0.9895794583674297,6.178457634062657e-05,614190.1963999916,5.749086800221903e-05,614190.1963999916,68.06598326865802,5.706417696342657e-05,0.0054206321491161065,7680241.7807993125,54.53685610600901,438.2666761014344,0.2956242355199515,0.4472135954999579
1012,logbarrier_handoff_h25,False,True,251,725436,0.0,False,-247.3125,-87.28125,1.0,88.28125,1.0472992658615112,0.2390223741531372,0.14536592364311218,-1.1507740020751953,180.89044189453125,0.21752667427062988,0.0,nan,69,155,1.726540683415493,0.8661390734570141,1.1495957568623224e-10,7534292539.67527,2,2.2000110700371316,2.4823633838228245,-1069.1824706061602,86,5.614162761905989,0.9999999998851831,0.98388335894719,0.06724357187843563,594.4232551412407,3.6188971819228755e-09,594.4232551412407,52.38979150185852,0.001834286213915271,0.006178622516968959,921131.3905854288,22.14029023215198,1689.6186109554549,0.13679649576060213,0.4472135954999579,32,155,1.6829396794527605,0.8895634080628456,1.059048788376361e-10,8399645208.287758,2,2.000974143760857,2.030413731791174,-463.1290205823737,123,5.614162761905989,0.999995838828837,0.9796549117122932,5.8379010298721367e-05,669489.6374527975,0.00013115521951334586,669489.6374527975,100.09696255306022,5.465665738499751e-05,0.004469969381846668,24902234.034934238,77.1129080091088,1361.0728737684249,0.34469233774587504,0.4472135954999579
1012,logbarrier_handoff_h25,False,True,300,795739,0.0,False,-130.71875,-95.375,1.0,96.34375,0.8656916618347168,0.14252328872680664,0.06257663667201996,-1.361497402191162,127.05326843261719,0.6420531272888184,0.0,nan,70,155,2.5987073355535646,1.753420904581646,1.782185478897168e-10,9838599435.041285,2,1.9121860144046388,2.3947865842178673,-1031.7475983699374,85,6.1393468437887915,0.9999999996192742,0.9802578685513854,0.05445124901426015,544.544441301495,1.4350156618547771e-08,544.544441301495,41.70586905276039,0.0019164537077611464,0.006924946303147439,645210.4701559173,25.183622165842255,1236.5159978166203,0.17439523121721123,0.4472135954999579,36,155,2.581540097393624,1.885187790327434,1.8970001555591546e-10,9937731342.840935,2,1.6549016116973472,1.8344634747044835,-524.7229469952579,119,6.1393468437887915,0.9999990307920874,0.9864431737366441,5.144647068427852e-05,553650.659206291,3.653097725475618e-05,553650.659206291,71.04348127330269,6.010312968811456e-05,0.005305824496917643,35303036.23985006,60.24702059043872,2121.8229655079163,0.31966011771505143,0.4472135954999579
1012,logbarrier_handoff_h25,False,True,350,845913,0.0,False,-128.0,-87.9375,1.0,88.9375,0.6995024681091309,0.091115802526474,0.03290686011314392,-1.6011717319488525,104.62197875976562,0.9332339763641357,0.0,nan,81,155,3.462656856247376,2.4723135124102504,2.5287915887571606e-10,9776659822.035126,3,1.839845259424686,2.5203703011974747,-1171.2436905278862,74,7.499296955919775,0.9999999998027217,0.9937718763450633,0.08621881316975734,752.8509742017957,1.1094847707227018e-08,752.8509742017957,79.59751775105741,0.0016298982350380776,0.005012625228712799,342524.60319282004,34.053443855951386,558.2802462010952,0.1706971517968968,0.4472135954999579,37,155,3.7533794868210197,3.1280534304411423,3.2706046574389046e-10,9564144120.343212,2,1.387125755529915,1.6118910002341527,-525.586821148854,118,7.499296955919775,0.9999852069900019,0.97273810195833,4.1084624683803195e-05,1187500.2653849283,0.0008319508176413137,1187500.2653849283,156.53588464023906,4.103912949765213e-05,0.003574440250177129,32239618.23526997,88.39373614121392,1323.0858677121114,0.3159581283266918,0.4472135954999579
