window,arm_failed,checkpoint_rows,runs,environment_steps_median,beta_median,barrier_active_median,stochastic_return_median,deterministic_return_median,stochastic_termination_rate_median,deterministic_episode_length_median,entropy_median,mean_min_probability_median,global_min_probability_median,barrier_value_median,archived_reward_gradient_norm_median,archived_barrier_gradient_norm_median,archived_regularizer_gradient_norm_median,archived_reward_regularizer_cosine_median,on_policy_numerical_rank_median,on_policy_maximum_possible_rank_median,on_policy_trace_median,on_policy_largest_eigenvalue_median,on_policy_smallest_positive_eigenvalue_median,on_policy_positive_spectrum_condition_number_median,on_policy_k90_median,on_policy_participation_ratio_median,on_policy_entropy_effective_rank_median,on_policy_log_pseudodeterminant_median,on_policy_rank_deficit_median,on_policy_reward_gradient_norm_median,on_policy_captured_euclidean_energy_fraction_median,on_policy_leading_k90_euclidean_energy_fraction_median,on_policy_leading_k90_natural_energy_fraction_median,on_policy_natural_energy_median,on_policy_gradient_energy_outside_positive_span_median,on_policy_undamped_natural_quadratic_form_median,on_policy_damped_natural_quadratic_form_median,on_policy_undamped_kl_scale_median,on_policy_damped_kl_scale_median,on_policy_undamped_natural_direction_norm_median,on_policy_damped_natural_direction_norm_median,on_policy_undamped_natural_step_norm_median,on_policy_damped_natural_step_norm_median,on_policy_damped_step_norm_bound_median,fixed_reference_numerical_rank_median,fixed_reference_maximum_possible_rank_median,fixed_reference_trace_median,fixed_reference_largest_eigenvalue_median,fixed_reference_smallest_positive_eigenvalue_median,fixed_reference_positive_spectrum_condition_number_median,fixed_reference_k90_median,fixed_reference_participation_ratio_median,fixed_reference_entropy_effective_rank_median,fixed_reference_log_pseudodeterminant_median,fixed_reference_rank_deficit_median,fixed_reference_reward_gradient_norm_median,fixed_reference_captured_euclidean_energy_fraction_median,fixed_reference_leading_k90_euclidean_energy_fraction_median,fixed_reference_leading_k90_natural_energy_fraction_median,fixed_reference_natural_energy_median,fixed_reference_gradient_energy_outside_positive_span_median,fixed_reference_undamped_natural_quadratic_form_median,fixed_reference_damped_natural_quadratic_form_median,fixed_reference_undamped_kl_scale_median,fixed_reference_damped_kl_scale_median,fixed_reference_undamped_natural_direction_norm_median,fixed_reference_damped_natural_direction_norm_median,fixed_reference_undamped_natural_step_norm_median,fixed_reference_damped_natural_step_norm_median,fixed_reference_damped_step_norm_bound_median
pre_handoff,True,156,30,400000.0,0.0,0.0,-500.0,-500.0,0.0,500.0,1.0727776288986206,0.25057224929332733,0.195071242749691,-1.125228226184845,214.24465942382812,0.1694549173116684,0.0,-0.1357802003622055,55.0,155.0,1.488577603524322,0.8714513388276477,1.1522420596643467e-10,7583061433.149252,2.0,2.013266137427215,2.1795075876356678,-853.9948440572103,100.0,3.4011711178621864,0.999999999623332,0.9865389798564521,0.036294072344415215,483.1305080627998,4.466071623632217e-09,483.1305080627998,29.231369486231706,0.0020346228521606093,0.008271915325904159,616435.9100206562,24.44775971727561,1275.7082634856747,0.20703094218206194,0.4472135954999579,31.0,155.0,1.467486891662876,0.8762350116081159,1.6483073744569737e-10,5578603828.404354,2.0,1.941426721378853,1.9921109098976757,-452.269009524309,124.0,3.4011711178621864,0.9999979621550388,0.9858621353683303,0.00014748539874466165,121449.97158428485,2.7705328500937654e-05,121449.97158428485,40.27388234233133,0.0001283507994123872,0.007047866957022015,10792373.363240356,39.20831439710237,1610.5198031106395,0.32633155485113663,0.4472135954999579
pre_handoff,False,163,28,399923.0,546.4135158976487,1.0,-500.0,-500.0,0.0,500.0,1.087559700012207,0.27839595079421997,0.215427428483963,-1.1102334260940552,223.5447540283203,0.11080720275640488,37.907867431640625,-0.16800715029239655,57.0,155.0,1.5962476789708384,0.9147286499967742,1.1809094812366498e-10,7741534413.1491165,2.0,2.0311026172357085,2.209593950369231,-864.5590823634805,98.0,3.782805261854111,0.9999999996202327,0.984660807638723,0.03613907022104754,493.13455003567117,4.66041072400003e-09,493.13455003567117,30.92842827594542,0.0020138739408154765,0.008041481600063077,599277.5740027572,24.041482098268563,1244.531362267711,0.200366223091635,0.4472135954999579,30.0,155.0,1.5733781770668287,0.92240113245497,1.9205169144323948e-10,5592409347.5099,2.0,1.959978943951532,2.0009290815777243,-448.15333649701586,125.0,3.782805261854111,0.9999976227702251,0.9834129093266678,0.00010647014184547596,140285.8884973725,3.0043563814530216e-05,140285.8884973725,44.31216741369185,0.00011940101105209062,0.006718208860396532,14054661.604772607,41.28290494283585,1622.0927810434466,0.33550622498355254,0.4472135954999579
post_handoff,True,486,30,2400000.0,0.0,0.0,-500.0,-500.0,0.0,500.0,1.0228758454322815,0.19920110702514648,0.13347459584474564,-1.1767635941505432,225.06263732910156,0.32233551144599915,0.0,nan,55.0,155.0,1.6758892356433344,1.100088020600412,1.2895307310083137e-10,8446222378.685409,2.0,1.8857720088722907,2.123182720937961,-835.9845355971477,100.0,3.7948317960229194,0.9999999996314781,0.9868048157548355,0.03796379697040003,482.01939166574016,5.2096194025352816e-09,482.01939166574016,30.454967501458512,0.0020369619602510214,0.008103757734619597,562768.2795606493,23.20787520629971,1157.683124986651,0.19643162881762707,0.4472135954999579,31.0,155.0,1.6539347755860057,1.118464396066738,1.6671629051507765e-10,7056342256.713079,2.0,1.7972257257461715,1.9106344757622447,-454.05329090524054,124.0,3.7948317960229194,0.9999976505695446,0.9849178100312682,9.66808854074632e-05,142277.41511464014,2.493076729681576e-05,142277.41511464014,42.64605211355527,0.0001185624151418796,0.0068481930016500055,14558056.057362529,40.52640275454674,1854.1115089333014,0.32009683922009047,0.4472135954999579
post_handoff,False,471,28,1191923.0,0.0,0.0,-96.8125,-85.84375,1.0,86.84375,0.4241357147693634,0.04147908836603165,0.004842428490519524,-2.260784864425659,111.3987045288086,1.360062599182129,0.0,nan,75.0,155.0,5.426257388585544,4.438265977186659,4.930073320091557e-10,9087838152.262424,2.0,1.4505145734524527,1.9938504268054615,-1042.0384201687577,80.0,5.557997275643728,0.9999999993872096,0.9417641473068384,0.028778242181869196,608.505506947218,2.443347568714671e-08,608.505506947218,52.70252178111059,0.001812937120424827,0.006160263648759476,362790.0458611012,32.52037203303337,635.6403787394441,0.20686457104937203,0.4472135954999579,36.0,155.0,7.241292629860796,6.694575548175154,8.112147686529066e-10,8429829655.56182,1.0,1.1528004362393063,1.323962074317701,-489.1212547663813,119.0,5.557997275643728,0.9999752655771453,0.8948859750476345,5.420325664599247e-06,1130347.5829273066,0.000955496731620542,1130347.5829273066,154.6397557967727,4.206384736326461e-05,0.0035962876386366007,22953563.728003405,90.81733990293326,975.6930352460425,0.3315259016101155,0.4472135954999579
final,True,30,30,3999558.0,0.0,0.0,-500.0,-500.0,0.0,500.0,0.9918049275875092,0.16412653774023056,0.10468489676713943,-1.220280647277832,213.86998748779297,0.44305193424224854,0.0,nan,54.5,155.0,1.6230236836390208,1.096839158024425,1.3090937545490017e-10,8474079144.380663,2.0,1.8652900356901292,2.0998329761154144,-828.9006295952446,100.5,3.0119891886059817,0.999999999514008,0.9831261714946897,0.027737495291907763,457.1478241541296,4.013720800166709e-09,457.1478241541296,28.679861864790354,0.002091738540641962,0.008362069803794218,624567.3726964106,21.80490555333428,1263.6765862138977,0.21153822988675686,0.4472135954999579,31.0,155.0,1.6065554346371087,1.1040077665259895,1.6938311533998272e-10,6886676671.323872,2.0,1.784290716525848,1.9081007651844921,-459.57643089824535,124.0,3.0119891886059817,0.9999962562109339,0.9824060402898747,5.196502803900844e-05,161444.44076403097,2.4946155264160552e-05,161444.44076403097,36.99007865229336,0.00011130729535801639,0.007353180248509063,15858930.458966792,40.691297420594836,1825.7488589243585,0.3392684660780767,0.4472135954999579
final,False,28,28,1451784.5,0.0,0.0,-89.109375,-85.171875,1.0,86.171875,0.24495810270309448,0.021489561535418034,0.0010373752447776496,-2.9944357872009277,98.19500732421875,1.5533961653709412,0.0,nan,77.0,155.0,7.527289249503455,6.633526385522626,7.025545008991977e-10,9157824696.129307,2.0,1.2735709803603794,1.6829264094894107,-1045.6081743039053,78.0,6.349269649624008,0.9999999990761508,0.8947671701290258,0.013105549201437052,722.4703411379604,3.9803972562424406e-08,722.4703411379604,58.24939072902941,0.0016642718494779601,0.0058795675606504874,336665.2968449931,39.569261443335044,543.2678213873251,0.22962487906468748,0.4472135954999579,36.5,155.0,14.060694656229476,13.469735071824534,1.5170057424850437e-09,8310365613.539785,1.0,1.0767317903245903,1.196464388525566,-478.62305011088483,118.5,6.349269649624008,0.9999761458159158,0.8368369038819419,4.628940644437241e-06,803646.0110522143,0.0012780847612461343,803646.0110522143,180.36189241997016,4.988676951679592e-05,0.0033300308493579046,12874382.640216056,95.03252981852128,676.2060700774703,0.32410544096542127,0.4472135954999579
