seed,update,reward_gradient_norm,unscaled_barrier_gradient_norm,unscaled_entropy_gradient_norm,unscaled_barrier_to_reward_ratio,unscaled_entropy_to_reward_ratio
193,0,1067.59228515625,0.2815023362636566,0.2890015244483948,0.00026367962767964053,0.0002707040210637128
193,1,901.9619140625,0.2858307659626007,0.29353445768356323,0.0003168989305492943,0.0003254399693679563
193,2,613.659423828125,0.28369003534317017,0.288612425327301,0.0004622923144787012,0.0004703136856057411
193,3,796.9183349609375,0.29077252745628357,0.29725751280784607,0.0003648711727413529,0.00037300875104400344
193,4,937.7296752929688,0.29049599170684814,0.2944103479385376,0.0003097864974957632,0.00031396078816270465
194,0,1819.4608154296875,0.08000023663043976,0.080487459897995,4.3969200079500885e-05,4.4236984504108114e-05
194,1,2213.0908203125,0.085545115172863,0.0864018127322197,3.8654136733884055e-05,3.9041241298908515e-05
194,2,794.1417236328125,0.10449842363595963,0.10589464753866196,0.0001315866180131301,0.00013334477258573622
194,3,881.023681640625,0.0684591680765152,0.06762489676475525,7.770411795178068e-05,7.675718391454075e-05
194,4,796.19384765625,0.10911654680967331,0.1112716868519783,0.00013704771410992297,0.0001397545172944101
