run_label,method,seed,finite,learning_rate,final_stochastic_return,final_deterministic_return,final_stochastic_termination_rate,stochastic_return_auc,environment_steps,optimizer_updates,training_episodes,environment_step_return_auc,failure
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1021,True,0.003,-89.09375,-81.875,1.0,-146.1725625,1169889,1000,8000,-190.7089277273314,False
reward_only,gpomdp_reward_only,1022,True,0.003,-93.96875,-98.40625,1.0,-116.9296875,959959,1000,8000,-161.001381520591,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1022,True,0.003,-84.90625,-81.53125,1.0,-144.46690625,1191615,1000,8000,-193.83247242188122,False
reward_only,gpomdp_reward_only,1023,True,0.003,-82.40625,-85.125,1.0,-108.28828125,872689,1000,8000,-136.9608649960066,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1023,True,0.003,-79.125,-85.15625,1.0,-144.68578125,1157180,1000,8000,-188.13181015755976,False
reward_only,gpomdp_reward_only,1024,True,0.003,-85.21875,-82.125,1.0,-102.25859375,795100,1000,8000,-118.0610203708653,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1024,True,0.003,-86.28125,-88.65625,1.0,-139.638375,1109975,1000,8000,-178.30648042467172,False
reward_only,gpomdp_reward_only,1025,True,0.003,-91.1875,-85.25,1.0,-224.40625,1813837,1000,8000,-367.7410932080722,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1025,True,0.003,-83.21875,-81.8125,1.0,-197.788234375,1580213,1000,8000,-330.52784548467514,False
reward_only,gpomdp_reward_only,1026,True,0.003,-86.03125,-88.46875,1.0,-154.99765625,1249161,1000,8000,-259.4537984144958,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1026,True,0.003,-82.84375,-99.53125,1.0,-158.2565625,1248754,1000,8000,-222.51037914593266,False
reward_only,gpomdp_reward_only,1027,True,0.003,-82.375,-85.6875,1.0,-148.41640625,1156330,1000,8000,-256.4694852869639,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1027,True,0.003,-88.15625,-87.1875,1.0,-169.463921875,1367686,1000,8000,-270.111671819683,False
reward_only,gpomdp_reward_only,1028,True,0.003,-105.9375,-99.0,1.0,-414.384375,3291780,1000,8000,-471.73911048410736,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1028,True,0.003,-110.5625,-83.09375,1.0,-408.8953125,3249295,1000,8000,-470.390752594986,False
reward_only,gpomdp_reward_only,1029,True,0.003,-84.03125,-95.28125,1.0,-127.13828125,1028112,1000,8000,-196.3858689520208,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1029,True,0.003,-85.6875,-100.34375,1.0,-163.608109375,1317103,1000,8000,-252.68627836765614,False
reward_only,gpomdp_reward_only,1030,True,0.003,-86.90625,-89.03125,1.0,-104.171875,852249,1000,8000,-127.31452007790564,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1030,True,0.003,-86.9375,-85.625,1.0,-143.28140625,1158247,1000,8000,-186.1275500551696,False
reward_only,gpomdp_reward_only,1031,True,0.003,-500.0,-500.0,0.0,-500.0,3999653,1000,8000,-500.0,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1031,True,0.003,-83.96875,-83.03125,1.0,-166.91259375,1347133,1000,8000,-269.3647745805351,False
reward_only,gpomdp_reward_only,1032,True,0.003,-90.75,-83.40625,1.0,-237.35625,1924195,1000,8000,-378.2766711290306,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1032,True,0.003,-87.25,-82.4375,1.0,-257.9603125,2085908,1000,8000,-395.0496560955109,False
reward_only,gpomdp_reward_only,1033,True,0.003,-87.15625,-82.34375,1.0,-109.86171875,852902,1000,8000,-127.85942356580827,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1033,True,0.003,-82.71875,-79.21875,1.0,-142.436109375,1121364,1000,8000,-181.05565999031091,False
reward_only,gpomdp_reward_only,1034,True,0.003,-87.0625,-86.625,1.0,-129.58046875,1062325,1000,8000,-203.8615464458852,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1034,True,0.003,-85.5,-82.375,1.0,-213.808796875,1723709,1000,8000,-353.08480432855833,False
reward_only,gpomdp_reward_only,1035,True,0.003,-82.6875,-87.8125,1.0,-231.9796875,1871484,1000,8000,-373.71739961776325,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1035,True,0.003,-88.375,-80.53125,1.0,-173.20271875,1399231,1000,8000,-279.70961394374837,False
reward_only,gpomdp_reward_only,1036,True,0.003,-87.09375,-79.0,1.0,-252.01171875,2005121,1000,8000,-386.1638418813004,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1036,True,0.003,-89.0625,-95.84375,1.0,-161.16646875,1303006,1000,8000,-247.95987114362865,False
reward_only,gpomdp_reward_only,1037,True,0.003,-92.3125,-94.71875,1.0,-113.18984375,886387,1000,8000,-140.20807192569384,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1037,True,0.003,-91.0625,-83.65625,1.0,-147.38528125,1207597,1000,8000,-199.1768106542373,False
reward_only,gpomdp_reward_only,1038,True,0.003,-496.375,-500.0,0.0625,-499.896875,3997403,1000,8000,-499.8970875434626,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1038,True,0.003,-93.40625,-109.46875,1.0,-309.11953125,2485149,1000,8000,-432.0290031528291,False
reward_only,gpomdp_reward_only,1039,True,0.003,-88.34375,-82.9375,1.0,-118.83203125,968573,1000,8000,-169.29804126147437,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1039,True,0.003,-84.53125,-80.375,1.0,-153.230046875,1222490,1000,8000,-215.0179921717151,False
reward_only,gpomdp_reward_only,1040,True,0.003,-88.59375,-84.90625,1.0,-111.7859375,889238,1000,8000,-141.49774336285674,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1040,True,0.003,-81.625,-80.8125,1.0,-154.952375,1241722,1000,8000,-223.01979909251023,False
reward_only,gpomdp_reward_only,1041,True,0.003,-90.28125,-82.9375,1.0,-118.25234375,938318,1000,8000,-169.91858858417402,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1041,True,0.003,-78.46875,-91.9375,1.0,-141.7818125,1154933,1000,8000,-189.0153092214007,False
reward_only,gpomdp_reward_only,1042,True,0.003,-81.4375,-90.09375,1.0,-143.953125,1156669,1000,8000,-249.88469077205752,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1042,True,0.003,-86.5625,-79.4375,1.0,-170.448265625,1377119,1000,8000,-274.2257494404986,False
reward_only,gpomdp_reward_only,1043,True,0.003,-500.0,-500.0,0.0,-500.0,4000000,1000,8000,-500.0,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1043,True,0.003,-93.5625,-89.75,1.0,-323.9625,2592070,1000,8000,-435.5037884598506,False
reward_only,gpomdp_reward_only,1044,True,0.003,-86.6875,-81.6875,1.0,-181.0984375,1448138,1000,8000,-313.16434089629234,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1044,True,0.003,-85.21875,-81.75,1.0,-190.898515625,1525018,1000,8000,-318.2921470844934,False
reward_only,gpomdp_reward_only,1045,True,0.003,-95.46875,-142.0,1.0,-329.14609375,2623420,1000,8000,-441.09040808372276,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1045,True,0.003,-85.8125,-78.9375,1.0,-237.802703125,1918210,1000,8000,-379.5427762243185,False
reward_only,gpomdp_reward_only,1046,True,0.003,-86.8125,-82.875,1.0,-110.06484375,906021,1000,8000,-143.31779851129278,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1046,True,0.003,-93.59375,-83.03125,1.0,-145.940640625,1162343,1000,8000,-188.15452296568225,False
reward_only,gpomdp_reward_only,1047,True,0.003,-90.125,-82.125,1.0,-127.7015625,1029607,1000,8000,-200.08025598602185,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1047,True,0.003,-88.59375,-82.21875,1.0,-167.503515625,1338126,1000,8000,-253.10734914910853,False
reward_only,gpomdp_reward_only,1048,True,0.003,-81.6875,-81.5625,1.0,-103.08046875,802203,1000,8000,-118.09445316132575,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1048,True,0.003,-81.46875,-86.625,1.0,-140.891046875,1129925,1000,8000,-178.09878746100404,False
reward_only,gpomdp_reward_only,1049,True,0.003,-85.71875,-83.96875,1.0,-113.78203125,929172,1000,8000,-148.93726711456543,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1049,True,0.003,-86.75,-82.21875,1.0,-148.2666875,1186382,1000,8000,-193.38031655803107,False
reward_only,gpomdp_reward_only,1050,True,0.003,-88.1875,-95.46875,1.0,-314.2328125,2533071,1000,8000,-432.8925699896489,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1050,True,0.003,-96.9375,-124.96875,1.0,-344.096875,2749795,1000,8000,-446.56994199794894,False
reward_only,gpomdp_reward_only,1051,True,0.003,-86.0625,-85.65625,1.0,-151.125,1212971,1000,8000,-259.14086978893147,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1051,True,0.003,-166.78125,-277.6875,1.0,-484.73515625,3872126,1000,8000,-491.1513085931346,False
reward_only,gpomdp_reward_only,1052,True,0.003,-100.78125,-87.40625,1.0,-335.35703125,2713070,1000,8000,-440.0257056063334,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1052,True,0.003,-86.375,-83.375,1.0,-157.4471875,1255038,1000,8000,-230.3606389931022,False
reward_only,gpomdp_reward_only,1053,True,0.003,-92.15625,-84.0,1.0,-149.87734375,1207313,1000,8000,-253.66408813155743,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1053,True,0.003,-81.21875,-82.28125,1.0,-168.979171875,1386966,1000,8000,-270.02989963795073,False
reward_only,gpomdp_reward_only,1054,True,0.003,-89.5625,-84.4375,1.0,-161.3296875,1300587,1000,8000,-286.05778477333695,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1054,True,0.003,-87.09375,-86.15625,1.0,-169.9270625,1370545,1000,8000,-273.442042547399,False
reward_only,gpomdp_reward_only,1055,True,0.003,-500.0,-500.0,0.0,-499.9875,3999099,1000,8000,-499.9875156566517,True
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1055,True,0.003,-89.15625,-90.6875,1.0,-160.198828125,1286199,1000,8000,-245.92029641457114,False
reward_only,gpomdp_reward_only,1056,True,0.003,-92.78125,-84.53125,1.0,-405.3734375,3252293,1000,8000,-467.7013151182873,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1056,True,0.003,-85.125,-85.25,1.0,-164.91046875,1307978,1000,8000,-255.58104196658888,False
reward_only,gpomdp_reward_only,1057,True,0.003,-84.5,-83.3125,1.0,-106.09609375,829289,1000,8000,-126.41218119150862,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1057,True,0.003,-97.625,-83.40625,1.0,-144.98496875,1154298,1000,8000,-185.56149587238303,False
reward_only,gpomdp_reward_only,1058,True,0.003,-89.46875,-84.1875,1.0,-128.03515625,1022665,1000,8000,-207.65927981364865,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1058,True,0.003,-86.03125,-80.5,1.0,-162.877109375,1317587,1000,8000,-259.0408404720144,False
reward_only,gpomdp_reward_only,1059,True,0.003,-84.125,-82.0625,1.0,-128.99453125,1056266,1000,8000,-203.7794479562913,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1059,True,0.003,-82.6875,-82.75,1.0,-168.37103125,1333548,1000,8000,-255.1250625797684,False
reward_only,gpomdp_reward_only,1060,True,0.003,-89.5,-83.65625,1.0,-99.040625,778713,1000,8000,-105.90553905129362,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1060,True,0.003,-85.40625,-82.75,1.0,-140.217109375,1127371,1000,8000,-175.42240520201423,False
reward_only,gpomdp_reward_only,1061,True,0.003,-86.09375,-81.0625,1.0,-164.76953125,1338159,1000,8000,-278.90513594610206,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1061,True,0.003,-92.40625,-90.28125,1.0,-163.7116875,1311635,1000,8000,-244.38869508523712,False
reward_only,gpomdp_reward_only,1062,True,0.003,-88.0625,-81.625,1.0,-116.9953125,950525,1000,8000,-161.31816392585677,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1062,True,0.003,-82.875,-83.4375,1.0,-186.709703125,1496226,1000,8000,-302.6702083797,False
reward_only,gpomdp_reward_only,1063,True,0.003,-86.71875,-80.84375,1.0,-113.53046875,905019,1000,8000,-148.30264696100303,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1063,True,0.003,-84.09375,-86.28125,1.0,-155.782734375,1227700,1000,8000,-213.14491997230593,False
reward_only,gpomdp_reward_only,1064,True,0.003,-82.5,-89.75,1.0,-190.5625,1518910,1000,8000,-326.6525842339243,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1064,True,0.003,-86.15625,-78.03125,1.0,-173.55590625,1397692,1000,8000,-283.07997779777304,False
reward_only,gpomdp_reward_only,1065,True,0.003,-84.90625,-86.0,1.0,-125.89765625,1010081,1000,8000,-203.4060208259288,False
logbarrier_handoff_h25,gpomdp_logbarrier_handoff,1065,True,0.003,-105.21875,-89.5,0.96875,-230.7375,1869409,1000,8000,-373.214669816771,False
reward_only,gpomdp_reward_only,1066,True,0.003,-86.8125,-85.65625,1.0,-151.153125,1217805,1000,8000,-261.78886426295674,False
