seed,update,reward_gradient_norm,unscaled_barrier_gradient_norm,unscaled_entropy_gradient_norm,unscaled_barrier_to_reward_ratio,unscaled_entropy_to_reward_ratio
91,0,24.063207626342773,0.16908667981624603,0.16567173600196838,0.007026772259203772,0.00688485668970425
91,1,3.3915305137634277,0.1482749581336975,0.14577938616275787,0.043719187408744115,0.04298336269455913
91,2,13.101655960083008,0.15405726432800293,0.1516755223274231,0.011758610117482193,0.011576820730870583
91,3,30.618947982788086,0.13410581648349762,0.13245873153209686,0.004379830964763482,0.00432603796859893
91,4,14.965266227722168,0.12441238015890121,0.12308937311172485,0.008313409081118482,0.008225003901615189
92,0,5.038183689117432,0.27469146251678467,0.25794872641563416,0.05452192287274543,0.05119875382328915
92,1,9.121499061584473,0.25304457545280457,0.23886816203594208,0.027741555828088724,0.026187379993486387
92,2,8.914605140686035,0.24648335576057434,0.23388110101222992,0.02764938568458074,0.02623572186554875
92,3,10.269877433776855,0.23140621185302734,0.22036854922771454,0.022532519335815022,0.021457758444413264
92,4,14.93577766418457,0.22113995254039764,0.21137146651744843,0.014806055467113902,0.014152022832015583
