experiment,label,initialization,from_update,to_update,metric,mean_change,ci_lower,ci_upper,n_seeds
handoff,reward_only,uniform,2000,4000,population_return,0.015208272396519989,0.015133500962696222,0.015283043830343755,100
handoff,reward_only,uniform,2000,4000,q,0.010014943168951275,0.009939447365312706,0.010090438972589844,100
handoff,reward_only,uniform,2000,4000,pi1_a0,0.007969184131840668,0.007933235113893667,0.008005133149787668,100
handoff,sampled_conditional_fixed,uniform,2000,4000,population_return,0.004043342509581673,0.0027557369345085053,0.005330948084654841,100
handoff,sampled_conditional_fixed,uniform,2000,4000,q,0.004412527368390326,0.0016508424602045902,0.0071742122765760625,100
handoff,sampled_conditional_fixed,uniform,2000,4000,pi1_a0,0.0022579233256351263,0.0015636032795378028,0.0029522433717324497,100
handoff,sampled_conditional_handoff,uniform,2000,4000,population_return,0.3645209950684523,0.3637448830122441,0.3652971071246605,100
handoff,sampled_conditional_handoff,uniform,2000,4000,q,0.3684182669892253,0.3667274811036342,0.37010905287481644,100
handoff,sampled_conditional_handoff,uniform,2000,4000,pi1_a0,0.22545692150360602,0.22501251465705827,0.22590132835015378,100
handoff,full_oracle_handoff,uniform,2000,4000,population_return,0.1867171634207022,0.1862057578746205,0.1872285689667839,100
handoff,full_oracle_handoff,uniform,2000,4000,q,0.14994041677997047,0.14915731974181415,0.1507235138181268,100
handoff,full_oracle_handoff,uniform,2000,4000,pi1_a0,0.11669057035015745,0.11643646535875439,0.11694467534156051,100
handoff,reward_only,adverse,2000,4000,population_return,0.004435458137505902,0.004430642964248893,0.004440273310762912,100
handoff,reward_only,adverse,2000,4000,q,-0.0010127082397886863,-0.001014875539670182,-0.0010105409399071906,100
handoff,reward_only,adverse,2000,4000,pi1_a0,1.6378939580426396e-05,5.998676921847095e-06,2.67592022390057e-05,100
handoff,sampled_conditional_fixed,adverse,2000,4000,population_return,0.0252109308057258,0.02378098700979044,0.026640874601661164,100
handoff,sampled_conditional_fixed,adverse,2000,4000,q,0.02715509363213746,0.024174535118554864,0.030135652145720053,100
handoff,sampled_conditional_fixed,adverse,2000,4000,pi1_a0,0.016594634819763462,0.015781087510164448,0.017408182129362477,100
handoff,sampled_conditional_handoff,adverse,2000,4000,population_return,0.3858010155059155,0.3848819807208,0.386720050291031,100
handoff,sampled_conditional_handoff,adverse,2000,4000,q,0.39139513771221507,0.3894990335420118,0.3932912418824183,100
handoff,sampled_conditional_handoff,adverse,2000,4000,pi1_a0,0.23997824407567253,0.23939060898653447,0.2405658791648106,100
handoff,full_oracle_handoff,adverse,2000,4000,population_return,0.19681071397029132,0.1962527515118792,0.19736867642870343,100
handoff,full_oracle_handoff,adverse,2000,4000,q,0.1588727541847317,0.158031939158536,0.15971356921092741,100
handoff,full_oracle_handoff,adverse,2000,4000,pi1_a0,0.12376991552702794,0.12347634303993646,0.12406348801411943,100
