initialization,n_trajectories,updates,budget_trajectories,arm,n,successes,success_rate,wilson95_low,wilson95_high,finite_rate,final_pi1_good_median,final_return_median,pi1_good_at_handoff_median
adverse,32,4000,128000,entropy_npg_c4x,100,0,0.0,0.0,0.037,0.0,0.5233682579892525,0.4084360928355799,0.49382508626765825
adverse,32,4000,128000,entropy_pg,100,15,0.15,0.0931,0.2328,1.0,0.7127787269839737,0.5031756010348898,0.2176659572291043
adverse,32,4000,128000,entropy_pg_c16x,100,100,1.0,0.963,1.0,1.0,0.9866657056295673,0.974509908549425,0.37022500113231904
adverse,32,4000,128000,entropy_pg_c4x,100,100,1.0,0.963,1.0,1.0,0.9877531564018331,0.976599731184101,0.49298931241502564
adverse,32,4000,128000,reward_only_npg,100,0,0.0,0.0,0.037,0.0,0.01496618544846956,0.5,
adverse,32,4000,128000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.01591597826730918,0.4951221556309551,0.01589476604721108
adverse,32,16000,512000,barrier_npg,100,0,0.0,0.0,0.037,0.0,0.7995959197798214,0.6542291642364613,0.7752159643029947
adverse,32,16000,512000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.9974416986621432,0.9951120659654289,0.7668904867865463
adverse,32,16000,512000,entropy_npg,100,63,0.63,0.5322,0.7182,0.0,0.9729483161901034,0.9285722153261292,0.965096401297582
adverse,32,16000,512000,entropy_npg_c16x,100,0,0.0,0.0,0.037,0.0,0.39569960894865797,0.3341174451938397,0.367706031160433
adverse,32,16000,512000,entropy_npg_c4x,100,0,0.0,0.0,0.037,0.0,0.5244144261240351,0.40951820288537844,0.4968200892895781
adverse,32,16000,512000,entropy_pg,100,100,1.0,0.963,1.0,1.0,0.9975860740430854,0.9955374241892927,0.9387270418056479
adverse,32,16000,512000,entropy_pg_c16x,100,100,1.0,0.963,1.0,1.0,0.9972793746561431,0.9947835220227516,0.3704071340442016
adverse,32,16000,512000,entropy_pg_c4x,100,100,1.0,0.963,1.0,1.0,0.9973366640388748,0.9948918961999267,0.4946116268857545
adverse,32,16000,512000,reward_only_npg,100,0,0.0,0.0,0.037,0.0,0.01496618544846956,0.5,
adverse,32,16000,512000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.01593751478768542,0.4987526108223962,0.015926588803121845
adverse,128,250,32000,barrier_npg,100,100,1.0,0.963,1.0,1.0,0.9999999999999998,0.9999999999999996,0.7715599728730108
adverse,128,250,32000,barrier_pg,100,0,0.0,0.0,0.037,1.0,0.01813258835989116,0.3994983184564247,0.018071725251325187
adverse,128,250,32000,entropy_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.9452502282644655
adverse,128,250,32000,entropy_pg,100,0,0.0,0.0,0.037,1.0,0.016153053379383563,0.43632417134374146,0.016147617696344565
adverse,128,250,32000,reward_only_npg,100,0,0.0,0.0,0.037,1.0,0.014541578376783118,0.5,0.014541578376783118
adverse,128,250,32000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.01589386057630259,0.46129881457879696,0.015881918106111448
adverse,128,1000,128000,barrier_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.7688047070849644
adverse,128,1000,128000,barrier_pg,100,0,0.0,0.0,0.037,1.0,0.0691245861462581,0.4523319303801386,0.06009796009036672
adverse,128,1000,128000,entropy_npg,100,100,1.0,0.963,1.0,1.0,1.0,1.0,0.9448168787168804
adverse,128,1000,128000,entropy_pg,100,0,0.0,0.0,0.037,1.0,0.01851589152750308,0.45805365880995136,0.018400111089390818
adverse,128,1000,128000,reward_only_npg,100,0,0.0,0.0,0.037,0.0,0.014541578376783118,0.5,0.014541578376783118
adverse,128,1000,128000,reward_only_pg,100,0,0.0,0.0,0.037,1.0,0.015905052981950385,0.4832557591952723,0.01589612018316163
adverse,128,4000,512000,barrier_npg,100,0,0.0,0.0,0.037,0.0,0.7878170408254183,0.6421517177814589,0.7673534511398628
adverse,128,4000,512000,barrier_pg,100,100,1.0,0.963,1.0,1.0,0.9891730370805303,0.9794235917214131,0.7491965445341858
adverse,128,4000,512000,entropy_npg,100,6,0.06,0.0278,0.1248,0.0,0.9552447021295799,0.8880589071762127,0.946682476173679
adverse,128,4000,512000,entropy_pg,100,12,0.12,0.07,0.1981,1.0,0.7593451897045466,0.5186060194388407,0.2205126298139808
