comparison_family,initialization,n_trajectories,updates,budget_trajectories,left_arm,right_arm,paired_seeds,left_success_rate,right_success_rate,success_rate_difference,left_only_wins,right_only_wins,exact_two_sided_mcnemar_p
barrier_vs_entropy_natural,adverse,32,4000,128000,barrier_npg,entropy_npg,100,0.0,0.7,-0.7,0,70,1.6940658945086007e-21
barrier_vs_reward_only_euclidean,adverse,32,4000,128000,barrier_pg,reward_only_pg,100,1.0,0.0,1.0,100,0,1.5777218104420236e-30
barrier_vs_reward_only_natural,adverse,32,4000,128000,barrier_npg,reward_only_npg,100,0.0,0.0,0.0,0,0,1.0
entropy_vs_reward_only_euclidean,adverse,32,4000,128000,entropy_pg,reward_only_pg,100,0.15,0.0,0.15,15,0,6.103515625e-05
entropy_vs_reward_only_natural,adverse,32,4000,128000,entropy_npg,reward_only_npg,100,0.7,0.0,0.7,70,0,1.6940658945086007e-21
barrier_vs_entropy_4x_euclidean,adverse,32,4000,128000,barrier_pg,entropy_pg_c4x,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_16x_euclidean,adverse,32,4000,128000,barrier_pg,entropy_pg_c16x,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_4x_natural,adverse,32,4000,128000,barrier_npg,entropy_npg_c4x,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_entropy_16x_natural,adverse,32,4000,128000,barrier_npg,entropy_npg_c16x,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_entropy_euclidean,adverse,32,16000,512000,barrier_pg,entropy_pg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_natural,adverse,32,16000,512000,barrier_npg,entropy_npg,100,0.0,0.63,-0.63,0,63,2.168404344971009e-19
barrier_vs_reward_only_euclidean,adverse,32,16000,512000,barrier_pg,reward_only_pg,100,1.0,0.0,1.0,100,0,1.5777218104420236e-30
barrier_vs_reward_only_natural,adverse,32,16000,512000,barrier_npg,reward_only_npg,100,0.0,0.0,0.0,0,0,1.0
entropy_vs_reward_only_euclidean,adverse,32,16000,512000,entropy_pg,reward_only_pg,100,1.0,0.0,1.0,100,0,1.5777218104420236e-30
entropy_vs_reward_only_natural,adverse,32,16000,512000,entropy_npg,reward_only_npg,100,0.63,0.0,0.63,63,0,2.168404344971009e-19
barrier_vs_entropy_4x_euclidean,adverse,32,16000,512000,barrier_pg,entropy_pg_c4x,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_16x_euclidean,adverse,32,16000,512000,barrier_pg,entropy_pg_c16x,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_entropy_4x_natural,adverse,32,16000,512000,barrier_npg,entropy_npg_c4x,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_entropy_16x_natural,adverse,32,16000,512000,barrier_npg,entropy_npg_c16x,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_entropy_euclidean,adverse,128,250,32000,barrier_pg,entropy_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_entropy_natural,adverse,128,250,32000,barrier_npg,entropy_npg,100,1.0,1.0,0.0,0,0,1.0
barrier_vs_reward_only_euclidean,adverse,128,250,32000,barrier_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
barrier_vs_reward_only_natural,adverse,128,250,32000,barrier_npg,reward_only_npg,100,1.0,0.0,1.0,100,0,1.5777218104420236e-30
entropy_vs_reward_only_euclidean,adverse,128,250,32000,entropy_pg,reward_only_pg,100,0.0,0.0,0.0,0,0,1.0
