arm,updates,handoff_update,budget_trajectories,entropy_coefficient,coefficient_multiple,method,initialization,n_trajectories,seed,finite,invalid_solve_count,final_return,final_q,final_pi1_good,near_optimal_basin,first_delta_safe_positive_update,zero_s1_batch_fraction
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91032,True,0,0.4747968915739879,0.4445391690434914,0.6472498171261172,False,99,0.164
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91033,True,0,0.4552536739360453,0.4130908531573006,0.6133793662641841,False,108,0.128
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91034,True,0,0.43464996793360644,0.3576581304470941,0.5850493233748112,False,111,0.192
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91035,True,0,0.41427280412509926,0.3111055314659542,0.5260978120161358,False,147,0.188
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91036,True,0,0.41002249057397877,0.2864344145419618,0.514559153043874,False,170,0.252
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91037,True,0,0.48338443362123706,0.47729318769444895,0.6502909632529891,False,99,0.136
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91038,True,0,0.4430655194361691,0.3661078605020323,0.5959351403556752,False,118,0.204
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91039,True,0,0.4233159467703792,0.29974266592158905,0.5536998312991137,False,142,0.232
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91040,True,0,0.45516466814252887,0.39508176074683626,0.620086566733288,False,126,0.16
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91041,True,0,0.44115272448299325,0.3752094375012888,0.5905136221192563,False,119,0.184
reward_only_pg,250,125,1000,0.0,0.0,sampled_pg_reward_only,uniform,4,91042,True,0,0.48925404961378316,0.49064423037849275,0.6563339411147874,False,115,0.112
