method,initialization,n_trajectories,seed,finite,invalid_solve_count,final_return,final_q,final_pi1_good,near_optimal_basin,first_delta_safe_positive_update,zero_s1_batch_fraction
sampled_pg_reward_only,uniform,4,91000,True,0,0.9244013549477329,0.9465278510963401,0.9612372602933001,True,103,0.035
sampled_pg_reward_only,uniform,4,91001,True,0,0.9229303770910979,0.9449712351231893,0.9603048480414926,True,117,0.064
sampled_pg_reward_only,uniform,4,91002,True,0,0.9240040208649581,0.9487004678735385,0.9590048992192358,True,133,0.073
sampled_pg_reward_only,uniform,4,91003,True,0,0.9248788482299197,0.9452211953749451,0.9623618663032244,True,117,0.065
sampled_pg_reward_only,uniform,4,91004,True,0,0.9252444245371423,0.9471103680405977,0.9614425953807895,True,98,0.056
sampled_pg_reward_only,uniform,4,91005,True,0,0.9219675123747334,0.9437917374772395,0.9598761889988061,True,104,0.049
sampled_pg_reward_only,uniform,4,91006,True,0,0.9370132851503372,0.9587630678683995,0.9668185008945273,True,84,0.03
sampled_pg_reward_only,uniform,4,91007,True,0,0.9217105362442716,0.9435415939126477,0.9601004566043021,True,118,0.054
sampled_pg_reward_only,uniform,4,91008,True,0,0.8805680336865295,0.9019987510734614,0.939701442097756,True,134,0.163
sampled_pg_reward_only,uniform,4,91009,True,0,0.9168006995539618,0.9406539326679215,0.956378172446456,True,114,0.079
sampled_pg_reward_only,uniform,4,91010,True,0,0.9288099236379237,0.9511598601497958,0.9627575483431365,True,123,0.045
sampled_pg_reward_only,uniform,4,91011,True,0,0.9310389789522443,0.9523742542427129,0.9647031415685628,True,118,0.049
sampled_pg_reward_only,uniform,4,91012,True,0,0.9316762678689315,0.9541361032785846,0.9639090656644702,True,101,0.045
sampled_pg_reward_only,uniform,4,91013,True,0,0.9317827644614572,0.9544227926751296,0.9638632483216554,True,93,0.041
sampled_pg_reward_only,uniform,4,91014,True,0,0.9021527732468879,0.9246967644625322,0.9499095327604582,True,132,0.115
sampled_pg_reward_only,uniform,4,91015,True,0,0.9335178182178162,0.9551616534770132,0.9651727408390146,True,89,0.046
sampled_pg_reward_only,uniform,4,91016,True,0,0.9238192380169907,0.9453397365700537,0.9609793387365461,True,120,0.048
sampled_pg_reward_only,uniform,4,91017,True,0,0.9222709132921871,0.9436082729670418,0.9604410149983401,True,119,0.059
sampled_pg_reward_only,uniform,4,91018,True,0,0.9350652484519363,0.9565084044557025,0.9661731315260288,True,104,0.035
sampled_pg_reward_only,uniform,4,91019,True,0,0.924952655188436,0.9473105864291075,0.9610350884996564,True,128,0.058
sampled_pg_reward_only,uniform,4,91020,True,0,0.9173013194284257,0.9410378977409772,0.9565901160606629,True,117,0.085
sampled_pg_reward_only,uniform,4,91021,True,0,0.9029370925982402,0.924276245359855,0.951169167722657,True,152,0.116
sampled_pg_reward_only,uniform,4,91022,True,0,0.9338042496452218,0.9554855276921712,0.9655190351810805,True,88,0.044
sampled_pg_reward_only,uniform,4,91023,True,0,0.9182779525221562,0.9415291226188813,0.9574158639316738,True,150,0.087
sampled_pg_reward_only,uniform,4,91024,True,0,0.9252511099644949,0.946811945739052,0.9620862718975959,True,133,0.071
sampled_pg_reward_only,uniform,4,91025,True,0,0.9239360575984426,0.9462367454364446,0.96075405874522,True,132,0.066
sampled_pg_reward_only,uniform,4,91026,True,0,0.8323630177341244,0.8499188001469369,0.9151302533446455,False,161,0.24
sampled_pg_reward_only,uniform,4,91027,True,0,0.9251693296782876,0.948314352953271,0.9607251486439056,True,123,0.057
sampled_pg_reward_only,uniform,4,91028,True,0,0.9185589805020851,0.9424471529607281,0.9570793741911027,True,122,0.074
sampled_pg_reward_only,uniform,4,91029,True,0,0.9239501570915576,0.9464633035250206,0.9605524840346169,True,129,0.073
sampled_pg_reward_only,uniform,4,91030,True,0,0.925092231075714,0.9488033610184319,0.9600920956117496,True,129,0.068
sampled_pg_reward_only,uniform,4,91031,True,0,0.9375871485177912,0.9578514095482445,0.968138861317566,True,84,0.033
sampled_pg_reward_only,uniform,4,91032,True,0,0.9266794386129911,0.947291207870839,0.9630915683883309,True,99,0.052
sampled_pg_reward_only,uniform,4,91033,True,0,0.9301991602343991,0.9536487374883647,0.9624801176769684,True,108,0.042
sampled_pg_reward_only,uniform,4,91034,True,0,0.9208714139205809,0.9437684981736251,0.9589369061509956,True,111,0.074
sampled_pg_reward_only,uniform,4,91035,True,0,0.9059974018044052,0.927763460329569,0.9526626033713775,True,147,0.086
sampled_pg_reward_only,uniform,4,91036,True,0,0.9127673488403496,0.9357676990706844,0.9548876138291865,True,170,0.093
sampled_pg_reward_only,uniform,4,91037,True,0,0.9337900292183439,0.9556130610287267,0.9653126644305865,True,99,0.041
sampled_pg_reward_only,uniform,4,91038,True,0,0.9177571333219815,0.9385138237588777,0.9587496555103435,True,118,0.074
sampled_pg_reward_only,uniform,4,91039,True,0,0.9210489817955495,0.9453397437466089,0.9578466306304491,True,142,0.081
sampled_pg_reward_only,uniform,4,91040,True,0,0.9246223393121648,0.9462582108180511,0.9610934488899966,True,126,0.053
sampled_pg_reward_only,uniform,4,91041,True,0,0.9193435660612898,0.9415600013327549,0.958515165995425,True,119,0.065
sampled_pg_reward_only,uniform,4,91042,True,0,0.9358123277997471,0.9586223003246248,0.9653313641855127,True,115,0.032
sampled_pg_reward_only,uniform,4,91043,True,0,0.9287189558376555,0.9518839582556567,0.9623701387535052,True,118,0.043
sampled_pg_reward_only,uniform,4,91044,True,0,0.9270593866680098,0.9490949541180539,0.9621617532951842,True,134,0.042
sampled_pg_reward_only,uniform,4,91045,True,0,0.9373425599304354,0.9588912549774069,0.9671102606371198,True,100,0.047
sampled_pg_reward_only,uniform,4,91046,True,0,0.9340318061347727,0.9550238589133616,0.9660567774439301,True,85,0.031
sampled_pg_reward_only,uniform,4,91047,True,0,0.9299952890237544,0.9515169045544258,0.9638436159903512,True,107,0.038
sampled_pg_reward_only,uniform,4,91048,True,0,0.9327468779271961,0.9555393244721541,0.9641688851392551,True,114,0.041
sampled_pg_reward_only,uniform,4,91049,True,0,0.890420037604044,0.9139048246565934,0.9435751089480834,True,142,0.118
sampled_pg_reward_only,uniform,4,91050,True,0,0.9361447560240367,0.9582202673311706,0.9663147063264438,True,95,0.032
sampled_pg_reward_only,uniform,4,91051,True,0,0.933842671902509,0.9548534064310281,0.96601910300492,True,98,0.028
sampled_pg_reward_only,uniform,4,91052,True,0,0.9366648199326683,0.9594264398281628,0.9658677733561688,True,77,0.027
sampled_pg_reward_only,uniform,4,91053,True,0,0.9316917991523961,0.9540976018851575,0.9637647756922512,True,97,0.038
sampled_pg_reward_only,uniform,4,91054,True,0,0.9203325560121065,0.9408286510600818,0.9598165586085283,True,103,0.077
sampled_pg_reward_only,uniform,4,91055,True,0,0.9334962149347931,0.9564624415275766,0.9645625594300482,True,111,0.041
sampled_pg_reward_only,uniform,4,91056,True,0,0.9198829202866982,0.9433575061569662,0.9579898159899712,True,126,0.068
sampled_pg_reward_only,uniform,4,91057,True,0,0.92391812262658,0.9481385517936557,0.9593906535587652,True,128,0.055
sampled_pg_reward_only,uniform,4,91058,True,0,0.931873327545892,0.9555557263986033,0.9633250122499759,True,119,0.062
sampled_pg_reward_only,uniform,4,91059,True,0,0.9267197162388798,0.9477679134079843,0.9628841165675348,True,125,0.055
sampled_pg_reward_only,uniform,4,91060,True,0,0.9257437650625779,0.9480953224568706,0.9615303335036381,True,122,0.054
sampled_pg_reward_only,uniform,4,91061,True,0,0.9149722285315268,0.9376837487445451,0.9562418960537459,True,120,0.084
sampled_pg_reward_only,uniform,4,91062,True,0,0.929259638861742,0.9522297258074615,0.9623848687068837,True,114,0.054
sampled_pg_reward_only,uniform,4,91063,True,0,0.9202857298301977,0.9414566888226824,0.9597954318877264,True,119,0.057
sampled_pg_reward_only,uniform,4,91064,True,0,0.9347543868810146,0.9550020374520524,0.9672137889121066,True,71,0.034
sampled_pg_reward_only,uniform,4,91065,True,0,0.8835543440711862,0.9081354352973136,0.9394562738038073,True,149,0.153
sampled_pg_reward_only,uniform,4,91066,True,0,0.914269704306146,0.9366587678480498,0.9559006484637083,True,122,0.092
sampled_pg_reward_only,uniform,4,91067,True,0,0.9218658113086113,0.9441170159986865,0.9596618197290975,True,98,0.064
sampled_pg_reward_only,uniform,4,91068,True,0,0.9281165727376762,0.9504669016051275,0.9623523634716248,True,101,0.056
sampled_pg_reward_only,uniform,4,91069,True,0,0.9263508337795107,0.9476524587195264,0.9622171374479623,True,107,0.068
