conditional_exact_bias_norm,conditional_exact_sd_norm,conditional_mc_bias_norm,conditional_mc_mean_cosine,conditional_mc_rmse,exact_mu1_bias,exact_mu1_mean,exact_mu1_variance,fisher_exact_bias_fro,fisher_full_rank_fraction,fisher_logdet_defined_fraction,fisher_logdet_mean_when_defined,fisher_mc_bias_fro,fisher_mc_rmse_fro,fisher_min_eigenvalue_mean,fisher_rank_mean,mc_mu1_mean,mc_mu1_variance,mc_zero_s1_fraction,n,p_good,policy,population_mu1,q,repetitions,reward_exact_bias_norm,reward_mc_bias_norm,reward_mc_rmse,zero_s1_probability
0.0,0.0,0.0,nan,0.0,-0.08333333333333334,0.16666666666666666,0.055555555555555566,0.05237828008789242,0.0,0.0,nan,0.052055755697468946,0.29735812054129596,0.0,1.33464,0.16732,0.055664017600000004,0.66536,1,0.3333333333333333,uniform,0.25,0.3333333333333333,50000,7.757919228897728e-18,0.0013756223283021595,0.4067963059909729,0.6666666666666667
0.0,0.0,0.0,nan,0.0,-0.04629629629629631,0.2037037037037037,0.03566529492455418,0.029099044493273565,0.0,0.0,nan,0.02953486614105133,0.208854377238382,-1.0278583539857778e-18,2.29938,0.2032433333333334,0.03542492523333332,0.44418,2,0.3333333333333333,uniform,0.25,0.3333333333333333,50000,7.757919228897728e-18,0.0010266221731580244,0.28523027301108017,0.44444444444444453
0.0,0.0,0.0,nan,0.0,-0.02372134038800705,0.22627865961199295,0.018749257361838197,0.014909796130839226,0.28444,0.28444,-10.132537479567022,0.01591071225354761,0.14556440262983655,0.007458424665224492,3.05822,0.22517476190476188,0.018832573766666715,0.20036,4,0.3333333333333333,uniform,0.25,0.3333333333333333,50000,7.757919228897728e-18,0.001620607834451761,0.20238697882406087,0.19753086419753096
0.0,0.0,0.0,nan,0.0,-0.011848385488074348,0.23815161451192565,0.009224021630865322,0.00744717664420426,0.67428,0.67428,-10.242324580432426,0.007529902574508309,0.10092855824057216,0.016015392298634596,3.63366,0.23799421489621495,0.009278632749540092,0.04028,8,0.3333333333333333,uniform,0.25,0.3333333333333333,50000,7.757919228897728e-18,0.00024624545649754476,0.14283233731123401,0.039018442310623416
0.0,0.0,0.0,nan,0.0,-0.00589874222074005,0.24410125777925995,0.004518867886558043,0.003707591666450333,0.94974,0.94974,-10.2938560237807,0.003502394947855793,0.07057119474349763,0.02230620661693514,3.94858,0.24440783972091548,0.004523267331255895,0.00116,16,0.3333333333333333,uniform,0.25,0.3333333333333333,50000,7.757919228897728e-18,0.0007236829405594601,0.1018872445871803,0.0015224388403474475
0.0,0.0,0.0,nan,0.0,-0.0029403503594834512,0.24705964964051655,0.002230063642725578,0.0018481259362271084,0.99922,0.99922,-10.143990656409324,0.0018759880591701545,0.049561420804705235,0.025374865275045018,3.99922,0.24716689202178208,0.0022528912872418483,0.0,32,0.3333333333333333,uniform,0.25,0.3333333333333333,50000,7.757919228897728e-18,0.00012478914700974386,0.07188860261110998,2.317820022598481e-06
0.0,0.0,0.0,nan,0.0,-0.001467608430152978,0.24853239156984702,0.0011070298582470152,0.0009224496649672252,1.0,1.0,-10.035852900510514,0.001022046521461856,0.03490204450515673,0.026600832631915462,4.0,0.24837228090685406,0.0011016126313322452,0.0,64,0.3333333333333333,uniform,0.25,0.3333333333333333,50000,7.757919228897728e-18,0.000372695190882837,0.05062827638693846,5.372289657158422e-12
0.0,0.0,0.0,nan,0.0,-0.0007331251715996245,0.24926687482840038,0.0005514392832586951,0.0004607980269332876,1.0,1.0,-9.986246471246124,0.000515042253437477,0.02466034513643789,0.02720348961309253,4.0,0.24918578009377892,0.0005468268582696015,0.0,128,0.3333333333333333,uniform,0.25,0.3333333333333333,50000,7.757919228897728e-18,0.00012122882282775015,0.03572961500105077,2.8861496160411357e-23
0.0,0.0,0.0,nan,0.0,-0.00036638826183515993,0.24963361173816484,0.0002751918063782693,0.00023028944398638745,1.0,1.0,-9.96254133411396,0.0002454313125156923,0.017393340538201373,0.027493406194135483,4.0,0.24962308286512358,0.0002752151906580333,0.0,256,0.3333333333333333,uniform,0.25,0.3333333333333333,50000,7.757919228897728e-18,9.228122820226455e-05,0.025280036547748123,8.329859606174395e-46
0.020253839521982345,0.16460744782943673,0.019616778884145033,0.9999709097788305,0.16820323084928027,-0.0076900041392041745,0.00793811998823338,0.003906046245169099,0.01263014468170411,0.0,0.0,nan,0.012317661935875608,0.2585842465891647,0.0,1.01636,0.00818,0.0040230876,0.98364,1,0.015876239976466762,adverse,0.015628124127437554,0.015876239976466762,50000,1.3878026033786178e-17,0.0001015422736579836,0.04940050859013193,0.9841237600235332
0.01339537474242309,0.15411413143655345,0.013409818834522658,0.9999863422013172,0.1547476181246159,-0.0050859733090914405,0.010542150818346113,0.0034239179118878116,0.008353256718501333,0.0,0.0,nan,0.009056181638211312,0.1920534918666567,9.215718466126787e-23,1.26128,0.010536666666666665,0.003426200877777777,0.96854,2,0.015876239976466762,adverse,0.015628124127437554,0.015876239976466762,50000,1.3878026033786178e-17,0.0001971046568422792,0.03518290845452469,0.9684995750428568
0.007973786723232085,0.12977919883317737,0.008245838776265045,0.999994815519158,0.12989131146105148,-0.0030274977166791124,0.012600626410758441,0.002427999514339304,0.004972394486791964,0.00056,0.00056,-16.806892453441908,0.004985822905229754,0.14396866871878872,1.5770683599653946e-07,1.49688,0.01249733333333333,0.0024223944373333345,0.9387,4,0.015876239976466762,adverse,0.015628124127437554,0.015876239976466762,50000,1.3878026033786178e-17,5.822054089629537e-05,0.02634515914687162,0.9379914268581941
