experiment,method,initialization,n,beta,alpha,n_seeds,reward_noise_std,center_returns,normalize_returns,metric,mean,ci_lower,ci_upper,finite_fraction
main,detached_conditional_oracle,uniform,4,0.1,0.05,100,0.0,0,0,empirical_fisher_rank,2.79,2.66611779012285,2.91388220987715,1.0
main,complete_weighted_oracle,uniform,4,0.1,0.05,100,0.0,0,0,population_return,0.7900856304609732,0.7885839220385347,0.7915873388834118,1.0
main,complete_weighted_oracle,uniform,4,0.1,0.05,100,0.0,0,0,q,0.8175553675569834,0.81508938941733,0.8200213456966369,1.0
main,complete_weighted_oracle,uniform,4,0.1,0.05,100,0.0,0,0,pi1_a0,0.8820386234697917,0.8814522312391997,0.8826250157003837,1.0
main,complete_weighted_oracle,uniform,4,0.1,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,complete_weighted_oracle,uniform,4,0.1,0.05,100,0.0,0,0,empirical_fisher_rank,2.8,2.677068451292486,2.922931548707514,1.0
main,uniform_action_oracle,uniform,4,0.1,0.05,100,0.0,0,0,population_return,0.7932574926988037,0.7919095832682418,0.7946054021293657,1.0
main,uniform_action_oracle,uniform,4,0.1,0.05,100,0.0,0,0,q,0.8357306805862851,0.8337594253984272,0.837701935774143,1.0
main,uniform_action_oracle,uniform,4,0.1,0.05,100,0.0,0,0,pi1_a0,0.8727295452836521,0.8720177906691972,0.873441299898107,1.0
main,uniform_action_oracle,uniform,4,0.1,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,uniform_action_oracle,uniform,4,0.1,0.05,100,0.0,0,0,empirical_fisher_rank,2.81,2.68484029090715,2.9351597090928503,1.0
main,visitation_only_oracle,uniform,4,0.1,0.05,100,0.0,0,0,population_return,0.9748567026278973,0.9747199526343606,0.9749934526214339,1.0
main,visitation_only_oracle,uniform,4,0.1,0.05,100,0.0,0,0,q,0.9844013565507271,0.9842452995764986,0.9845574135249556,1.0
main,visitation_only_oracle,uniform,4,0.1,0.05,100,0.0,0,0,pi1_a0,0.9867962390934655,0.9867366632236657,0.9868558149632652,1.0
main,visitation_only_oracle,uniform,4,0.1,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,visitation_only_oracle,uniform,4,0.1,0.05,100,0.0,0,0,empirical_fisher_rank,2.1,2.03385943550129,2.1661405644987104,1.0
main,full_pooled_fisher_oracle,uniform,4,0.1,0.05,100,0.0,0,0,population_return,0.7955104565925107,0.794188557941276,0.7968323552437455,1.0
main,full_pooled_fisher_oracle,uniform,4,0.1,0.05,100,0.0,0,0,q,0.8392252021180986,0.8373280042121307,0.8411224000240665,1.0
main,full_pooled_fisher_oracle,uniform,4,0.1,0.05,100,0.0,0,0,pi1_a0,0.8735689473995751,0.8728647223127484,0.8742731724864019,1.0
main,full_pooled_fisher_oracle,uniform,4,0.1,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,full_pooled_fisher_oracle,uniform,4,0.1,0.05,100,0.0,0,0,empirical_fisher_rank,2.8,2.677068451292486,2.922931548707514,1.0
main,detached_conditional_sampled,uniform,4,0.1,0.05,100,0.0,0,0,population_return,0.794575288956461,0.7932214652459665,0.7959291126669555,1.0
main,detached_conditional_sampled,uniform,4,0.1,0.05,100,0.0,0,0,q,0.8238588158870425,0.8215207314987639,0.826196900275321,1.0
main,detached_conditional_sampled,uniform,4,0.1,0.05,100,0.0,0,0,pi1_a0,0.8840460061453433,0.8835418743135822,0.8845501379771045,1.0
main,detached_conditional_sampled,uniform,4,0.1,0.05,100,0.0,0,0,zero_s1,0.0,0.0,0.0,1.0
main,detached_conditional_sampled,uniform,4,0.1,0.05,100,0.0,0,0,empirical_fisher_rank,2.79,2.66611779012285,2.91388220987715,1.0
main,detached_conditional_oracle,uniform,4,0.2,0.05,100,0.0,0,0,population_return,0.6166378056412448,0.6141256046851654,0.6191500065973242,1.0
main,detached_conditional_oracle,uniform,4,0.2,0.05,100,0.0,0,0,q,0.6223264303424626,0.6175350545531813,0.627117806131744,1.0
main,detached_conditional_oracle,uniform,4,0.2,0.05,100,0.0,0,0,pi1_a0,0.7637479555650063,0.7620815367541535,0.7654143743758591,1.0
main,detached_conditional_oracle,uniform,4,0.2,0.05,100,0.0,0,0,zero_s1,0.02,-0.007918982746393827,0.04791898274639383,1.0
main,detached_conditional_oracle,uniform,4,0.2,0.05,100,0.0,0,0,empirical_fisher_rank,3.26,3.1319348734624515,3.388065126537548,1.0
main,complete_weighted_oracle,uniform,4,0.2,0.05,100,0.0,0,0,population_return,0.5980570706652989,0.5954104286834833,0.6007037126471145,1.0
main,complete_weighted_oracle,uniform,4,0.2,0.05,100,0.0,0,0,q,0.5826650436946625,0.5773283474932047,0.5880017398961204,1.0
main,complete_weighted_oracle,uniform,4,0.2,0.05,100,0.0,0,0,pi1_a0,0.7586551761015451,0.7568907694408187,0.7604195827622715,1.0
main,complete_weighted_oracle,uniform,4,0.2,0.05,100,0.0,0,0,zero_s1,0.02,-0.007918982746393827,0.04791898274639383,1.0
main,complete_weighted_oracle,uniform,4,0.2,0.05,100,0.0,0,0,empirical_fisher_rank,3.27,3.14753843059037,3.39246156940963,1.0
main,uniform_action_oracle,uniform,4,0.2,0.05,100,0.0,0,0,population_return,0.6022276565506388,0.5993962882242548,0.6050590248770228,1.0
main,uniform_action_oracle,uniform,4,0.2,0.05,100,0.0,0,0,q,0.6411681432573498,0.6361423731613156,0.646193913353384,1.0
