configuration,algorithm,num_runs,finite_runs,failed_fraction,incorrect_modal_action_rate,optimal_probability_below_0p5_fraction,metric,mean,ci95_lower,ci95_upper
K0010_alpha0p1,entropy_sgb,100,100,0.0,0.26,0.26,optimal_arm_probability,0.7387729865657973,0.6514989360307624,0.8260470371008322
K0010_alpha0p1,entropy_sgb,100,100,0.0,0.26,0.26,expected_reward,0.9717283942871572,0.9620216061877539,0.9814351823865605
K0010_alpha0p1,entropy_sgb,100,100,0.0,0.26,0.26,expected_pseudo_regret,0.028271605712842512,0.018564817613439248,0.03797839381224578
K0010_alpha0p1,entropy_sgb,100,100,0.0,0.26,0.26,cumulative_pseudo_regret,947.8843135911384,708.9995960858168,1186.76903109646
K0010_alpha0p1,entropy_sgb,100,100,0.0,0.26,0.26,minimum_probability,2.431976170763595e-05,2.1831754531295823e-05,2.6807768883976076e-05
K0010_alpha0p1,entropy_sgb,100,100,0.0,0.26,0.26,normalized_log_fisher_volume,-6.4540526976758175,-6.546518330740078,-6.361587064611557
K0010_alpha0p1,entropy_sgb,100,100,0.0,0.26,0.26,entropy,0.01313783824272662,0.008937485835823126,0.017338190649630117
K0010_alpha0p1,entropy_sgb,100,100,0.0,0.26,0.26,numerically_collapsed,0.0,0.0,0.0
K0010_alpha0p1,npg,100,100,0.0,0.62,0.62,optimal_arm_probability,0.38,0.283203601751257,0.47679639824874304
K0010_alpha0p1,npg,100,100,0.0,0.62,0.62,expected_reward,0.8383606848572656,0.7940197240816124,0.8827016456329188
K0010_alpha0p1,npg,100,100,0.0,0.62,0.62,expected_pseudo_regret,0.1616393151427345,0.1172983543670813,0.2059802759183877
K0010_alpha0p1,npg,100,100,0.0,0.62,0.62,cumulative_pseudo_regret,4112.854288922906,3007.0050769014215,5218.70350094439
K0010_alpha0p1,npg,100,100,0.0,0.62,0.62,minimum_probability,1.4469947015040615e-100,-1.424156646296612e-100,4.3181460493047353e-100
K0010_alpha0p1,npg,100,100,0.0,0.62,0.62,normalized_log_fisher_volume,-1894.933840814133,-1994.755896608617,-1795.111785019649
K0010_alpha0p1,npg,100,100,0.0,0.62,0.62,entropy,1.5623542372703532e-94,-1.537695497702355e-94,4.6624039722430613e-94
K0010_alpha0p1,npg,100,100,0.0,0.62,0.62,numerically_collapsed,1.0,1.0,1.0
K0010_alpha0p1,lb_sgb,100,100,0.0,0.03,0.03,optimal_arm_probability,0.9547619612129252,0.9262852154884256,0.9832387069374249
K0010_alpha0p1,lb_sgb,100,100,0.0,0.03,0.03,expected_reward,0.9887252970164443,0.9855065080205053,0.9919440860123833
K0010_alpha0p1,lb_sgb,100,100,0.0,0.03,0.03,expected_pseudo_regret,0.011274702983555785,0.008055913987616865,0.014493491979494705
K0010_alpha0p1,lb_sgb,100,100,0.0,0.03,0.03,cumulative_pseudo_regret,715.3567609161342,588.8544709403056,841.8590508919629
K0010_alpha0p1,lb_sgb,100,100,0.0,0.03,0.03,minimum_probability,0.0005125527249388084,0.0004615154425018677,0.0005635900073757492
K0010_alpha0p1,lb_sgb,100,100,0.0,0.03,0.03,normalized_log_fisher_volume,-3.6999728022603415,-3.7856873405225167,-3.6142582639981664
K0010_alpha0p1,lb_sgb,100,100,0.0,0.03,0.03,entropy,0.1423417992379964,0.12193219805975057,0.1627514004162422
K0010_alpha0p1,lb_sgb,100,100,0.0,0.03,0.03,numerically_collapsed,0.0,0.0,0.0
K0100_alpha0p01,sgb,100,100,0.0,0.33,0.33,optimal_arm_probability,0.6519686105897935,0.5611762639442074,0.7427609572353796
K0100_alpha0p01,sgb,100,100,0.0,0.33,0.33,expected_reward,0.9449486438011759,0.9320629237488006,0.9578343638535513
K0100_alpha0p01,sgb,100,100,0.0,0.33,0.33,expected_pseudo_regret,0.055051356198824036,0.04216563614644869,0.06793707625119938
K0100_alpha0p01,sgb,100,100,0.0,0.33,0.33,cumulative_pseudo_regret,11984.49089326709,11725.918741080959,12243.06304545322
K0100_alpha0p01,sgb,100,100,0.0,0.33,0.33,minimum_probability,6.726561991389188e-05,5.699159188444025e-05,7.753964794334351e-05
K0100_alpha0p01,sgb,100,100,0.0,0.33,0.33,normalized_log_fisher_volume,-4.102463820601169,-4.208001729391716,-3.996925911810622
K0100_alpha0p01,sgb,100,100,0.0,0.33,0.33,entropy,0.2788056011530481,0.22668180686678333,0.3309293954393128
K0100_alpha0p01,sgb,100,100,0.0,0.33,0.33,numerically_collapsed,0.0,0.0,0.0
K0100_alpha0p01,entropy_sgb,100,100,0.0,0.37,0.37,optimal_arm_probability,0.6142895479585628,0.5209618404668764,0.7076172554502492
K0100_alpha0p01,entropy_sgb,100,100,0.0,0.37,0.37,expected_reward,0.9395076271624739,0.9260256683813303,0.9529895859436176
K0100_alpha0p01,entropy_sgb,100,100,0.0,0.37,0.37,expected_pseudo_regret,0.06049237283752583,0.047010414056382156,0.07397433161866951
K0100_alpha0p01,entropy_sgb,100,100,0.0,0.37,0.37,cumulative_pseudo_regret,11871.368759193334,11593.67723959411,12149.060278792558
K0100_alpha0p01,entropy_sgb,100,100,0.0,0.37,0.37,minimum_probability,6.710986537298342e-05,5.458936122350376e-05,7.963036952246308e-05
