iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
15,43.8169,43.8169,2.448594e-03,1.262631e+01,2.362926e+01,2.757391,0.606769,32.4931,31.1581,37.2,0.3958,0.0144,0.4102
16,63.4805,63.4805,2.261046e-03,8.076436e+00,2.335781e+01,2.744461,0.604174,45.9576,38.8871,48.29,0.4546,0.0177,0.4722
17,88.3813,88.3813,3.412191e-03,1.262590e+01,3.125212e+01,2.727787,0.600911,59.5294,43.5479,58.48,0.5356,0.0211,0.5567
18,112.599,112.599,4.529485e-03,1.494078e+01,3.550815e+01,2.719428,0.599299,68.4442,45.5405,70.59,0.5882,0.0247,0.6129
19,129.4604,129.4604,4.951436e-03,1.335140e+01,4.393066e+01,2.692372,0.593825,74.5305,45.3987,77.45,0.592,0.0262,0.6182
20,160.8106,160.8106,5.418871e-03,1.145076e+01,4.878104e+01,2.673866,0.590433,86.133,47.9193,90.89,0.5789,0.0273,0.6062
21,186.9797,186.9797,4.115079e-03,1.301550e+01,5.158571e+01,2.655605,0.586808,94.2462,49.9525,101.29,0.6348,0.0301,0.6649
22,207.2576,207.2576,2.846737e-03,6.826529e+00,4.673572e+01,2.666234,0.588977,99.9226,50.2247,109.12,0.6281,0.035,0.6632
23,211.6091,211.6091,3.893650e-03,1.322089e+01,5.191524e+01,2.656981,0.587077,102.2914,51.6264,111.1,0.6764,0.0326,0.709
24,208.5719,211.6091,7.262067e-03,1.774976e+01,5.658758e+01,2.641445,0.583987,100.7237,51.4612,110.16,0.6308,0.0288,0.6596
25,215.4167,215.4167,6.146667e-03,1.185561e+01,6.266681e+01,2.636181,0.583134,102.0465,50.2069,112.42,0.5928,0.0324,0.6252
26,230.1788,230.1788,4.584695e-03,1.181448e+01,5.898144e+01,2.63436,0.582692,108.0972,52.6478,119.14,0.6892,0.0335,0.7227
27,239.047,239.047,5.163955e-03,1.199628e+01,5.778499e+01,2.63258,0.582223,110.4308,52.9466,124.25,0.6771,0.034,0.711
28,238.5365,239.047,7.955432e-03,1.228270e+01,5.929819e+01,2.630176,0.58204,111.255,54.0894,122.98,0.75,0.034,0.784
29,247.4483,247.4483,6.762541e-03,2.523434e+01,6.109692e+01,2.632044,0.58221,114.9942,55.3063,126.79,0.7655,0.0373,0.8028
30,267.4652,267.4652,7.119074e-03,1.357862e+01,6.301942e+01,2.651402,0.586082,123.5618,57.2286,132.97,0.7541,0.037,0.7912
31,274.0321,274.0321,7.797126e-03,1.428008e+01,5.952059e+01,2.666752,0.589063,126.1336,57.6464,136.41,0.8101,0.0397,0.8498
32,275.5485,275.5485,5.053179e-03,1.677442e+01,6.180902e+01,2.662441,0.588064,127.1377,58.681,136.2,0.9061,0.0389,0.945
33,277.8878,277.8878,1.618202e-02,1.631046e+01,7.239342e+01,2.673268,0.590495,128.7935,58.9336,136.95,0.7921,0.0387,0.8308
34,289.4159,289.4159,7.803629e-03,1.934121e+01,6.215128e+01,2.687873,0.593263,133.1546,60.4809,142.47,0.9804,0.0408,1.0211
35,296.5091,296.5091,1.360095e-02,2.368460e+01,6.944331e+01,2.677797,0.591184,135.4029,61.2517,147.72,0.9775,0.0442,1.0216
36,322.0965,322.0965,1.843388e-02,2.526725e+01,8.196091e+01,2.657456,0.587121,145.313,65.9073,158.75,1.2295,0.0537,1.2832
37,320.407,322.0965,1.608764e-02,2.624242e+01,7.583474e+01,2.649501,0.585338,145.1247,69.5844,156.34,1.1662,0.0437,1.2099
38,349.6723,349.6723,1.281581e-02,2.022346e+01,7.603453e+01,2.660766,0.58738,156.8979,76.181,165.45,1.1823,0.0498,1.2321
39,364.3306,364.3306,1.614201e-02,2.787633e+01,8.551192e+01,2.658638,0.587211,162.7837,78.9879,169.19,1.2618,0.0519,1.3137
40,407.1522,407.1522,1.622487e-02,2.721373e+01,8.364127e+01,2.671,0.589724,180.2859,88.0341,184.97,1.2446,0.063,1.3075
41,477.6736,477.6736,2.508223e-02,3.615724e+01,9.549491e+01,2.646285,0.584742,203.5358,96.9461,212.37,1.765,0.0634,1.8285
42,485.3406,485.3406,1.755072e-02,4.927027e+01,8.970495e+01,2.641953,0.584279,206.9688,103.5692,216.6,1.7212,0.0651,1.7863
43,690.5703,690.5703,4.768482e-02,3.729326e+01,1.239093e+02,2.619407,0.579497,255.9839,113.2685,296.54,2.0538,0.0815,2.1353
44,752.7568,752.7568,3.511411e-02,2.745885e+01,1.224169e+02,2.597834,0.575522,274.5005,122.1422,312.16,1.9872,0.0857,2.0729
45,621.7796,752.7568,2.722569e-02,6.868478e+01,1.090525e+02,2.600388,0.575829,252.1344,115.8777,250.86,1.952,0.0673,2.0194
46,685.8198,752.7568,5.756561e-02,4.596498e+01,1.283831e+02,2.579508,0.571701,264.0828,121.7849,280.67,2.0359,0.0739,2.1098
47,606.5934,752.7568,2.926548e-02,5.531861e+01,1.021972e+02,2.527385,0.562179,254.978,127.9138,246.88,1.9136,0.0651,1.9787
48,950.5337,950.5337,4.450658e-02,6.271639e+01,1.410906e+02,2.518291,0.560096,308.2379,130.5403,379.53,1.9714,0.0981,2.0695
49,1021.1999,1021.1999,4.875034e-02,5.474909e+01,1.501980e+02,2.515469,0.559881,322.732,133.1732,394.45,1.9454,0.1029,2.0483
50,1063.0797,1063.0797,5.825928e-02,8.034100e+01,1.438258e+02,2.561123,0.567926,305.5322,129.2628,447.48,1.947,0.1276,2.0746
51,1060.1722,1063.0797,5.585546e-02,7.492704e+01,1.666916e+02,2.553001,0.566993,323.9989,130.9223,417.86,1.9949,0.1005,2.0954
