seed,update,reward_gradient_norm,unscaled_barrier_gradient_norm,unscaled_entropy_gradient_norm,unscaled_barrier_to_reward_ratio,unscaled_entropy_to_reward_ratio
193,0,369.6980285644531,0.2815023362636566,0.2890015244483948,0.0007614385647571273,0.0007817231960110663
193,1,194.4473419189453,0.28560370206832886,0.2930588126182556,0.0014687971522253144,0.0015071371494520926
193,2,377.5565490722656,0.28188490867614746,0.28726866841316223,0.000746603149564739,0.0007608626287083104
193,3,313.2959289550781,0.2856726348400116,0.293010413646698,0.0009118300253463322,0.000935251264272608
193,4,206.9995880126953,0.28535598516464233,0.2903187870979309,0.0013785340729622197,0.0014025090092455914
194,0,339.5306396484375,0.08000023663043976,0.080487459897995,0.00023562008045363724,0.00023705507102785971
194,1,517.6788940429688,0.08505669236183167,0.08591834455728531,0.000164303960120058,0.00016596841313401865
194,2,314.6316833496094,0.10509489476680756,0.10645590722560883,0.0003340251485417927,0.0003383508809165865
194,3,705.9328002929688,0.06510435789823532,0.06422190368175507,9.222458266738194e-05,9.097452853175596e-05
194,4,369.0032043457031,0.06975128501653671,0.06950336694717407,0.00018902623119551492,0.000188354372343226
