iteration,train_reward,best_reward,kl,grad_norm,nat_grad_norm,entropy,mean_std,return_mean,return_std,episode_len,rollout_time,update_time,total_time
42,24.2237,24.9757,1.392135e-05,3.048737e+02,2.165834e+03,1.832277,0.604826,4.9265,8.8141,500.0,1.8876,0.0704,1.958
43,25.682,25.682,1.366022e-05,2.315403e+02,2.213410e+03,1.831184,0.604493,5.2036,8.8039,500.0,1.8924,0.0728,1.9652
44,26.212,26.212,1.344266e-05,1.770380e+02,2.599525e+03,1.830584,0.604409,5.6575,8.797,500.0,1.8406,0.071,1.9116
45,26.2826,26.2826,1.031774e-05,1.095473e+02,2.595209e+03,1.829956,0.604156,5.9907,8.8665,500.0,1.859,0.0726,1.9316
46,25.9662,26.2826,1.810407e-05,2.109017e+02,2.730221e+03,1.829891,0.604104,5.5804,8.7687,500.0,1.8564,0.0693,1.9256
47,25.1704,26.2826,1.279634e-05,2.347173e+02,2.568631e+03,1.829441,0.603928,4.9061,8.7969,500.0,1.9388,0.0732,2.0121
48,25.3421,26.2826,7.904438e-06,2.044333e+02,2.255562e+03,1.828665,0.603618,5.4669,8.44,500.0,1.9512,0.0717,2.0229
49,27.3599,27.3599,7.840678e-06,1.068393e+02,2.099976e+03,1.828739,0.603826,6.1482,8.4919,500.0,1.9953,0.0728,2.0681
50,25.8441,27.3599,1.013070e-05,1.737014e+02,2.295779e+03,1.828315,0.603593,4.7446,8.7793,500.0,1.8922,0.0723,1.9644
51,24.0813,27.3599,8.669726e-06,2.240096e+02,2.276215e+03,1.827299,0.603418,4.303,8.7971,500.0,1.9454,0.0722,2.0176
52,26.3014,27.3599,1.457438e-05,2.514258e+02,2.668177e+03,1.827387,0.603433,5.1142,8.624,500.0,1.9168,0.0711,1.9879
53,27.1843,27.3599,1.447488e-05,1.482796e+02,2.435543e+03,1.826737,0.603179,5.7857,8.7267,500.0,1.9387,0.0729,2.0116
54,26.4212,27.3599,1.144849e-05,2.157020e+02,2.672129e+03,1.826078,0.602934,4.8671,8.9727,500.0,1.8778,0.0696,1.9474
55,28.4824,28.4824,1.003947e-05,1.714366e+02,2.215330e+03,1.825371,0.602638,6.5727,8.3482,500.0,1.9213,0.0724,1.9937
56,28.3634,28.4824,1.816066e-05,2.209875e+02,2.325600e+03,1.824749,0.602541,6.3413,8.4055,500.0,1.8383,0.0698,1.9081
57,26.541,28.4824,1.114679e-05,1.771622e+02,2.686061e+03,1.824583,0.602537,4.986,8.856,500.0,1.895,0.0703,1.9653
58,28.0587,28.4824,1.445415e-05,2.233885e+02,2.498227e+03,1.82346,0.602202,5.9189,8.5917,500.0,1.9187,0.0704,1.9891
59,27.4423,28.4824,9.003886e-06,1.214603e+02,2.321897e+03,1.82279,0.601957,5.937,8.4578,500.0,1.8869,0.0715,1.9584
60,26.9622,28.4824,1.342600e-05,1.743580e+02,2.418243e+03,1.82209,0.601661,5.6208,8.5978,500.0,1.8761,0.0702,1.9462
