environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,parameter_count,state_count,action_count,score_row_count,maximum_possible_rank,numerical_rank,eigenvalue_threshold,trace,largest_eigenvalue,smallest_positive_eigenvalue,k90,participation_ratio,entropy_effective_rank,log_pseudodeterminant,positive_spectrum_condition_number,dtype,spectral_floor_used,decomposition_space
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,88000,88000,fixed_reference,analysis-fixed_reference-302-88000,False,155,256,3,768,155,146,1e-10,2.6200110438842645,0.9365982345794731,1.87415996844538e-09,6,4.5150916573530395,6.508560919075651,-1663.3787138777607,499742951.69498444,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,100000,100000,fixed_reference,analysis-fixed_reference-302-100000,False,155,256,3,768,155,146,1e-10,2.6144614326779037,0.9338748177284314,1.894744447355862e-09,6,4.518004687327644,6.5098522397388745,-1663.8100928279819,492876397.6755096,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,111976,111976,fixed_reference,analysis-fixed_reference-302-111976,False,155,256,3,768,155,146,1e-10,2.6094283106930765,0.9311366343258825,1.9203200709992747e-09,6,4.521344272567864,6.511562011991507,-1664.1179753925912,484886164.7534351,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,122880,122880,fixed_reference,analysis-fixed_reference-302-122880,False,155,256,3,768,155,146,1e-10,2.6039852366880067,0.9283489540780075,1.944977169439318e-09,6,4.524282536846442,6.512896948491967,-1664.411907101662,477305836.11201173,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,0,0,fixed_reference,analysis-fixed_reference-303-0,False,155,256,3,768,155,146,1e-10,1.9167791753753547,0.6317031366279584,3.5715795707855027e-10,5,4.13273836559996,5.7234943557135685,-1799.627442487009,1768694002.4943278,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,15747,15747,fixed_reference,analysis-fixed_reference-303-15747,False,155,256,3,768,155,146,1e-10,1.9155543085049078,0.6314016569263582,3.745467683740751e-10,5,4.131617739758474,5.720898825873086,-1798.947711733548,1685775209.5080197,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,27747,27747,fixed_reference,analysis-fixed_reference-303-27747,False,155,256,3,768,155,146,1e-10,1.913405621499748,0.6313006856915263,3.748633991837816e-10,5,4.131300957218781,5.719861236613598,-1798.8362872083362,1684081953.7626374,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,39695,39695,fixed_reference,analysis-fixed_reference-303-39695,False,155,256,3,768,155,146,1e-10,1.9120552766351224,0.6314996150144045,3.7061781196783613e-10,5,4.1323039169950375,5.721491932925704,-1798.8181162402495,1703910590.970757,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,51695,51695,fixed_reference,analysis-fixed_reference-303-51695,False,155,256,3,768,155,146,1e-10,1.9117231957710445,0.6317155478627928,3.61658825690302e-10,5,4.133104679005648,5.723221857385294,-1799.058261561502,1746716803.2109566,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,63667,63667,fixed_reference,analysis-fixed_reference-303-63667,False,155,256,3,768,155,146,1e-10,1.9123907679952803,0.6318206673478809,3.572197342941199e-10,5,4.133361933631558,5.724134240957093,-1799.2562201543362,1768717141.5554159,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,75667,75667,fixed_reference,analysis-fixed_reference-303-75667,False,155,256,3,768,155,146,1e-10,1.912286536124875,0.631783689455823,3.5613590584297814e-10,5,4.133644153484137,5.724964588451602,-1799.2938952154618,1773996047.8300638,float64,False,parameter_fisher
