run_label,environment,method,seed,update,environment_steps,deterministic_return,stochastic_return,episode_length,entropy,mean_min_probability,global_min_probability,barrier_value,beta,barrier_active
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,303,28,111617,-500.0,-500.0,500.0,1.0905860662460327,0.2905864119529724,0.2174927294254303,-1.1066529750823975,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,303,31,122880,-500.0,-490.4,500.0,1.090710997581482,0.29082414507865906,0.21508654952049255,-1.1065402030944824,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,304,0,0,-500.0,-500.0,500.0,1.0885896682739258,0.2733095586299896,0.2267875075340271,-1.109065055847168,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,304,4,16000,-500.0,-500.0,500.0,1.0889664888381958,0.27437976002693176,0.22821664810180664,-1.1086456775665283,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,304,7,28000,-500.0,-500.0,500.0,1.0887259244918823,0.275133341550827,0.23007732629776,-1.108911156654358,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,304,10,40000,-500.0,-500.0,500.0,1.0890531539916992,0.27662426233291626,0.22756090760231018,-1.108540654182434,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,304,13,52000,-500.0,-500.0,500.0,1.089630126953125,0.2760012745857239,0.22981803119182587,-1.1079397201538086,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,304,16,64000,-500.0,-500.0,500.0,1.08951997756958,0.2762867212295532,0.23383064568042755,-1.1080679893493652,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,304,19,76000,-500.0,-500.0,500.0,1.089341640472412,0.27691391110420227,0.23089390993118286,-1.1082557439804077,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,304,22,88000,-500.0,-500.0,500.0,1.089904546737671,0.2769385576248169,0.22885547578334808,-1.107661247253418,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,304,25,100000,-500.0,-500.0,500.0,1.089833378791809,0.27782636880874634,0.2315087467432022,-1.107733964920044,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,304,28,112000,-500.0,-500.0,500.0,1.0901925563812256,0.27890002727508545,0.23067551851272583,-1.1073453426361084,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,304,31,122880,-500.0,-500.0,500.0,1.090164303779602,0.27786868810653687,0.23570995032787323,-1.1073923110961914,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,305,0,0,-500.0,-500.0,500.0,1.0835306644439697,0.281070739030838,0.22312457859516144,-1.1134743690490723,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,305,4,16000,-500.0,-500.0,500.0,1.0841104984283447,0.28114596009254456,0.2122565358877182,-1.1129472255706787,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,305,7,28000,-500.0,-500.0,500.0,1.0824772119522095,0.2774818241596222,0.21060645580291748,-1.114646315574646,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,305,10,40000,-500.0,-500.0,500.0,1.0834439992904663,0.2787611186504364,0.20926718413829803,-1.1136928796768188,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,305,13,52000,-500.0,-500.0,500.0,1.0843254327774048,0.2801723778247833,0.22031034529209137,-1.1128034591674805,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,305,16,64000,-500.0,-500.0,500.0,1.0841394662857056,0.27964556217193604,0.210271954536438,-1.1130239963531494,0.0,False
gpomdp_entropy_fixed,Acrobot-v1,gpomdp_entropy_fixed,305,19,76000,-500.0,-500.0,500.0,1.0848742723464966,0.28121116757392883,0.21016550064086914,-1.1122584342956543,0.0,False
