environment,run_label,method,seed,update,environment_steps,fisher,analysis_batch_identifier,training_batch_reused,parameter_count,state_count,action_count,score_row_count,maximum_possible_rank,numerical_rank,eigenvalue_threshold,trace,largest_eigenvalue,smallest_positive_eigenvalue,k90,participation_ratio,entropy_effective_rank,log_pseudodeterminant,positive_spectrum_condition_number,dtype,spectral_floor_used,decomposition_space
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,88000,88000,on_policy,analysis-on_policy-302-88000,False,155,128,3,384,155,58,1.2345583577189609e-10,1.8378748595042118,1.234558357718961,1.456425348076183e-10,2,1.8465512095877203,2.1406513890525183,-884.8461135392474,8476633281.27123,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,100000,100000,on_policy,analysis-on_policy-302-100000,False,155,128,3,384,155,56,1.2327039857336214e-10,1.8228130668869065,1.2327039857336213,1.681741439335131e-10,2,1.819833560995737,2.078448813650074,-856.5230205202345,7329925735.914347,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,111976,111976,on_policy,analysis-on_policy-302-111976,False,155,128,3,384,155,57,1.220869293856798e-10,1.8137679684194281,1.220869293856798,1.605451282396256e-10,2,1.8301650093470359,2.0948488946974755,-863.564255132939,7604524081.444311,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,302,122880,122880,on_policy,analysis-on_policy-302-122880,False,155,128,3,384,155,54,1.2233020451308863e-10,1.8201379858420177,1.2233020451308863,1.327144020198708e-10,2,1.83379256494774,2.093539136555479,-822.7620135221055,9217553080.243137,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,0,0,on_policy,analysis-on_policy-303-0,False,155,128,3,384,155,55,1e-10,1.5679518884710717,0.7929128899274803,1.4375422062013994e-10,2,2.0630371508674608,2.1946675997378313,-832.1271070856252,5515753808.875601,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,15747,15747,on_policy,analysis-on_policy-303-15747,False,155,128,3,384,155,62,1e-10,1.5937229686967596,0.7957417192714336,1.0135027391630347e-10,2,2.1118221772709878,2.303627648229594,-947.1310972916283,7851401762.649094,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,27747,27747,on_policy,analysis-on_policy-303-27747,False,155,128,3,384,155,60,1e-10,1.5741025388631509,0.7909731399929126,1.0611565761182464e-10,2,2.0805209048890445,2.2388640280767427,-925.5328548295831,7453877757.47783,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,39695,39695,on_policy,analysis-on_policy-303-39695,False,155,128,3,384,155,57,1e-10,1.5594827287496233,0.7861935071144244,1.3776815040782996e-10,2,2.0682043265307954,2.2078077822845565,-878.5185846939698,5706641954.523486,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,51695,51695,on_policy,analysis-on_policy-303-51695,False,155,128,3,384,155,60,1e-10,1.5692836427523242,0.7901542185397303,1.163135915252929e-10,2,2.075146144587257,2.226910541508289,-919.7175502144556,6793309433.385589,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,63667,63667,on_policy,analysis-on_policy-303-63667,False,155,128,3,384,155,57,1e-10,1.5648306507218264,0.7875002428376117,1.0789008663453914e-10,2,2.0771484540720806,2.2262108809245453,-872.6236002827749,7299097325.828888,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,75667,75667,on_policy,analysis-on_policy-303-75667,False,155,128,3,384,155,57,1e-10,1.5793150472343396,0.7970010568929775,1.1085551402878882e-10,2,2.0710507717940687,2.211550854382156,-879.6985127536885,7189548159.832617,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,87622,87622,on_policy,analysis-on_policy-303-87622,False,155,128,3,384,155,59,1e-10,1.5588527403419707,0.7864699948775253,1.0327614648830617e-10,2,2.0716750626632154,2.2159653629369345,-922.8900946447053,7615214370.595986,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,99617,99617,on_policy,analysis-on_policy-303-99617,False,155,128,3,384,155,58,1e-10,1.568078912972039,0.7875570598550442,1.2466451671177957e-10,2,2.0888522234139812,2.256476479428317,-883.9741367730101,6317411566.884355,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,111617,111617,on_policy,analysis-on_policy-303-111617,False,155,128,3,384,155,59,1e-10,1.5716426504241754,0.79130758278017,1.0497472437812025e-10,2,2.0793326953592155,2.2341040750654435,-899.7301699482698,7538077260.673439,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,303,122880,122880,on_policy,analysis-on_policy-303-122880,False,155,128,3,384,155,55,1e-10,1.5673329169508032,0.7910392362407501,1.16072491570343e-10,2,2.070589674083406,2.206348246788291,-847.9827264904109,6815044852.908662,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,0,0,on_policy,analysis-on_policy-304-0,False,155,128,3,384,155,60,1e-10,1.2127760115920505,0.6749903767794558,1.0005829590612363e-10,2,2.0692528184352095,2.2768933648493586,-935.4036524557443,6745971142.7900305,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,16000,16000,on_policy,analysis-on_policy-304-16000,False,155,128,3,384,155,57,1e-10,1.1976090179527563,0.6693031904349284,1.1185833473662894e-10,2,2.0433933004885687,2.215971256804544,-894.2542927845795,5983489670.312064,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,28000,28000,on_policy,analysis-on_policy-304-28000,False,155,128,3,384,155,53,1e-10,1.1917208131223591,0.6689219257144993,1.1839398880558326e-10,2,2.022631975316989,2.1659125919652866,-818.6753775655673,5649965276.640414,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,40000,40000,on_policy,analysis-on_policy-304-40000,False,155,128,3,384,155,56,1e-10,1.1937171712667773,0.6659488353686729,1.1773688860830403e-10,2,2.04140988291022,2.209711514812441,-875.2757737674299,5656246255.871444,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,52000,52000,on_policy,analysis-on_policy-304-52000,False,155,128,3,384,155,58,1e-10,1.1944997352118785,0.665099115085354,1.004829469801424e-10,2,2.0471655291364166,2.2215024463604567,-910.3113348926847,6619024770.609006,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,64000,64000,on_policy,analysis-on_policy-304-64000,False,155,128,3,384,155,55,1e-10,1.189863895838359,0.6670372949104417,1.0800295852987938e-10,2,2.0218322769506174,2.1648305695489634,-865.249799524284,6176102062.295855,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,76000,76000,on_policy,analysis-on_policy-304-76000,False,155,128,3,384,155,53,1e-10,1.1867320810759387,0.6657081136246854,1.302423158764128e-10,2,2.0185279365549573,2.156316933157259,-821.4055252834503,5111304334.118085,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,88000,88000,on_policy,analysis-on_policy-304-88000,False,155,128,3,384,155,56,1e-10,1.1965502207961094,0.6662491480801681,1.1043748200076671e-10,2,2.0488109783653394,2.2236396665421116,-883.2495636427278,6032817264.663302,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,100000,100000,on_policy,analysis-on_policy-304-100000,False,155,128,3,384,155,57,1e-10,1.1932993287547367,0.6653611309070622,1.0539425871383875e-10,2,2.042608734538833,2.2108542145440646,-892.6151887192339,6313068083.847125,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,112000,112000,on_policy,analysis-on_policy-304-112000,False,155,128,3,384,155,59,1e-10,1.2004469377639615,0.6675368740028322,1.0051780572007179e-10,2,2.0564029127473473,2.243881210138935,-918.6995388373515,6640981358.6841545,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,304,122880,122880,on_policy,analysis-on_policy-304-122880,False,155,128,3,384,155,54,1e-10,1.1912958272597192,0.6672120695931114,1.1304595202687033e-10,2,2.0268722753400206,2.1733191469044875,-847.292731936107,5902131457.431746,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,0,0,on_policy,analysis-on_policy-305-0,False,155,128,3,384,155,62,1e-10,1.6036983225289836,0.8224122777528637,1.1792457379015318e-10,2,2.169895759810069,2.425775711747161,-948.5213813767381,6974053425.169436,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,16000,16000,on_policy,analysis-on_policy-305-16000,False,155,128,3,384,155,64,1e-10,1.6039585809667278,0.8159440895994723,1.0381315009147711e-10,2,2.1896752261655466,2.4651000776780343,-980.3614304341404,7859737315.364058,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,28000,28000,on_policy,analysis-on_policy-305-28000,False,155,128,3,384,155,57,1e-10,1.6013480857767906,0.8264043157343234,1.1181129388716306e-10,2,2.1394544786850602,2.3676870109824506,-864.4940803252033,7391062986.609459,float64,False,parameter_fisher
Acrobot-v1,gpomdp_entropy_fixed,gpomdp_entropy_fixed,305,40000,40000,on_policy,analysis-on_policy-305-40000,False,155,128,3,384,155,63,1e-10,1.6054325707881876,0.822562141325693,1.396618947533909e-10,2,2.1716852009251046,2.4344209696704318,-958.9496819486294,5889667634.669704,float64,False,parameter_fisher
