run_label,method,seed,initial_weight_identifier,optimizer,learning_rate,total_environment_steps,final_deterministic_return,final_stochastic_return,final_episode_length,training_auc,failure,finite
gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,304,eaa9817c2c63145de6066f24dae8b24314609c1a1ec2472b9506615f095dbe50,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,305,08d3e081eb9b7499dd333d9dcf2b7692d57e645cfd7ba82751ea33c81e939514,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,306,20ba6257519835794bd868e2f646a96faa4456927b378c55dd9ffea3a916d4a5,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,307,e11a988641cff53f4817752146d429bee66081561c520652d8c0e5daa549c907,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,308,a5e526f0d9062d1f41ee79ca145f316a783eea6ce0d4dd562175b699684f48d6,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,309,79da0fe08de61b42b7ef120be2bfdb9d564bfbf6d5de56cb79cf2d5d44fadfd5,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.12790009420354,True,True
gpomdp_logbarrier_handoff_h25,gpomdp_logbarrier_handoff,310,81ad8af95a5afeb6b2bc74d4c56b1b2abfe4f62f07fd271fcfaa93bff6fee308,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.1748128605248,True,True
gpomdp_reward_only,gpomdp_reward_only,301,c084e9f570b1a5bcbbf982ad32cb06c52293eb0046a1b1ebbf4dda5763acf168,Adam,0.0003,122880,-500.0,-500.0,500.0,-482.620785872241,True,True
gpomdp_reward_only,gpomdp_reward_only,302,5d9bf77e17cc9058d20464fd074706cad10d98459ee8d86a77de60071b90f199,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_reward_only,gpomdp_reward_only,303,34f12cee59aae1b2f093f3d9ee0f0db00c8e8c7e3a0003729216ed529943bf10,Adam,0.0003,122880,-500.0,-490.4,500.0,-482.0471975538643,True,True
gpomdp_reward_only,gpomdp_reward_only,304,eaa9817c2c63145de6066f24dae8b24314609c1a1ec2472b9506615f095dbe50,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_reward_only,gpomdp_reward_only,305,08d3e081eb9b7499dd333d9dcf2b7692d57e645cfd7ba82751ea33c81e939514,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_reward_only,gpomdp_reward_only,306,20ba6257519835794bd868e2f646a96faa4456927b378c55dd9ffea3a916d4a5,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_reward_only,gpomdp_reward_only,307,e11a988641cff53f4817752146d429bee66081561c520652d8c0e5daa549c907,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_reward_only,gpomdp_reward_only,308,a5e526f0d9062d1f41ee79ca145f316a783eea6ce0d4dd562175b699684f48d6,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
gpomdp_reward_only,gpomdp_reward_only,309,79da0fe08de61b42b7ef120be2bfdb9d564bfbf6d5de56cb79cf2d5d44fadfd5,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.0513872097386,True,True
gpomdp_reward_only,gpomdp_reward_only,310,81ad8af95a5afeb6b2bc74d4c56b1b2abfe4f62f07fd271fcfaa93bff6fee308,Adam,0.0003,122880,-500.0,-500.0,500.0,-483.1748128605248,True,True
npg_reward_only,npg_reward_only,301,c084e9f570b1a5bcbbf982ad32cb06c52293eb0046a1b1ebbf4dda5763acf168,SGD_after_sampled_action_NPG,0.01,122880,-500.0,-500.0,500.0,-440.6224739627079,True,True
npg_reward_only,npg_reward_only,302,5d9bf77e17cc9058d20464fd074706cad10d98459ee8d86a77de60071b90f199,SGD_after_sampled_action_NPG,0.01,122880,-500.0,-500.0,500.0,-479.8175625194127,True,True
npg_reward_only,npg_reward_only,303,34f12cee59aae1b2f093f3d9ee0f0db00c8e8c7e3a0003729216ed529943bf10,SGD_after_sampled_action_NPG,0.01,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
npg_reward_only,npg_reward_only,304,eaa9817c2c63145de6066f24dae8b24314609c1a1ec2472b9506615f095dbe50,SGD_after_sampled_action_NPG,0.01,122880,-500.0,-500.0,500.0,-483.1193831231086,True,True
npg_reward_only,npg_reward_only,305,08d3e081eb9b7499dd333d9dcf2b7692d57e645cfd7ba82751ea33c81e939514,SGD_after_sampled_action_NPG,0.01,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
npg_reward_only,npg_reward_only,306,20ba6257519835794bd868e2f646a96faa4456927b378c55dd9ffea3a916d4a5,SGD_after_sampled_action_NPG,0.01,122880,-500.0,-500.0,500.0,-483.3333333333333,True,True
npg_reward_only,npg_reward_only,307,e11a988641cff53f4817752146d429bee66081561c520652d8c0e5daa549c907,SGD_after_sampled_action_NPG,0.01,122880,-500.0,-500.0,500.0,-458.5917016979888,True,True
npg_reward_only,npg_reward_only,308,a5e526f0d9062d1f41ee79ca145f316a783eea6ce0d4dd562175b699684f48d6,SGD_after_sampled_action_NPG,0.01,122880,-500.0,-500.0,500.0,-473.4382343138072,True,True
npg_reward_only,npg_reward_only,309,79da0fe08de61b42b7ef120be2bfdb9d564bfbf6d5de56cb79cf2d5d44fadfd5,SGD_after_sampled_action_NPG,0.01,122880,-500.0,-500.0,500.0,-477.25059057055677,True,True
npg_reward_only,npg_reward_only,310,81ad8af95a5afeb6b2bc74d4c56b1b2abfe4f62f07fd271fcfaa93bff6fee308,SGD_after_sampled_action_NPG,0.01,122880,-500.0,-500.0,500.0,-475.13347401550055,True,True
