update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,4000,-500.0,500.0,0.0,False
2,8000,-500.0,500.0,0.0,False
3,11433,-428.75,429.125,0.0,False
4,15123,-460.875,461.25,0.0,False
5,19123,-500.0,500.0,0.0,False
6,23123,-500.0,500.0,0.0,False
7,27123,-500.0,500.0,0.0,False
8,31123,-500.0,500.0,0.0,False
9,35123,-500.0,500.0,0.0,False
10,39123,-500.0,500.0,0.0,False
11,43123,-500.0,500.0,0.0,False
12,47123,-500.0,500.0,0.0,False
13,51123,-500.0,500.0,0.0,False
14,55123,-500.0,500.0,0.0,False
15,59123,-500.0,500.0,0.0,False
16,63123,-500.0,500.0,0.0,False
17,67123,-500.0,500.0,0.0,False
18,71123,-500.0,500.0,0.0,False
19,75123,-500.0,500.0,0.0,False
20,79123,-500.0,500.0,0.0,False
21,83123,-500.0,500.0,0.0,False
22,87123,-500.0,500.0,0.0,False
23,91123,-500.0,500.0,0.0,False
24,95123,-500.0,500.0,0.0,False
25,99123,-500.0,500.0,0.0,False
26,103123,-500.0,500.0,0.0,False
27,107123,-500.0,500.0,0.0,False
28,111123,-500.0,500.0,0.0,False
29,115123,-500.0,500.0,0.0,False
30,119123,-500.0,500.0,0.0,False
31,122880,-289.0,289.0,0.0,False
