Update 0069/1200 | return 26.0850 | logdet -249.69 | lambda_min 4.226e-08 | 9.9s
Update 0070/1200 | return 25.9642 | logdet -252.33 | lambda_min 7.345e-08 | 10.1s
Update 0071/1200 | return 25.8297 | logdet -244.68 | lambda_min 4.908e-08 | 10.1s
Update 0072/1200 | return 26.8247 | logdet -249.18 | lambda_min 9.876e-08 | 9.8s
Update 0073/1200 | return 25.7539 | logdet -257.62 | lambda_min 3.706e-08 | 10.1s
Update 0074/1200 | return 27.2771 | logdet -251.48 | lambda_min 5.926e-08 | 10.0s
Update 0075/1200 | return 26.6852 | logdet -250.30 | lambda_min 5.386e-08 | 10.4s
Update 0076/1200 | return 26.1452 | logdet -247.06 | lambda_min 4.484e-08 | 10.5s
Update 0077/1200 | return 26.6374 | logdet -254.12 | lambda_min 5.134e-08 | 10.0s
Update 0078/1200 | return 27.4091 | logdet -242.72 | lambda_min 8.601e-08 | 10.3s
Update 0079/1200 | return 26.9818 | logdet -243.63 | lambda_min 1.417e-07 | 9.7s
Update 0080/1200 | return 27.2642 | logdet -249.21 | lambda_min 3.493e-08 | 9.9s
Update 0081/1200 | return 26.7183 | logdet -244.13 | lambda_min 5.150e-08 | 10.0s
Update 0082/1200 | return 27.0213 | logdet -248.21 | lambda_min 3.880e-08 | 10.7s
Update 0083/1200 | return 27.1157 | logdet -249.56 | lambda_min 6.750e-08 | 10.4s
Update 0084/1200 | return 26.8145 | logdet -244.10 | lambda_min 9.070e-08 | 10.0s
Update 0085/1200 | return 26.9511 | logdet -260.11 | lambda_min 2.534e-08 | 10.5s
Update 0086/1200 | return 26.9699 | logdet -243.41 | lambda_min 2.370e-08 | 10.4s
Update 0087/1200 | return 27.0684 | logdet -239.27 | lambda_min 1.544e-07 | 10.5s
Update 0088/1200 | return 26.8582 | logdet -250.15 | lambda_min 6.968e-08 | 10.2s
Update 0089/1200 | return 27.1043 | logdet -252.71 | lambda_min 5.966e-08 | 10.0s
Update 0090/1200 | return 27.2749 | logdet -248.62 | lambda_min 7.133e-08 | 10.1s
Update 0091/1200 | return 26.7080 | logdet -246.87 | lambda_min 5.383e-08 | 9.9s
Update 0092/1200 | return 27.7708 | logdet -240.04 | lambda_min 1.036e-07 | 10.0s
Update 0093/1200 | return 27.0789 | logdet -245.42 | lambda_min 5.704e-08 | 10.2s
Update 0094/1200 | return 26.7484 | logdet -247.31 | lambda_min 9.680e-08 | 10.1s
Update 0095/1200 | return 26.9573 | logdet -240.39 | lambda_min 4.343e-08 | 10.1s
Update 0096/1200 | return 27.8140 | logdet -243.36 | lambda_min 8.796e-08 | 10.1s
Update 0097/1200 | return 27.6421 | logdet -252.44 | lambda_min 6.583e-08 | 10.2s
Update 0098/1200 | return 27.4725 | logdet -248.80 | lambda_min 4.004e-08 | 10.0s
Update 0099/1200 | return 27.1740 | logdet -243.91 | lambda_min 6.633e-08 | 10.2s
Update 0100/1200 | return 27.6068 | logdet -240.30 | lambda_min 1.582e-07 | 10.5s
Update 0101/1200 | return 27.1040 | logdet -247.21 | lambda_min 7.298e-08 | 10.4s
Update 0102/1200 | return 27.6813 | logdet -250.78 | lambda_min 3.587e-08 | 10.1s
Update 0103/1200 | return 27.9115 | logdet -243.34 | lambda_min 7.017e-08 | 9.7s
Update 0104/1200 | return 28.4415 | logdet -256.04 | lambda_min 5.128e-08 | 11.1s
Update 0105/1200 | return 27.5229 | logdet -240.60 | lambda_min 3.262e-08 | 11.5s
Update 0106/1200 | return 28.4281 | logdet -249.51 | lambda_min 4.328e-08 | 10.7s
Update 0107/1200 | return 27.4603 | logdet -243.00 | lambda_min 5.503e-08 | 10.4s
Update 0108/1200 | return 27.9059 | logdet -247.08 | lambda_min 7.187e-08 | 10.3s
Update 0109/1200 | return 28.2961 | logdet -241.98 | lambda_min 6.128e-08 | 10.3s
Update 0110/1200 | return 27.6534 | logdet -241.84 | lambda_min 5.397e-08 | 10.3s
Update 0111/1200 | return 27.0366 | logdet -245.12 | lambda_min 7.191e-08 | 10.3s
Update 0112/1200 | return 27.7917 | logdet -244.64 | lambda_min 4.332e-08 | 10.3s
Update 0113/1200 | return 28.0474 | logdet -246.65 | lambda_min 6.472e-08 | 10.0s
Update 0114/1200 | return 27.3465 | logdet -234.73 | lambda_min 4.710e-08 | 10.4s
Update 0115/1200 | return 27.6958 | logdet -245.96 | lambda_min 3.651e-08 | 10.0s
Update 0116/1200 | return 27.4564 | logdet -243.42 | lambda_min 3.684e-08 | 10.6s
