update,environment_steps,training_return,training_episode_length,beta,barrier_active
1,3945,-493.0,493.125,0.0,False
2,7945,-500.0,500.0,0.0,False
3,11850,-487.75,488.125,0.0,False
4,15848,-499.625,499.75,0.0,False
5,19735,-485.75,485.875,0.0,False
6,23735,-500.0,500.0,0.0,False
7,27735,-500.0,500.0,0.0,False
8,31735,-500.0,500.0,0.0,False
9,35683,-493.375,493.5,0.0,False
10,39594,-488.75,488.875,0.0,False
11,43594,-500.0,500.0,0.0,False
12,47594,-500.0,500.0,0.0,False
13,51200,-300.4166666666667,300.5,0.0,False
