method,seed,update,true_environment_steps,stochastic_return,deterministic_return,stochastic_termination_rate,deterministic_termination_rate,stochastic_episode_length,entropy,mean_min_probability,global_min_probability,minimum_probability_q01,minimum_probability_q05,minimum_probability_q10,action_margin_mean,action_margin_q10,beta,barrier_active
gpomdp_logbarrier_handoff,708,0,0,-500.0,-500.0,0.0,0.0,500.0,1.0959259271621704,0.30673375725746155,0.2503654658794403,0.2636551856994629,0.27356669306755066,0.28067007660865784,0.019802864640951157,0.0037471652030944824,546.4135158976487,True
gpomdp_logbarrier_handoff,708,50,199759,-495.15625,-500.0,0.03125,0.0,495.1875,1.0947123765945435,0.3047187924385071,0.27055633068084717,0.28576794266700745,0.2916545867919922,0.2943687438964844,0.04176238179206848,0.0073277950286865234,546.4135158976487,True
gpomdp_logbarrier_handoff,708,100,376396,-280.90625,-116.25,1.0,1.0,281.90625,1.0492339134216309,0.23007026314735413,0.15405260026454926,0.15801860392093658,0.1634347140789032,0.17007093131542206,0.1228332594037056,0.014731615781784058,546.4135158976487,True
gpomdp_logbarrier_handoff,708,150,478287,-249.34375,-86.15625,1.0,1.0,250.34375,1.0452542304992676,0.2237432450056076,0.1457511931657791,0.1497618556022644,0.15573611855506897,0.161655455827713,0.1339578926563263,0.012677580118179321,546.4135158976487,True
gpomdp_logbarrier_handoff,708,200,575159,-241.0625,-85.5,1.0,1.0,242.0625,1.0485233068466187,0.23016607761383057,0.14647699892520905,0.151935413479805,0.15814104676246643,0.16354016959667206,0.13369132578372955,0.011205926537513733,546.4135158976487,True
gpomdp_logbarrier_handoff,708,249,669291,-212.5625,-83.21875,1.0,1.0,213.5625,1.0292891263961792,0.21880337595939636,0.11567861586809158,0.12193025648593903,0.1288444548845291,0.1355990618467331,0.16484428942203522,0.014734948053956032,546.4135158976487,True
gpomdp_logbarrier_handoff,708,250,671155,-218.9375,-79.25,1.0,1.0,219.9375,1.0236903429031372,0.2137746959924698,0.11537343263626099,0.120820052921772,0.12781961262226105,0.1339615285396576,0.17475944757461548,0.017004378139972687,0.0,False
gpomdp_logbarrier_handoff,708,251,673140,-204.9375,-77.625,1.0,1.0,205.9375,1.020654320716858,0.21048495173454285,0.11440195143222809,0.12000778317451477,0.12696155905723572,0.13275392353534698,0.18043681979179382,0.019685640931129456,0.0,False
gpomdp_logbarrier_handoff,708,300,734212,-122.375,-83.46875,1.0,1.0,123.375,0.8179440498352051,0.12456677109003067,0.03881512209773064,0.03939216956496239,0.04147953912615776,0.043894827365875244,0.4272865355014801,0.11462920159101486,0.0,False
gpomdp_logbarrier_handoff,708,350,781184,-106.5,-81.21875,1.0,1.0,107.5,0.7045530676841736,0.094588503241539,0.02646232396364212,0.026581652462482452,0.027592895552515984,0.02834944613277912,0.5468835234642029,0.1962779313325882,0.0,False
gpomdp_logbarrier_handoff,708,400,825119,-110.78125,-81.5625,1.0,1.0,111.78125,0.6359812021255493,0.08004633337259293,0.018086927011609077,0.018171483650803566,0.01884785108268261,0.01925564929842949,0.5984081625938416,0.21907193958759308,0.0,False
gpomdp_logbarrier_handoff,708,450,868209,-97.59375,-90.71875,1.0,1.0,98.59375,0.5615109205245972,0.0649406686425209,0.012469617649912834,0.012536420486867428,0.01299541536718607,0.013236052356660366,0.6562450528144836,0.27467915415763855,0.0,False
gpomdp_logbarrier_handoff,708,500,908196,-96.90625,-76.84375,1.0,1.0,97.90625,0.4639354646205902,0.04846065863966942,0.00693347305059433,0.006969320122152567,0.007039185147732496,0.0071196481585502625,0.7293124794960022,0.36993852257728577,0.0,False
gpomdp_logbarrier_handoff,708,600,984018,-86.8125,-81.40625,1.0,1.0,87.8125,0.4226149022579193,0.04400753974914551,0.005232315976172686,0.005256975069642067,0.005330596584826708,0.005387222394347191,0.7581542134284973,0.39065226912498474,0.0,False
gpomdp_logbarrier_handoff,708,750,1094189,-100.0,-88.53125,1.0,1.0,101.0,0.2644089162349701,0.023733453825116158,0.0015428513288497925,0.001543116057291627,0.001550825429148972,0.0015748351579532027,0.8603314757347107,0.6147505640983582,0.0,False
gpomdp_logbarrier_handoff,708,850,1166819,-81.3125,-85.0625,1.0,1.0,82.3125,0.2548389136791229,0.02354997768998146,0.0011498742969706655,0.0011529462644830346,0.0011663703480735421,0.00119871087372303,0.865274965763092,0.6298717260360718,0.0,False
gpomdp_logbarrier_handoff,708,1000,1271404,-83.03125,-82.25,1.0,1.0,84.03125,0.21026945114135742,0.018930062651634216,0.0006858588894829154,0.0006861288566142321,0.0006880019209347665,0.0006934087141416967,0.8916270136833191,0.707453727722168,0.0,False
